gameid,league,year,date,game,side,position,playername,teamname,champion,result
TRLH3/1000430047,WLDs,2014,2014-09-18 14:02:55,1.0,Blue,sup,Mata,Samsung White,Thresh,1
TRLH3/1000430047,WLDs,2014,2014-09-18 14:02:55,1.0,Red,top,Prydz,ahq eSports Club,Nidalee,0
TRLH3/1000430047,WLDs,2014,2014-09-18 14:02:55,1.0,Red,jng,Naz,ahq eSports Club,Kha'Zix,0
TRLH3/1000430047,WLDs,2014,2014-09-18 14:02:55,1.0,Red,mid,Westdoor,ahq eSports Club,Twisted Fate,0
TRLH3/1000430047,WLDs,2014,2014-09-18 14:02:55,1.0,Red,bot,GarnetDevil,ahq eSports Club,Jinx,0
TRLH3/1000430047,WLDs,2014,2014-09-18 14:02:55,1.0,Red,sup,GreenTea,ahq eSports Club,Blitzcrank,0
TRLH3/1000430058,WLDs,2014,2014-09-18 14:50:18,1.0,Blue,top,Cola,Royal Club,Irelia,1
TRLH3/1000430058,WLDs,2014,2014-09-18 14:50:18,1.0,Blue,jng,inSec,Royal Club,Rengar,1
TRLH3/1000430058,WLDs,2014,2014-09-18 14:50:18,1.0,Blue,mid,Corn,Royal Club,Zilean,1
TRLH3/1000430058,WLDs,2014,2014-09-18 14:50:18,1.0,Blue,bot,Uzi,Royal Club,Tristana,1
TRLH3/1000430058,WLDs,2014,2014-09-18 14:50:18,1.0,Blue,sup,Zero,Royal Club,Janna,1
TRLH3/1000430058,WLDs,2014,2014-09-18 14:50:18,1.0,Red,top,Dyrus,TSM,Ryze,0
TRLH3/1000430058,WLDs,2014,2014-09-18 14:50:18,1.0,Red,jng,Amazing,TSM,Elise,0
TRLH3/1000430058,WLDs,2014,2014-09-18 14:50:18,1.0,Red,mid,Bjergsen,TSM,Zed,0
TRLH3/1000430058,WLDs,2014,2014-09-18 14:50:18,1.0,Red,bot,WildTurtle,TSM,Corki,0
TRLH3/1000430058,WLDs,2014,2014-09-18 14:50:18,1.0,Red,sup,Lustboy,TSM,Nami,0
TRLH3/1000420071,WLDs,2014,2014-09-19 09:00:49,1.0,Blue,top,Achie,Taipei Assassins,Ryze,1
TRLH3/1000420071,WLDs,2014,2014-09-19 09:00:49,1.0,Blue,jng,Winds,Taipei Assassins,Kha'Zix,1
TRLH3/1000420071,WLDs,2014,2014-09-19 09:00:49,1.0,Blue,mid,Morning,Taipei Assassins,Syndra,1
TRLH3/1000420071,WLDs,2014,2014-09-19 09:00:49,1.0,Blue,bot,BeBe,Taipei Assassins,Lucian,1
TRLH3/1000420071,WLDs,2014,2014-09-19 09:00:49,1.0,Blue,sup,Chieh,Taipei Assassins,Janna,1
TRLH3/1000420071,WLDs,2014,2014-09-19 09:00:49,1.0,Red,top,fredy122,SK Gaming,Dr. Mundo,0
TRLH3/1000420071,WLDs,2014,2014-09-19 09:00:49,1.0,Red,jng,Gilius,SK Gaming,Jarvan IV,0
TRLH3/1000420071,WLDs,2014,2014-09-19 09:00:49,1.0,Red,mid,Jesiz,SK Gaming,Ahri,0
TRLH3/1000420071,WLDs,2014,2014-09-19 09:00:49,1.0,Red,bot,CandyPanda,SK Gaming,Tristana,0
TRLH3/1000420071,WLDs,2014,2014-09-19 09:00:49,1.0,Red,sup,nRated,SK Gaming,Sona,0
TRLH3/1000420074,WLDs,2014,2014-09-19 10:11:46,1.0,Blue,top,Korol,EDward Gaming,Maokai,1
TRLH3/1000420074,WLDs,2014,2014-09-19 10:11:46,1.0,Blue,jng,Clearlove,EDward Gaming,Rengar,1
TRLH3/1000420074,WLDs,2014,2014-09-19 10:11:46,1.0,Blue,mid,U,EDward Gaming,Orianna,1
TRLH3/1000420074,WLDs,2014,2014-09-19 10:11:46,1.0,Blue,bot,NaMei,EDward Gaming,Kog'Maw,1
TRLH3/1000420074,WLDs,2014,2014-09-19 10:11:46,1.0,Blue,sup,FZZF,EDward Gaming,Janna,1
TRLH3/1000420074,WLDs,2014,2014-09-19 10:11:46,1.0,Red,top,fabFabulous,Dark Passage,Kha'Zix,0
TRLH3/1000420074,WLDs,2014,2014-09-19 10:11:46,1.0,Red,jng,Crystal,Dark Passage,Nunu & Willump,0
TRLH3/1000420074,WLDs,2014,2014-09-19 10:11:46,1.0,Red,mid,Naru,Dark Passage,Xerath,0
TRLH3/1000420074,WLDs,2014,2014-09-19 10:11:46,1.0,Red,bot,HolyPhoenix,Dark Passage,Lucian,0
TRLH3/1000420074,WLDs,2014,2014-09-19 10:11:46,1.0,Red,sup,Touch,Dark Passage,Thresh,0
TRLH3/1000420080,WLDs,2014,2014-09-19 11:17:24,1.0,Blue,top,Cola,Royal Club,Ryze,1
TRLH3/1000420080,WLDs,2014,2014-09-19 11:17:24,1.0,Blue,jng,inSec,Royal Club,Lee Sin,1
TRLH3/1000420080,WLDs,2014,2014-09-19 11:17:24,1.0,Blue,mid,Corn,Royal Club,Yasuo,1
TRLH3/1000420080,WLDs,2014,2014-09-19 11:17:24,1.0,Blue,bot,Uzi,Royal Club,Tristana,1
TRLH3/1000420080,WLDs,2014,2014-09-19 11:17:24,1.0,Blue,sup,Zero,Royal Club,Janna,1
TRLH3/1000420080,WLDs,2014,2014-09-19 11:17:24,1.0,Red,top,fredy122,SK Gaming,Dr. Mundo,0
TRLH3/1000420080,WLDs,2014,2014-09-19 11:17:24,1.0,Red,jng,Gilius,SK Gaming,Kha'Zix,0
TRLH3/1000420080,WLDs,2014,2014-09-19 11:17:24,1.0,Red,mid,Jesiz,SK Gaming,Syndra,0
TRLH3/1000420080,WLDs,2014,2014-09-19 11:17:24,1.0,Red,bot,CandyPanda,SK Gaming,Twitch,0
TRLH3/1000420080,WLDs,2014,2014-09-19 11:17:24,1.0,Red,sup,nRated,SK Gaming,Zilean,0
TRLH3/1000430107,WLDs,2014,2014-09-19 12:19:27,1.0,Blue,top,fabFabulous,Dark Passage,Alistar,0
TRLH3/1000430107,WLDs,2014,2014-09-19 12:19:27,1.0,Blue,jng,Crystal,Dark Passage,Kha'Zix,0
TRLH3/1000430107,WLDs,2014,2014-09-19 12:19:27,1.0,Blue,mid,Naru,Dark Passage,Orianna,0
