"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","D%P15","EGPM","GOLD%","STL","WPM","CWPM","WCPM"
"369","JD Gaming","Top",15,"80%","53%",31,25,91,4.9,"52.1%","13.2%","19.7%","13%",-200,-88,-4.6,7.7,"21.6%",424,"18.2%","15.4%",242,"18.9%",0,0.4,0.17,0.15
"Aria","DetonatioN FocusMe","Middle",4,"0%","0%",11,12,22,2.8,"82.5%","27.5%","16.7%","50%",85,-185,-2.8,8,"25.5%",464,"24.5%","26.0%",225,"23.2%",0,0.24,0.18,0.25
"Azhi","PSG Talon","Top",9,"44%","33%",22,23,60,3.6,"60.7%","16.3%","15.6%","22%",36,46,3,7.5,"22.6%",375,"17.4%","15.5%",245,"21.1%",0,0.41,0.25,0.25
"Berserker","Cloud9","ADC",10,"30%","50%",37,22,32,3.1,"59.5%","31.9%","15.2%","10%",144,-92,3.1,9.4,"32.5%",475,"24.7%","25.6%",305,"28.0%",0,0.46,0.16,0.26
"Bin","Bilibili Gaming","Middle",1,"0%","100%",2,1,5,7,"63.6%","18.2%","6.3%","0%",91,101,19,9.6,"28.7%",681,"26.9%","25.6%",277,"24.8%",0,0.51,0.08,0.15
"Bin","Bilibili Gaming","Top",25,"68%","56%",74,70,134,3,"50.1%","17.8%","21.0%","12%",165,46,5.9,8,"24.8%",517,"22.2%","20.3%",267,"21.7%",1,0.45,0.13,0.16
"Blaber","Cloud9","Jungle",10,"30%","70%",34,36,44,2.2,"67.2%","29.3%","24.8%","10%",-76,6,2.1,6.1,"18.7%",367,"18.4%","19.7%",226,"20.7%",0,0.5,0.24,0.47
"Bong","Movistar R7","Top",7,"29%","71%",14,28,24,1.4,"51.4%","18.9%","20.6%","0%",-407,-165,-13.6,7.4,"22.3%",455,"24.1%","21.5%",224,"21.3%",0,0.24,0.11,0.12
"BrokenBlade","G2 Esports","Top",15,"60%","47%",62,39,83,3.7,"58.0%","24.8%","16.8%","20%",271,103,1.5,7.5,"24.1%",534,"24.0%","23.0%",267,"22.1%",0,0.46,0.16,0.14
"Caps","G2 Esports","Middle",15,"60%","53%",29,53,135,3.1,"65.6%","11.6%","22.8%","13%",-261,-185,-4.3,7,"20.4%",452,"20.6%","21.2%",231,"18.9%",0,0.25,0.04,0.15
"Carzzy","MAD Lions KOI","ADC",6,"0%","67%",22,23,21,1.9,"61.4%","31.4%","18.7%","50%",-206,75,-5,8.5,"32.6%",585,"31.0%","34.8%",278,"25.9%",0,0.31,0.01,0.34
"Ceo","Movistar R7","ADC",7,"29%","57%",22,28,22,1.6,"59.5%","29.7%","20.6%","29%",-379,-156,-10.4,9,"31.2%",510,"25.2%","28.5%",272,"25.2%",0,0.54,0.2,0.28
