"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","D%P15","EGPM","GOLD%","STL","WPM","CWPM","WCPM"
"Ceos","LOUD","Support",6,"33%","33%",0,24,36,1.5,"56.3%","0.0%","25.0%","0%",-352,-343,1.2,1.2,"3.1%",113,"6.1%","3.7%",98,"8.8%",0,1.32,0.44,0.33
"Chasy","MAD Lions KOI","Top",6,"0%","17%",7,23,9,0.7,"22.9%","10.0%","18.7%","0%",-6,180,7.8,7.2,"23.4%",348,"18.7%","16.8%",205,"20.1%",0,0.32,0.18,0.14
"Chovy","Gen.G","Middle",15,"53%","53%",43,30,93,4.5,"66.7%","21.1%","16.5%","27%",230,28,3.5,8.6,"23.6%",528,"25.8%","26.5%",273,"23.0%",0,0.46,0.14,0.43
"Croc","LOUD","Jungle",6,"33%","0%",17,20,29,2.3,"71.9%","26.6%","20.8%","17%",-678,-257,-1.8,4.9,"14.2%",276,"15.0%","13.3%",203,"18.9%",1,0.32,0.26,0.3
"Delight","Gen.G","Support",15,"53%","60%",12,39,121,3.4,"65.2%","5.9%","21.4%","33%",118,66,4.9,1.2,"2.7%",143,"7.1%","6.0%",114,"9.6%",0,1.56,0.48,0.36
"Doran","Gen.G","Top",15,"53%","73%",24,54,73,1.8,"47.5%","11.8%","29.7%","20%",16,13,-1.5,7.4,"20.9%",418,"21.6%","17.6%",231,"19.5%",1,0.4,0.21,0.19
"Elk","Bilibili Gaming","ADC",26,"65%","50%",159,65,159,4.9,"74.6%","37.3%","18.6%","42%",312,246,5.9,9.9,"35.2%",811,"33.0%","36.2%",359,"29.0%",0,0.45,0.16,0.53
"Elyoya","MAD Lions KOI","Jungle",6,"0%","17%",24,22,23,2.1,"67.1%","34.3%","17.9%","83%",216,-96,-2.2,5.5,"18.6%",305,"15.9%","16.5%",217,"20.4%",0,0.48,0.22,0.22
"EMENES","Cloud9","Middle",10,"30%","30%",20,23,43,2.7,"54.3%","17.2%","15.9%","20%",77,-143,-1.6,7.9,"23.4%",444,"23.9%","24.3%",229,"21.6%",0,0.44,0.17,0.28
"Faker","T1","Middle",17,"53%","41%",37,55,97,2.4,"62.0%","17.1%","25.6%","18%",3,107,-0.4,7.1,"19.3%",441,"21.5%","20.4%",224,"19.5%",0,0.41,0.19,0.26
"Fudge","Cloud9","Top",10,"30%","10%",22,32,32,1.7,"46.6%","19.0%","22.1%","0%",-297,-122,-4.9,7.5,"22.6%",444,"23.7%","23.0%",216,"20.4%",0,0.47,0.14,0.12
"Gori","Golden Guardians","Middle",17,"53%","65%",51,45,105,3.5,"67.5%","22.1%","20.9%","12%",39,114,3.9,8.3,"24.4%",486,"23.2%","22.6%",256,"21.7%",0,0.42,0.15,0.27
"Gumayusi","T1","ADC",17,"53%","59%",91,38,57,3.9,"68.5%","42.1%","17.7%","12%",30,-130,1.3,10.4,"39.2%",625,"30.2%","35.9%",356,"30.9%",0,0.44,0.16,0.35
"Hans Sama","G2 Esports","ADC",15,"60%","73%",72,40,99,4.3,"68.4%","28.8%","17.2%","13%",-63,-7,2.5,9.3,"35.5%",588,"25.4%","25.2%",330,"27.0%",0,0.39,0.09,0.32
"Harp","DetonatioN FocusMe","Support",4,"0%","25%",0,14,30,2.1,"75.0%","0.0%","19.4%","50%",118,218,-2,1,"2.9%",100,"5.4%","4.0%",84,"8.2%",0,1.46,0.48,0.4
"huhi","Golden Guardians","Support",17,"53%","47%",9,48,177,3.9,"80.5%","3.9%","22.3%","29%",-32,-3,1.1,1.1,"3.0%",185,"8.9%","7.8%",118,"9.9%",0,1.67,0.43,0.43
"Hylissang","MAD Lions KOI","Support",6,"0%","50%",6,32,34,1.3,"57.1%","8.6%","26.0%","33%",-101,-25,4.5,1.2,"3.4%",168,"9.5%","7.8%",103,"9.8%",0,1.24,0.25,0.32
"JunJia","PSG Talon","Jungle",9,"44%","44%",31,31,68,3.2,"73.3%","23.0%","21.1%","22%",136,341,7.7,5.9,"17.5%",341,"15.8%","15.9%",222,"19.1%",2,0.52,0.37,0.55
"Kanavi","JD Gaming","Jungle",15,"80%","40%",41,25,124,6.6,"70.5%","17.5%","19.7%","60%",-9,38,3.2,6.3,"18.3%",458,"19.1%","20.8%",249,"19.7%",1,0.28,0.24,0.48
"Kati","GAM Esports","Middle",5,"20%","0%",8,21,36,2.1,"69.8%","12.7%","22.6%","0%",-574,-565,-12,7.5,"21.6%",434,"20.2%","19.5%",219,"19.7%",0,0.37,0.2,0.2
"Keria","T1","Support",17,"53%","53%",7,37,145,4.1,"70.4%","3.2%","17.2%","12%",12,141,1.4,0.9,"2.2%",163,"8.2%","6.1%",115,"9.8%",0,1.69,0.53,0.27
"Kiaya","GAM Esports","Top",5,"20%","60%",15,19,14,1.5,"46.0%","23.8%","20.4%","20%",259,5,10.2,8.2,"25.5%",559,"27.0%","26.2%",261,"23.3%",0,0.36,0.07,0.11
"knight","JD Gaming","Middle",15,"80%","27%",66,25,107,6.9,"73.9%","28.2%","19.7%","33%",229,102,2.1,8.3,"23.1%",607,"25.6%","24.7%",296,"23.4%",0,0.34,0.17,0.31
"Levi","GAM Esports","Jungle",5,"20%","80%",16,20,30,2.3,"73.0%","25.4%","21.5%","20%",-299,-163,-0.4,5.4,"15.7%",357,"16.4%","16.1%",214,"18.8%",4,0.45,0.37,0.34
"Licorice","Golden Guardians","Top",17,"53%","41%",34,31,86,3.9,"51.9%","14.7%","14.4%","12%",-8,29,0.1,7.7,"21.7%",454,"22.1%","19.5%",245,"20.8%",0,0.5,0.19,0.16
"Lyonz","Movistar R7","Support",7,"29%","43%",8,28,37,1.6,"60.8%","10.8%","20.6%","57%",-132,-180,5.3,1.2,"3.3%",130,"6.8%","5.2%",99,"9.7%",0,1.55,0.48,0.39
"Mikyx","G2 Esports","Support",15,"60%","60%",16,61,159,2.9,"70.0%","6.4%","26.3%","20%",29,-61,1.1,1,"2.9%",173,"7.6%","5.2%",125,"10.3%",0,1.76,0.43,0.43
"Mireu","Movistar R7","Middle",7,"29%","86%",12,29,32,1.5,"59.5%","16.2%","21.3%","29%",395,454,8.4,8.4,"26.3%",597,"31.0%","31.1%",241,"23.9%",0,0.26,0.15,0.17
"MISSING","JD Gaming","Support",15,"80%","47%",5,32,178,5.7,"78.2%","2.1%","25.2%","53%",-26,30,-1.5,1,"2.3%",144,"6.3%","5.0%",119,"9.4%",0,1.69,0.46,0.34
"Nisqy","MAD Lions KOI","Middle",6,"0%","67%",11,23,31,1.8,"60.0%","15.7%","18.7%","50%",166,-120,1.5,7.1,"22.0%",444,"25.0%","24.0%",242,"23.7%",0,0.43,0.19,0.18
"Oddie","Movistar R7","Jungle",7,"29%","43%",18,23,35,2.3,"71.6%","24.3%","16.9%","43%",-138,-120,-3.1,5.5,"16.9%",244,"12.9%","13.8%",202,"19.9%",1,0.32,0.27,0.26
"ON","Bilibili Gaming","Support",26,"65%","38%",30,65,307,5.2,"79.1%","7.0%","18.6%","46%",166,-39,-5.6,0.8,"2.2%",170,"7.3%","5.1%",128,"10.3%",0,1.82,0.53,0.4
"Oner","T1","Jungle",17,"53%","59%",45,45,113,3.5,"73.1%","20.8%","20.9%","29%",17,36,-0.2,5.9,"18.6%",380,"19.0%","20.3%",232,"20.2%",5,0.6,0.25,0.53
"Peanut","Gen.G","Jungle",15,"53%","33%",58,29,79,4.7,"67.2%","28.4%","15.9%","20%",48,155,0.2,6.3,"19.5%",341,"16.6%","17.2%",244,"20.7%",1,0.43,0.25,0.51
"Peyz","Gen.G","ADC",15,"53%","33%",67,30,66,4.4,"65.2%","32.8%","16.5%","33%",-129,-88,-6.2,10,"33.3%",586,"28.8%","32.7%",322,"27.2%",0,0.41,0.14,0.4
"River","Golden Guardians","Jungle",17,"53%","59%",44,49,114,3.2,"68.4%","19.0%","22.8%","35%",-27,-129,-5.3,5.5,"15.6%",347,"17.3%","18.5%",223,"18.8%",5,0.51,0.34,0.48
"Robo","LOUD","Top",6,"33%","50%",9,28,23,1.1,"50.0%","14.1%","29.2%","0%",-701,-574,-10.5,7.8,"26.6%",417,"20.1%","19.3%",249,"22.7%",0,0.43,0.14,0.15
"Route","LOUD","ADC",6,"33%","50%",22,11,21,3.9,"67.2%","34.4%","11.5%","0%",-399,-8,-8.5,9.3,"33.0%",623,"33.8%","41.7%",307,"27.4%",0,0.56,0.28,0.44
"Ruler","JD Gaming","ADC",15,"80%","53%",91,20,76,8.4,"71.4%","38.9%","15.7%","47%",220,194,5.9,10.4,"34.8%",750,"30.8%","34.2%",369,"28.6%",0,0.45,0.17,0.47
"Steal","DetonatioN FocusMe","Jungle",4,"0%","100%",11,13,22,2.5,"82.5%","27.5%","18.1%","75%",43,-139,-5.3,4.8,"16.1%",433,"23.3%","24.4%",192,"20.2%",0,0.59,0.39,0.42
"Stixxay","Golden Guardians","ADC",17,"53%","47%",93,42,65,3.8,"68.4%","40.3%","19.5%","29%",-261,-207,-6.2,9.7,"35.2%",590,"28.5%","31.6%",341,"28.8%",0,0.46,0.18,0.36
"Sty1e","GAM Esports","ADC",5,"20%","20%",22,18,30,2.9,"82.5%","34.9%","19.4%","0%",-77,-4,2.2,9.6,"35.1%",686,"31.1%","33.7%",323,"28.7%",0,0.51,0.22,0.44
"tinowns","LOUD","Middle",6,"33%","83%",16,13,27,3.3,"67.2%","25.0%","13.5%","17%",-119,-46,3.2,7.6,"23.0%",501,"25.1%","22.0%",243,"22.2%",0,0.54,0.32,0.23
"tol2","DetonatioN FocusMe","Top",4,"0%","75%",4,18,23,1.5,"67.5%","10.0%","25.0%","50%",138,216,1.3,6.3,"17.5%",379,"20.5%","16.0%",176,"18.3%",0,0.48,0.32,0.12
"Uniboy","PSG Talon","Middle",9,"44%","56%",33,28,62,3.4,"70.4%","24.4%","19.0%","22%",-121,-19,-4.1,7.9,"24.6%",537,"25.1%","24.8%",260,"22.0%",1,0.36,0.24,0.25
"Wako","PSG Talon","ADC",9,"44%","22%",45,29,38,2.9,"61.5%","33.3%","19.7%","0%",133,41,2.7,9.5,"33.6%",715,"33.6%","36.5%",337,"29.4%",0,0.35,0.12,0.39
"Woody","PSG Talon","Support",9,"44%","78%",4,36,90,2.6,"69.6%","3.0%","24.5%","0%",-97,-125,-2.4,0.8,"1.7%",168,"8.0%","7.3%",97,"8.3%",0,1.67,0.47,0.24
"XUN","Bilibili Gaming","Jungle",26,"65%","42%",98,79,184,3.6,"66.2%","23.0%","22.6%","35%",40,-36,0.7,5.6,"16.8%",377,"15.7%","16.4%",233,"19.2%",4,0.4,0.33,0.38
"Yagao","Bilibili Gaming","Middle",25,"68%","56%",59,66,204,4,"63.4%","14.2%","19.8%","8%",-158,-2,-2.4,7.3,"20.9%",498,"21.1%","21.2%",239,"19.6%",0,0.41,0.13,0.24
"Yagao","Bilibili Gaming","Top",1,"0%","0%",4,4,6,2.5,"90.9%","36.4%","25.0%","0%",-43,-534,0,7.1,"19.6%",868,"34.3%","33.8%",225,"20.1%",0,0.56,0.08,0.33
"Yike","G2 Esports","Jungle",15,"60%","73%",71,39,117,4.8,"75.2%","28.4%","16.8%","33%",209,55,0.3,5.4,"17.1%",516,"22.4%","25.3%",261,"21.7%",1,0.24,0.21,0.27
"Yutapon","DetonatioN FocusMe","ADC",4,"0%","50%",14,15,13,1.8,"67.5%","35.0%","20.8%","25%",-141,-225,-3.8,9.4,"38.0%",516,"26.3%","29.5%",299,"30.0%",0,0.26,0.03,0.27
"Zeus","T1","Top",17,"53%","59%",36,40,90,3.2,"58.3%","16.7%","18.6%","12%",155,112,-0.1,7.1,"20.7%",429,"21.1%","17.4%",228,"19.6%",0,0.45,0.25,0.16
"Zin","GAM Esports","Support",5,"20%","40%",2,15,54,3.7,"88.9%","3.2%","16.1%","0%",-139,76,0,1.1,"2.0%",107,"5.2%","4.6%",109,"9.6%",0,1.59,0.47,0.28
"Zven","Cloud9","Support",10,"30%","60%",3,32,75,2.4,"67.2%","2.6%","22.1%","0%",-104,149,-0.6,1.1,"2.9%",188,"9.2%","7.4%",102,"9.3%",0,1.85,0.26,0.5
