"Team","GP","W","L","AGT","K","D","KD","CKPM","GPR","GSPD","EGR","MLR","GD15","FB%","FT%","F3T%","PPG","HLD%","FD%","DRG%","ELD%","FBN%","BN%","LNE%","JNG%","WPM","CWPM","WCPM"
"DetonatioN FocusMe",6,1,5,30.8,99,109,0.91,1.13,0.11,"-6.7%",43.1,-26.5,-486,"50%","33%","50%",5.8,"50%","33%","34%","100%","33%","27%","48.9%","45.4%",2.96,1.31,1.71
"Evil Geniuses",21,9,12,32,304,299,1.02,0.9,-0.03,"2.4%",44.9,-2.1,117,"38%","43%","48%",4.6,"45%","43%","39%","100%","57%","59%","50.2%","50.6%",3.25,1.07,1.51
"G2 Esports",21,13,8,29.8,313,253,1.24,0.9,0.16,"0.1%",46.4,15.5,-425,"62%","48%","43%",5.7,"51%","29%","51%",,"57%","60%","49.9%","49.7%",3.46,1.02,1.61
"İstanbul Wildcats",7,1,6,26.5,67,157,0.43,1.21,-2.91,"-16.6%",24.5,-10.2,-3570,"29%","29%","29%",3.1,"23%","43%","41%",,"0%","0%","49.1%","47.1%",2.83,0.83,1.27
"ORDER",8,0,8,26.3,48,163,0.29,1,-4.16,"-21.9%",14.5,-14.5,-5255,"0%","0%","0%",1.8,"20%","63%","39%",,"13%","13%","48.9%","42.8%",2.69,0.88,1.08
"PSG Talon",17,6,11,30.4,185,237,0.78,0.81,-1.57,"-9.3%",39.1,-3.8,-1625,"29%","47%","29%",3,"33%","65%","41%","0%","29%","26%","49.2%","45.4%",3.73,1.44,1.68
"RED Canids",7,2,5,27.4,82,114,0.72,1.02,0.02,"-6.6%",42.2,-13.7,-508,"71%","29%","43%",4.9,"64%","29%","36%",,"14%","25%","48.9%","48.8%",3.17,1.42,1.26
"Royal Never Give Up",27,23,4,29.7,519,261,1.99,0.97,2.09,"13.7%",76,9.2,2813,"85%","70%","74%",6.2,"69%","78%","77%","0%","67%","72%","50.7%","54.8%",3.37,1.3,1.69
"Saigon Buffalo",16,6,10,28.8,229,290,0.79,1.12,-0.66,"-1.6%",44.1,-6.6,-329,"31%","44%","38%",4.3,"38%","63%","43%","0%","31%","42%","50.0%","48.6%",3.26,1.11,1.33
"T1",24,18,6,27.4,372,260,1.43,0.96,2.17,"12.3%",74.4,0.6,3264,"54%","88%","92%",8.8,"75%","38%","59%",,"63%","64%","51.3%","55.4%",3.56,1.32,1.41
"Team Aze",6,1,5,25,43,123,0.35,1.1,-4.38,"-25.8%",5.2,11.4,-6908,"50%","0%","0%",1.5,"8%","33%","30%",,"17%","50%","48.9%","41.8%",2.71,1.19,1.07
