"Team","GP","W","L","AGT","K","D","KD","CKPM","GPR","GSPD","EGR","MLR","GD15","FB%","FT%","F3T%","PPG","HLD%","FD%","DRG%","ELD%","FBN%","BN%","LNE%","JNG%","WPM","CWPM","WCPM"
"Bilibili Gaming",18,9,9,33.3,231,208,1.11,0.73,0.46,"1.1%",56.5,-6.5,289,"67%","61%","67%",4.4,"44%","61%","53%","50%","56%","59%","49.4%","51.5%",3.82,1.39,1.67
"Cloud9",6,2,4,31,70,84,0.83,0.83,0.1,"-4.8%",53.9,-20.5,388,"33%","67%","50%",4.7,"67%","33%","28%","0%","50%","45%","49.6%","47.1%",3.31,1.14,1.45
"Dplus KIA",8,4,4,31.7,93,78,1.19,0.68,0.42,"1.0%",63.3,-13.3,1096,"50%","38%","63%",4.3,"63%","63%","70%","0%","63%","62%","50.2%","54.2%",3.75,1.46,1.71
"Fnatic",9,4,5,29.9,114,138,0.83,0.93,-0.77,"-2.6%",38.9,5.6,-1158,"44%","44%","22%",4.1,"44%","67%","62%","100%","44%","43%","49.7%","50.9%",2.88,0.84,1.32
"G2 Esports",9,3,6,34.6,92,169,0.54,0.84,-0.94,"-7.8%",39.7,-6.4,-536,"56%","33%","22%",5.2,"50%","33%","31%","100%","0%","18%","49.4%","46.4%",3.64,1.08,1.61
"GAM Esports",7,2,5,26.8,58,96,0.6,0.82,-0.56,"-5.0%",35.7,-7.1,-993,"57%","43%","29%",4.4,"50%","43%","33%",,"43%","50%","49.0%","44.6%",3.8,1.56,1.62
"Gen.G",9,6,3,32.1,125,85,1.47,0.73,-0.21,"3.6%",46.6,20,-363,"22%","44%","22%",3.6,"44%","44%","51%","0%","56%","60%","51.3%","51.9%",3.51,1.15,1.74
"JD Gaming",13,8,5,28.9,158,144,1.1,0.8,0.12,"3.0%",49.8,11.7,-16,"38%","46%","69%",3.9,"46%","46%","53%",,"54%","67%","50.2%","52.1%",3.53,1.21,1.71
"KT Rolster",12,6,6,33.6,146,141,1.04,0.71,0.59,"2.0%",56.9,-6.9,1057,"50%","75%","58%",3.9,"58%","33%","42%","100%","58%","50%","50.3%","49.9%",3.34,1.4,1.72
"LNG Esports",11,5,6,29.2,103,107,0.96,0.65,-0.32,"-0.9%",44.6,0.9,-410,"64%","36%","45%",3.9,"41%","36%","36%",,"36%","50%","50.1%","49.1%",3.38,1.21,1.61
"MAD Lions KOI",5,1,4,33.1,63,80,0.79,0.86,-0.46,"-4.2%",37.8,-17.8,-394,"40%","40%","60%",4.8,"40%","20%","50%","100%","40%","20%","50.1%","50.4%",3.33,1.32,1.56
"NRG",8,4,4,32.6,114,96,1.19,0.8,0,"-2.4%",49.8,0.2,-496,"50%","25%","50%",3.5,"56%","50%","51%","0%","63%","50%","49.0%","47.6%",3.55,1.33,1.43
"T1",15,13,2,29.6,210,101,2.08,0.7,1.16,"7.8%",63.7,22.9,921,"67%","73%","80%",5,"59%","73%","76%",,"67%","67%","50.8%","52.8%",3.89,1.29,1.63
"Team BDS",4,0,4,27,24,58,0.41,0.76,-2.19,"-9.8%",28,-28,-2412,"50%","25%","0%",2.8,"25%","50%","27%",,"0%","20%","48.9%","41.7%",3.65,1,1.38
"Team Liquid",5,1,4,31.3,44,77,0.57,0.77,-1.43,"-3.4%",32.4,-12.4,-1193,"20%","40%","20%",3.6,"40%","40%","42%",,"20%","29%","50.0%","51.1%",3.46,1.39,1.71
"Weibo Gaming",19,11,8,31.1,248,235,1.06,0.81,0.18,"1.3%",54.6,3.3,470,"47%","53%","53%",5.3,"54%","58%","51%","0%","53%","57%","50.3%","49.5%",3.34,1.32,1.57
