"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","D%P15","EGPM","GOLD%","STL","WPM","CWPM","WCPM"
"957","Team WE","Top",15,"60%","73%",31,23,59,3.9,"62.9%","21.7%","19.2%","20%",-16,-19,-2.2,7.5,"22.0%",386,"20.3%",,225,"19.1%",,0.53,0.12,0.09
"Albis","ahq eSports Club","Support",6,"33%","50%",0,7,26,3.7,"76.5%","0.0%","13.5%","33%",-57,23,-4,0.7,"2.3%",60,"3.9%",,162,"14.6%",,1.08,0.32,0.18
"Alphari","Misfits Gaming","Top",12,"50%","58%",15,23,57,3.1,"63.2%","13.2%","21.5%","8%",-97,-6,-1.7,8.4,"25.5%",332,"19.4%",,238,"20.9%",,0.59,0.14,0.13
"Ambition","Samsung Galaxy","Jungle",15,"80%","40%",20,29,103,4.2,"80.9%","13.2%","27.6%","33%",69,172,5.9,4.6,"12.9%",232,"12.1%",,213,"16.6%",,0.92,0.29,0.37
"An","ahq eSports Club","ADC",6,"33%","50%",15,13,10,1.9,"73.5%","44.1%","25.0%","33%",-30,-150,-4.5,9.5,"30.6%",516,"32.5%",,270,"24.4%",,0.42,0.08,0.3
"Archie","GAM Esports","Top",7,"29%","57%",6,35,34,1.1,"54.8%","8.2%","32.4%","14%",-169,-280,-1.3,6.7,"21.1%",299,"16.3%",,204,"18.1%",,0.49,0.13,0.12
"Bang","SK Telecom T1","ADC",19,"58%","47%",55,26,63,4.5,"69.4%","32.4%","14.9%","21%",-67,29,-0.6,9.5,"29.6%",587,"32.8%",,288,"24.1%",,0.45,0.07,0.22
"Bdd","Longzhu Gaming","Middle",9,"67%","56%",31,12,55,7.2,"75.4%","27.2%","13.2%","44%",86,138,4.4,9.5,"28.5%",500,"26.0%",,290,"23.3%",,0.54,0.11,0.09
"Ben","Team WE","Support",15,"60%","47%",7,21,107,5.4,"79.7%","4.9%","17.5%","27%",29,-43,1.3,0.9,"2.8%",92,"4.7%",,188,"15.5%",,1.14,0.32,0.27
"Betty","Flash Wolves","ADC",6,"17%","33%",9,10,23,3.2,"74.4%","20.9%","17.2%","50%",-103,-79,-6.2,9.5,"33.0%",616,"33.0%",,268,"24.3%",,0.37,0.1,0.4
"Biofrost","TSM","Support",7,"43%","43%",2,11,38,3.6,"81.6%","4.1%","13.9%","0%",-104,-258,3.3,0.9,"2.9%",122,"7.1%",,158,"14.1%",,0.95,0.17,0.28
"Bjergsen","TSM","Middle",7,"43%","71%",14,10,28,4.2,"85.7%","28.6%","12.7%","0%",23,50,9.1,9.3,"29.3%",528,"28.3%",,266,"24.1%",,0.4,0.14,0.15
"Blank","SK Telecom T1","Jungle",9,"56%","56%",13,25,56,2.8,"74.2%","14.0%","24.8%","33%",-99,46,-3.1,3.1,"8.5%",175,"9.5%",,171,"14.7%",,1.13,0.34,0.37
"Broxah","Fnatic","Jungle",12,"42%","67%",20,17,52,4.2,"61.5%","17.1%","13.5%","67%",34,-227,4.9,4.1,"11.9%",196,"11.7%",,188,"16.1%",,0.84,0.18,0.3
"Caps","Fnatic","Middle",12,"42%","33%",29,29,49,2.7,"66.7%","24.8%","23.0%","50%",21,-43,-2.5,8.6,"27.7%",574,"30.5%",,259,"22.2%",,0.45,0.1,0.13
"Chawy","ahq eSports Club","Middle",2,"0%","50%",2,3,3,1.7,"83.3%","33.3%","15.0%","50%",-120,-507,-7.5,8.5,"32.2%",281,"17.6%",,229,"24.0%",,0.41,0.15,0.31
"Clearlove","EDward Gaming","Jungle",6,"33%","50%",13,13,43,4.3,"75.7%","17.6%","24.5%","50%",104,-214,-1.3,3.6,"10.1%",206,"10.2%",,190,"15.7%",,0.98,0.46,0.32
"Cody Sun","Immortals","ADC",7,"29%","14%",18,14,21,2.8,"66.1%","30.5%","18.4%","14%",-76,34,0.1,9.8,"33.3%",585,"30.3%",,289,"25.5%",,0.36,0.09,0.28
"Condi","Team WE","Jungle",15,"60%","53%",10,26,89,3.8,"69.2%","7.0%","21.7%","33%",-178,-56,-4.7,4,"12.5%",193,"10.2%",,187,"15.7%",,0.95,0.27,0.37
"Contractz","Cloud9","Jungle",11,"45%","73%",15,28,67,2.9,"80.4%","14.7%","26.4%","36%",114,128,-0.8,4.6,"14.3%",378,"18.5%",,203,"17.4%",,0.86,0.24,0.38
"CoreJJ","Samsung Galaxy","Support",16,"81%","31%",7,17,128,7.9,"83.9%","4.3%","15.0%","31%",29,4,0.8,0.9,"2.7%",98,"5.3%",,184,"14.2%",,1.07,0.33,0.34
"Crash","Fenerbahçe Esports","Jungle",6,"0%","50%",6,15,15,1.4,"72.4%","20.7%","19.2%","33%",189,369,6.7,5,"14.2%",175,"9.8%",,187,"18.2%",,0.81,0.23,0.54
"Crown","Samsung Galaxy","Middle",16,"81%","44%",45,24,76,5,"75.2%","28.0%","21.2%","31%",-116,-82,-3.3,9.2,"26.5%",479,"25.3%",,283,"22.4%",,0.65,0.26,0.19
"CuVee","Samsung Galaxy","Top",16,"81%","56%",37,25,80,4.7,"72.7%","23.0%","22.1%","6%",26,217,5.5,9.1,"26.2%",454,"24.9%",,278,"21.7%",,0.66,0.22,0.18
"Cuzz","Longzhu Gaming","Jungle",9,"67%","89%",15,24,71,3.6,"75.4%","13.2%","26.4%","56%",-65,-279,-4.8,3.5,"9.4%",220,"11.5%",,187,"15.1%",,0.92,0.24,0.44
"Doublelift","TSM","ADC",7,"43%","57%",15,19,20,1.8,"71.4%","30.6%","24.1%","0%",-149,-244,-3.3,9,"29.8%",579,"29.6%",,269,"23.7%",,0.42,0.13,0.35
"Expect","G2 Esports","Top",6,"50%","67%",12,10,24,3.6,"64.3%","21.4%","21.3%","67%",249,67,3.8,8.2,"24.5%",412,"19.9%",,237,"20.2%",,0.5,0.14,0.15
"Faker","SK Telecom T1","Middle",19,"58%","53%",45,36,89,3.7,"78.8%","26.5%","20.6%","21%",71,217,2.4,9.4,"28.1%",420,"24.8%",,277,"23.4%",,0.5,0.08,0.2
"Flame","Immortals","Top",7,"29%","57%",14,17,30,2.6,"74.6%","23.7%","22.4%","14%",165,96,9,8,"24.6%",379,"19.9%",,225,"20.1%",,0.46,0.08,0.13
"Frozen","Fenerbahçe Esports","Middle",6,"0%","83%",8,16,14,1.4,"75.9%","27.6%","20.5%","33%",-56,87,0.2,9.2,"28.3%",489,"26.8%",,247,"23.9%",,0.43,0.14,0.12
"GorillA","Longzhu Gaming","Support",9,"67%","56%",6,21,89,4.5,"83.3%","5.3%","23.1%","33%",201,90,4.1,0.9,"2.9%",111,"5.7%",,188,"14.9%",,1.23,0.32,0.26
"Hans Sama","Misfits Gaming","ADC",12,"50%","42%",47,21,42,4.2,"78.1%","41.2%","19.6%","33%",341,103,3.3,9.7,"32.3%",663,"35.8%",,300,"26.1%",,0.44,0.21,0.35
"Haru","Samsung Galaxy","Jungle",1,"100%","100%",3,1,6,9,"100.0%","33.3%","12.5%","100%",808,-109,-26,4.6,"14.3%",403,"15.4%",,219,"18.1%",,0.96,0.31,0.33
"Hauntzer","TSM","Top",7,"43%","29%",12,17,25,2.2,"75.5%","24.5%","21.5%","0%",-83,-13,-1.7,8.6,"28.0%",467,"24.4%",,252,"22.9%",,0.56,0.11,0.19
"Huni","SK Telecom T1","Top",19,"58%","47%",36,41,80,2.8,"68.2%","21.2%","23.4%","21%",207,135,6.9,9.4,"30.1%",442,"25.9%",,281,"23.8%",,0.45,0.06,0.15
"iBoy","EDward Gaming","ADC",6,"33%","67%",31,10,24,5.5,"74.3%","41.9%","18.9%","17%",293,112,9.3,10.1,"37.1%",811,"40.4%",,328,"27.4%",,0.42,0.13,0.3
"IgNar","Misfits Gaming","Support",12,"50%","42%",7,20,83,4.5,"78.9%","6.1%","18.7%","33%",112,63,0.3,1.1,"3.8%",99,"5.8%",,158,"13.3%",,1.44,0.43,0.33
"Impact","Cloud9","Top",11,"45%","55%",17,22,54,3.2,"69.6%","16.7%","20.8%","36%",157,66,7.5,8.1,"23.8%",387,"18.3%",,231,"19.7%",,0.53,0.13,0.13
"Japone","Fenerbahçe Esports","Support",6,"0%","50%",2,13,17,1.5,"65.5%","6.9%","16.7%","50%",-44,-131,4.5,0.9,"2.6%",99,"6.0%",,138,"12.5%",,1.3,0.39,0.32
"Jensen","Cloud9","Middle",11,"45%","55%",37,23,46,3.6,"81.4%","36.3%","21.7%","45%",221,91,7.7,9.4,"29.3%",566,"26.1%",,282,"24.1%",,0.41,0.15,0.12
"Jesiz","Fnatic","Support",12,"42%","25%",3,19,83,4.5,"73.5%","2.6%","15.1%","42%",65,107,0.5,0.7,"2.1%",92,"5.1%",,188,"15.7%",,1.3,0.43,0.13
"Karsa","Flash Wolves","Jungle",6,"17%","17%",11,15,22,2.2,"76.7%","25.6%","25.9%","83%",209,-87,6.5,4,"11.8%",235,"12.3%",,178,"16.7%",,1.12,0.36,0.36
"Khan","Longzhu Gaming","Top",8,"63%","13%",24,15,42,4.4,"67.3%","24.5%","18.5%","25%",58,24,1.1,8.9,"28.6%",433,"24.1%",,274,"22.4%",,0.65,0.22,0.16
"Letme","Royal Never Give Up","Top",15,"67%","33%",24,26,74,3.8,"62.0%","15.2%","23.9%","13%",-66,-28,-2.7,7.6,"21.9%",341,"18.1%",,226,"18.8%",,0.52,0.12,0.09
"Levi","GAM Esports","Jungle",7,"29%","29%",22,22,19,1.9,"56.2%","30.1%","20.4%","29%",235,383,13.6,5.8,"17.4%",312,"16.5%",,216,"19.5%",,0.62,0.22,0.27
"Maple","Flash Wolves","Middle",6,"17%","67%",9,10,24,3.3,"76.7%","20.9%","17.2%","50%",-135,-239,-6.3,9.7,"30.7%",612,"33.1%",,267,"24.1%",,0.57,0.2,0.18
"Maxlore","Misfits Gaming","Jungle",12,"50%","58%",17,26,65,3.2,"71.9%","14.9%","24.3%","25%",135,138,3.9,4,"11.7%",188,"10.5%",,188,"16.8%",,0.97,0.33,0.37
"Meiko","EDward Gaming","Support",6,"33%","50%",2,8,59,7.6,"82.4%","2.7%","15.1%","17%",16,201,-0.8,0.9,"2.8%",86,"4.3%",,193,"15.8%",,1.37,0.53,0.31
"Ming","Royal Never Give Up","Support",15,"67%","73%",4,20,122,6.3,"79.7%","2.5%","18.3%","13%",-65,-143,-1.2,0.5,"1.6%",87,"4.5%",,179,"14.4%",,1.28,0.38,0.22
"Mithy","G2 Esports","Support",6,"50%","33%",3,7,42,6.4,"80.4%","5.4%","14.9%","17%",42,93,-7.3,0.5,"1.5%",75,"3.8%",,186,"14.9%",,1.16,0.27,0.21
"Mlxg","Royal Never Give Up","Jungle",15,"67%","20%",21,33,100,3.7,"76.6%","13.3%","30.3%","27%",-57,0,-2.4,4.1,"12.3%",253,"13.0%",,194,"16.1%",,0.9,0.27,0.36
"MMD","Flash Wolves","Top",6,"17%","33%",14,14,11,1.8,"58.1%","32.6%","24.1%","67%",36,-43,-2.5,7.3,"22.9%",332,"17.2%",,213,"20.3%",,0.53,0.13,0.11
"Mountain","ahq eSports Club","Jungle",6,"33%","33%",6,13,22,2.2,"82.4%","17.6%","25.0%","33%",129,401,7,4.7,"13.7%",198,"13.7%",,179,"17.2%",,0.78,0.21,0.45
"Mouse","EDward Gaming","Top",6,"33%","67%",8,9,38,5.1,"62.2%","10.8%","17.0%","17%",-359,-441,-21.3,7.4,"22.7%",349,"16.8%",,224,"18.1%",,0.55,0.15,0.12
"Mystic","Team WE","ADC",15,"60%","67%",49,27,58,4,"74.8%","34.3%","22.5%","20%",-98,-71,1.1,9.7,"33.3%",752,"37.2%",,307,"25.6%",,0.36,0.04,0.37
"Nevan","GAM Esports","Support",3,"33%","0%",1,8,22,2.9,"82.1%","3.6%","19.5%","33%",-320,-143,3,0.5,"2.2%",137,"8.7%",,147,"12.9%",,0.96,0.21,0.21
"Noway","GAM Esports","ADC",7,"29%","57%",28,10,23,5.1,"69.9%","38.4%","9.3%","14%",-394,-21,-8.7,9.7,"33.0%",574,"30.6%",,299,"26.6%",,0.42,0.13,0.21
"Olleh","Immortals","Support",7,"29%","71%",7,14,36,3.1,"72.9%","11.9%","18.4%","14%",38,101,-0.9,0.8,"2.9%",111,"6.1%",,185,"16.4%",,1.3,0.46,0.31
"Optimus","GAM Esports","Middle",7,"29%","57%",13,20,27,2,"54.8%","17.8%","18.5%","14%",-106,68,4.3,8.6,"26.4%",537,"28.9%",,246,"21.7%",,0.66,0.21,0.24
"Padden","Fenerbahçe Esports","ADC",6,"0%","67%",11,15,8,1.3,"65.5%","37.9%","19.2%","33%",-62,74,-7.7,9.6,"30.9%",620,"33.3%",,266,"25.4%",,0.27,0.05,0.27
"Peanut","SK Telecom T1","Jungle",10,"60%","30%",13,15,47,4,"77.9%","16.9%","20.3%","20%",-134,-252,-5.4,3.7,"9.9%",182,"11.4%",,186,"15.5%",,0.85,0.17,0.44
"Perkz","G2 Esports","Middle",6,"50%","33%",14,7,26,5.7,"71.4%","25.0%","14.9%","67%",20,-253,0,9.9,"30.9%",537,"26.4%",,281,"23.5%",,0.42,0.15,0.25
"Pobelter","Immortals","Middle",7,"29%","71%",10,17,31,2.4,"69.5%","16.9%","22.4%","29%",-143,-128,-4.7,8.8,"27.1%",521,"27.6%",,247,"21.9%",,0.51,0.14,0.21
"PowerOfEvil","Misfits Gaming","Middle",12,"50%","42%",28,17,56,4.9,"73.7%","24.6%","15.9%","25%",-116,-155,-5.7,8.7,"26.8%",488,"28.4%",,256,"22.9%",,0.48,0.16,0.21
