"Team","GP","W","L","AGT","K","D","KD","CKPM","GPR","GSPD","EGR","MLR","GD15","FB%","FT%","F3T%","PPG","HLD%","FD%","DRG%","ELD%","FBN%","BN%","LNE%","JNG%","WPM","CWPM","WCPM"
"ahq eSports Club",6,3,3,40.1,64,68,0.94,0.55,0.58,"5.9%",60.6,-10.6,875,"67%","50%","67%",,"0%","83%","55%","33%","83%","60%","49.6%","54.4%",3.88,0.82,1.46
"Albus NoX Luna",10,4,6,36.4,100,166,0.6,0.73,-1.21,"-10.8%",38.5,1.5,-1925,"60%","40%","30%",,"40%","60%","53%","67%","50%","50%","48.3%","44.0%",3.14,0.52,1.19
"Cloud9",9,3,6,43.3,92,140,0.66,0.6,-0.42,"-10.7%",57.7,-24.3,603,"44%","44%","33%",,"0%","56%","47%","50%","22%","32%","51.0%","48.5%",3.36,0.77,1.51
"Counter Logic Gaming",6,3,3,35.8,88,69,1.28,0.73,0.83,"0.8%",59.8,-9.8,752,"33%","50%","67%",,"0%","50%","59%",,"50%","43%","49.4%","54.0%",3.26,0.76,1.39
"EDward Gaming",11,5,6,38.3,133,137,0.97,0.64,-1.08,"-5.4%",36.9,8.5,-903,"36%","36%","36%",,"67%","27%","44%","40%","36%","44%","49.0%","49.9%",3.64,0.84,1.52
"Flash Wolves",6,2,4,46.7,61,67,0.91,0.45,0.59,"3.4%",63.6,-30.3,1074,"50%","83%","67%",,"100%","33%","52%","50%","67%","54%","48.3%","47.1%",3.99,0.95,1.64
"G2 Esports",6,1,5,37.8,45,79,0.57,0.55,-0.69,"-5.0%",39.6,-22.9,-326,"50%","33%","33%",,,"33%","38%","0%","17%","11%","51.3%","48.2%",3.57,0.7,1.21
"H2k-Gaming",13,8,5,36.2,183,120,1.53,0.64,1.32,"3.2%",66.5,-5,1581,"77%","69%","62%",,"40%","54%","56%","67%","46%","44%","51.1%","49.4%",3.85,0.91,1.51
"I May",6,2,4,42.6,66,76,0.87,0.56,-2.45,"-6.1%",11.3,22,-3221,"33%","0%","0%",,"0%","33%","16%","33%","50%","45%","49.0%","45.7%",3.62,0.82,1.67
"INTZ",6,1,5,33.4,39,94,0.41,0.66,-1.58,"-11.6%",27.2,-10.5,-1662,"0%","50%","17%",,"100%","0%","25%","100%","17%","29%","49.5%","45.1%",3.55,0.89,1.18
"ROX Tigers",16,10,6,38,253,194,1.3,0.74,0.31,"7.7%",55.5,7,405,"63%","56%","56%",,"50%","63%","54%","33%","69%","69%","50.2%","50.0%",3.93,0.79,1.36
"Royal Never Give Up",10,4,6,34.3,106,128,0.83,0.68,-1.01,"-6.8%",44.4,-4.4,-1013,"60%","50%","20%",,"0%","50%","42%","50%","30%","33%","49.0%","46.4%",3.97,1.04,1.52
"Samsung Galaxy",17,13,4,38.3,247,193,1.28,0.68,0.4,"7.6%",54.3,22.2,462,"65%","47%","65%",,"67%","71%","67%","25%","76%","75%","49.8%","53.4%",3.68,0.84,1.48
"SK Telecom T1",20,14,6,42.4,290,201,1.44,0.58,1.27,"8.2%",57,13,881,"45%","60%","80%",,"100%","45%","58%","80%","55%","56%","51.5%","56.4%",3.59,0.69,1.87
"Splyce",6,1,5,32.2,63,112,0.56,0.91,-1.47,"-12.8%",29.6,-12.9,-2155,"33%","33%","33%",,,"17%","23%","0%","33%","43%","48.7%","43.7%",3.09,0.56,1.1
"TSM",6,3,3,37.8,95,83,1.14,0.79,0.71,"4.1%",63.4,-13.4,1559,"17%","67%","67%",,,"83%","55%","50%","33%","33%","51.5%","50.6%",3.49,0.69,1.42
