"Team","GP","W","L","AGT","K","D","KD","CKPM","GPR","GSPD","EGR","MLR","GD15","FB%","FT%","F3T%","PPG","HLD%","FD%","DRG%","ELD%","FBN%","BN%","LNE%","JNG%","WPM","CWPM","WCPM"
"ahq eSports Club",6,2,4,35.2,34,52,0.65,0.41,-1.05,"-11.4%",35.2,-1.9,-1700,"67%","33%","50%",,"25%","50%","47%","0%","50%","57%","47.5%","50.8%",3.16,0.81,1.31
"Cloud9",11,5,6,33.9,102,106,0.96,0.56,0.34,"3.3%",58.6,-13.1,1028,"45%","45%","45%",,"67%","82%","47%","100%","45%","44%","51.8%","50.5%",3.39,1.03,1.19
"EDward Gaming",6,2,4,39.1,74,53,1.4,0.54,1.03,"4.5%",64.4,-31.1,1601,"67%","83%","67%",,"80%","33%","55%","67%","67%","42%","48.3%","49.8%",3.63,1.44,1.37
"Fenerbahçe Esports",6,0,6,38.5,29,78,0.37,0.46,-1.05,"-9.8%",36.7,-36.7,-1402,"50%","0%","17%",,"0%","50%","40%","33%","33%","44%","48.9%","48.7%",3.35,0.92,1.35
"Flash Wolves",6,1,5,37.6,43,58,0.74,0.45,-0.21,"-2.0%",50.5,-33.8,2,"83%","67%","50%",,"50%","50%","61%","0%","50%","33%","49.0%","47.4%",3.6,1.07,1.21
"Fnatic",12,5,7,37.5,117,126,0.93,0.54,0.23,"-1.9%",49.2,-7.6,-74,"67%","42%","75%",,"58%","42%","51%","57%","50%","45%","50.0%","50.2%",3.39,0.85,1.06
"G2 Esports",6,3,3,38,56,47,1.19,0.45,0.39,"3.4%",65.1,-15.1,1744,"100%","67%","50%",,"83%","50%","53%","75%","50%","44%","50.5%","48.4%",3.32,0.95,1.28
"GAM Esports",7,2,5,34.5,73,108,0.68,0.75,-1.03,"-5.1%",41.4,-12.9,-1020,"29%","43%","43%",,"17%","14%","32%","25%","43%","36%","48.6%","51.8%",3.25,0.97,1.1
"Immortals",7,2,5,38.5,59,76,0.78,0.5,-0.63,"-5.3%",45.9,-17.3,-236,"43%","43%","29%",,"57%","43%","40%","25%","29%","42%","49.0%","45.1%",3.65,1.09,1.22
"Longzhu Gaming",9,6,3,34.9,114,91,1.25,0.65,0.53,"4.3%",57.6,9.1,566,"67%","56%","44%",,"67%","78%","68%","80%","44%","50%","51.4%","49.3%",3.75,0.95,1.23
"Misfits Gaming",12,6,6,36.8,114,107,1.07,0.5,0.34,"-0.7%",55.6,-5.6,692,"50%","50%","58%",,"75%","50%","44%","60%","42%","47%","49.4%","51.2%",3.92,1.27,1.39
"Royal Never Give Up",15,10,5,36.4,158,109,1.45,0.49,0.02,"2.4%",48.4,18.2,-25,"33%","47%","33%",,"60%","47%","44%","38%","53%","61%","49.9%","52.1%",3.43,1.06,1.32
"Samsung Galaxy",16,13,3,35,161,113,1.42,0.49,0.48,"5.0%",50,31.3,14,"44%","63%","75%",,"42%","50%","57%","50%","63%","70%","50.7%","53.1%",3.83,1.38,1.52
"SK Telecom T1",19,11,8,35.4,170,175,0.97,0.51,-0.09,"1.0%",47.7,10.2,-273,"53%","58%","53%",,"31%","58%","57%","71%","37%","41%","51.2%","49.2%",3.5,0.8,1.31
"Team WE",15,9,6,32.8,143,120,1.19,0.54,0.16,"2.4%",53,7,136,"40%","53%","53%",,"43%","33%","46%","0%","60%","64%","49.3%","49.0%",3.39,0.89,1.28
"TSM",7,3,4,36.1,49,79,0.62,0.5,-0.97,"-7.0%",32.7,10.1,-1889,"0%","29%","14%",,"29%","57%","55%","100%","43%","58%","50.7%","47.6%",3.22,0.72,1.2
