"Team","GP","W","L","AGT","K","D","KD","CKPM","GPR","GSPD","EGR","MLR","GD15","FB%","FT%","F3T%","PPG","HLD%","FD%","DRG%","ELD%","FBN%","BN%","LNE%","JNG%","WPM","CWPM","WCPM"
"100 Thieves",6,2,4,30.2,74,85,0.87,0.88,-0.66,"-6.7%",36.7,-3.4,-1190,"50%","50%","33%",,"40%","33%","43%",,"33%","50%","48.8%","49.2%",2.89,1.24,1.21
"Cloud9",13,7,6,32.5,157,166,0.95,0.76,-0.04,"-1.0%",47.1,6.7,-251,"69%","31%","54%",,"42%","62%","54%","100%","46%","50%","50.8%","51.7%",2.9,1.25,1.39
"EDward Gaming",10,5,5,34.8,134,102,1.31,0.68,0.14,"3.6%",49.4,0.6,-114,"60%","50%","40%",,"67%","60%","41%","100%","50%","64%","50.5%","51.0%",3.34,1.67,1.44
"Flash Wolves",7,3,4,35.8,85,66,1.29,0.6,-0.88,"-4.0%",40.8,2.1,-889,"57%","43%","14%",,"50%","57%","44%","0%","43%","50%","47.7%","46.4%",3.68,1.62,1.48
"Fnatic",17,12,5,30.2,238,193,1.23,0.84,0.59,"6.7%",55.1,15.5,605,"53%","59%","53%",,"56%","47%","54%","0%","82%","76%","49.7%","52.2%",3.22,1.21,1.09
"G-Rex",6,0,6,29,38,110,0.35,0.85,-2.63,"-19.8%",21.5,-21.5,-2663,"0%","17%","17%",,"33%","50%","29%",,"0%","0%","47.6%","44.1%",3.01,1.26,0.89
"G2 Esports",15,7,8,34.1,164,168,0.98,0.65,0.25,"-1.6%",49.6,-3,-145,"53%","47%","53%",,"15%","47%","42%","67%","47%","43%","51.1%","49.8%",3.63,1.43,1.44
"Gen.G",6,1,5,33.1,51,69,0.74,0.6,-1.29,"-5.0%",41.8,-25.2,-1178,"33%","33%","33%",,"17%","67%","53%",,"17%","20%","49.0%","46.6%",3.3,1.46,1.38
"Invictus Gaming",18,14,4,30.1,287,170,1.69,0.84,1.24,"11.8%",61.4,16.4,1205,"61%","61%","83%",,"71%","56%","77%","100%","61%","63%","51.6%","53.7%",3.07,1.44,1.33
"KT Rolster",11,7,4,32.5,119,98,1.21,0.61,0.42,"1.5%",60.2,3.5,601,"55%","73%","64%",,"55%","64%","39%","0%","55%","54%","50.6%","48.7%",3.73,1.71,1.34
"Kwangdong Freecs",9,4,5,33.7,81,82,0.99,0.54,-0.24,"-2.8%",48.6,-4.1,-189,"56%","33%","33%",,"38%","44%","52%",,"22%","30%","50.4%","46.9%",3.87,1.65,1.6
"MAD Team",6,0,6,33.9,32,95,0.34,0.62,-1.65,"-17.7%",37,-37,-978,"83%","17%","33%",,"17%","17%","20%",,"0%","0%","48.4%","43.4%",3.66,1.57,1.48
"Phong Vũ Buffalo",6,2,4,35.2,56,94,0.6,0.71,0.38,"-2.2%",53.7,-20.3,613,"50%","67%","67%",,"83%","33%","48%","67%","50%","60%","49.4%","52.2%",3.87,1.84,1.74
"Royal Never Give Up",12,7,5,31.2,121,123,0.98,0.65,-0.14,"0.5%",58.3,0,720,"33%","83%","42%",,"75%","42%","59%",,"33%","44%","49.5%","48.8%",3.2,1.5,1.38
"Team Liquid",6,3,3,32,51,57,0.89,0.56,0.41,"1.9%",51.8,-1.8,122,"17%","33%","33%",,"40%","67%","77%",,"50%","57%","49.6%","54.3%",3.45,1.47,1.6
"Team Vitality",6,3,3,36.8,71,85,0.84,0.7,0.3,"0.6%",45,5,-180,"17%","50%","83%",,"67%","33%","32%","0%","50%","63%","49.7%","51.5%",3.13,1.07,1.31
