"Team","GP","W","L","AGT","K","D","KD","CKPM","GPR","GSPD","EGR","MLR","GD15","FB%","FT%","F3T%","PPG","HLD%","FD%","DRG%","ELD%","FBN%","BN%","LNE%","JNG%","WPM","CWPM","WCPM"
"ahq eSports Club",6,0,6,32.1,45,73,0.62,0.61,-1.6,"-5.8%",23,-23,-2015,"67%","33%","17%",,"50%","33%","24%","0%","17%","14%","48.0%","43.5%",3.64,1.49,1.47
"Cloud9",6,2,4,33.2,66,120,0.55,0.94,-1.35,"-14.9%",40.8,-7.5,-1548,"17%","50%","50%",,"67%","33%","43%","50%","33%","30%","49.4%","45.5%",3.49,1.16,1.3
"Clutch Gaming",6,0,6,34.7,58,109,0.53,0.8,-1.53,"-10.5%",34.5,-34.5,-1336,"33%","33%","17%",,"67%","17%","39%","0%","17%","22%","48.3%","43.6%",3.83,1.61,1.88
"Dplus KIA",10,6,4,33.1,139,115,1.21,0.77,0.33,"5.8%",52.6,7.4,192,"30%","50%","50%",,"89%","70%","63%","67%","60%","69%","50.2%","51.7%",4.03,1.56,1.66
"Fnatic",10,5,5,33.3,137,151,0.91,0.87,-0.15,"-2.6%",42.4,7.6,-495,"50%","30%","40%",,"20%","50%","35%","100%","40%","50%","50.8%","44.4%",3.45,1.24,1.53
"FunPlus Phoenix",18,14,4,31.3,335,199,1.68,0.95,1.03,"9.4%",69.8,7.9,1763,"67%","72%","67%",,"72%","72%","70%","67%","72%","75%","49.8%","55.7%",4,1.37,1.58
"G2 Esports",18,11,7,32.2,242,259,0.93,0.86,0.23,"-3.5%",49.8,11.3,64,"67%","39%","61%",,"28%","44%","47%","25%","44%","38%","51.1%","53.1%",4.03,1.42,1.77
"GAM Esports",6,1,5,30.3,55,97,0.57,0.84,-0.49,"-10.7%",39.4,-22.7,-1338,"33%","33%","33%",,"33%","50%","33%",,"0%","0%","49.6%","50.0%",3.15,1.26,1.54
"Griffin",11,7,4,32.9,171,105,1.63,0.76,0.58,"8.7%",63,0.6,1189,"64%","45%","64%",,"55%","82%","68%","50%","55%","53%","50.4%","50.5%",4.21,1.46,1.78
"Hong Kong Attitude",6,0,6,33.9,55,83,0.66,0.68,-0.76,"-7.8%",35.6,-35.6,-859,"67%","50%","0%",,"67%","33%","24%","0%","17%","14%","47.3%","43.9%",3.4,1.22,1.21
"Invictus Gaming",14,8,6,33.1,209,227,0.92,0.94,0.15,"1.8%",45.3,11.8,-55,"29%","50%","43%",,"31%","21%","42%","67%","50%","56%","51.3%","51.8%",3.57,1.42,1.68
"J Team",6,3,3,33.3,71,81,0.88,0.76,-0.74,"-1.6%",36.8,13.2,-1885,"33%","17%","33%",,"50%","33%","43%","100%","50%","75%","48.2%","47.9%",4.03,1.34,1.3
"Royal Never Give Up",6,3,3,34.7,78,63,1.24,0.68,0.21,"4.8%",63.5,-13.5,392,"50%","67%","67%",,"33%","50%","50%","100%","67%","50%","49.8%","51.9%",4.35,1.64,2.03
"SK Telecom T1",14,9,5,32.9,217,172,1.26,0.84,1.01,"7.9%",55.4,8.9,948,"64%","86%","64%",,"71%","64%","67%","50%","71%","70%","50.5%","54.8%",4.41,1.7,1.74
"Splyce",11,5,6,33.2,134,141,0.95,0.75,-0.4,"-4.2%",48.7,-3.2,-174,"36%","45%","55%",,"45%","36%","41%","0%","45%","44%","50.2%","44.2%",3.74,1.35,1.7
"Team Liquid",6,3,3,32.4,65,85,0.76,0.77,-0.65,"-7.4%",52.7,-2.7,-331,"50%","50%","67%",,"17%","67%","52%","100%","33%","50%","50.0%","48.0%",3.38,1.16,1.68
