"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","D%P15","EGPM","GOLD%","STL","WPM","CWPM","WCPM"
"369","JD Gaming","Top",13,"62%","38%",29,34,71,2.9,"63.3%","18.4%","23.6%","15%",-224,-91,-2.8,8,"23.2%",488,"23.9%","20.4%",242,"20.3%",0,0.32,0.12,0.17
"Adam","Team BDS","Top",4,"0%","75%",7,13,5,0.9,"50.0%","29.2%","22.4%","25%",-88,-578,-10.8,7.8,"24.2%",278,"21.3%","21.6%",240,"23.5%",0,0.37,0.1,0.1
"Aiming","KT Rolster","ADC",12,"50%","33%",68,18,53,6.7,"82.9%","46.6%","12.8%","33%",68,80,-1.5,10.8,"35.5%",620,"30.6%","34.9%",360,"30.6%",0,0.38,0.1,0.47
"APA","Team Liquid","Middle",5,"20%","80%",14,23,9,1,"52.3%","31.8%","29.9%","0%",-89,176,1.6,8.1,"23.1%",471,"27.7%","28.1%",246,"23.0%",0,0.5,0.19,0.23
"Bdd","KT Rolster","Middle",12,"50%","58%",33,27,65,3.6,"67.1%","22.6%","19.1%","17%",73,-86,1.2,8.8,"24.8%",510,"25.4%","24.9%",262,"22.7%",0,0.5,0.22,0.2
"Berserker","Cloud9","ADC",6,"33%","17%",19,10,16,3.5,"50.0%","27.1%","11.9%","0%",-20,-115,4.8,10.1,"32.3%",443,"22.4%","24.8%",307,"25.9%",0,0.45,0.16,0.23
"Bin","Bilibili Gaming","Top",18,"50%","33%",55,46,63,2.6,"51.1%","23.8%","22.1%","17%",237,121,6.3,7.9,"24.3%",455,"21.1%","18.9%",253,"21.9%",0,0.4,0.18,0.12
"Blaber","Cloud9","Jungle",6,"33%","50%",15,16,42,3.6,"81.4%","21.4%","19.0%","17%",-170,-33,-2.3,6.3,"17.1%",382,"20.6%","21.9%",246,"21.0%",0,0.36,0.26,0.39
"BrokenBlade","G2 Esports","Top",9,"33%","67%",14,29,45,2,"64.1%","15.2%","17.2%","0%",-267,-288,-12.3,7.6,"24.2%",464,"20.3%","17.7%",232,"21.3%",0,0.5,0.16,0.17
"Canna","Dplus KIA","Top",8,"50%","25%",17,19,41,3.1,"62.4%","18.3%","24.4%","13%",61,232,2.3,8.4,"24.1%",554,"23.7%","23.0%",253,"21.7%",0,0.45,0.19,0.17
"Canyon","Dplus KIA","Jungle",8,"50%","38%",18,14,48,4.7,"71.0%","19.4%","17.9%","25%",198,327,8.5,6.3,"17.8%",252,"11.7%","12.2%",218,"18.9%",2,0.51,0.36,0.43
"Caps","G2 Esports","Middle",9,"33%","44%",21,36,44,1.8,"70.7%","22.8%","21.3%","33%",140,174,5,8.9,"27.8%",544,"25.0%","25.7%",270,"25.1%",0,0.25,0.08,0.31
"Carzzy","MAD Lions KOI","ADC",5,"20%","60%",21,14,17,2.7,"60.3%","33.3%","17.5%","0%",-318,-8,-2.2,9.4,"31.9%",626,"30.9%","35.8%",298,"26.7%",0,0.49,0.17,0.49
"Chasy","MAD Lions KOI","Top",5,"20%","0%",15,16,22,2.3,"58.7%","23.8%","20.0%","20%",26,-105,-5,7.4,"23.3%",443,"22.0%","17.4%",251,"22.4%",0,0.38,0.17,0.14
"Chovy","Gen.G","Middle",9,"67%","67%",33,15,49,5.5,"65.6%","26.4%","17.6%","11%",-129,2,1.6,9.4,"25.8%",560,"26.3%","26.2%",294,"24.1%",0,0.39,0.17,0.36
"Contractz","NRG","Jungle",8,"50%","50%",25,19,51,4,"66.7%","21.9%","19.8%","25%",24,138,4,5.6,"17.7%",364,"17.2%","18.5%",212,"18.9%",1,0.35,0.29,0.37
"CoreJJ","Team Liquid","Support",5,"20%","60%",3,18,18,1.2,"47.7%","6.8%","23.4%","20%",-233,-330,-9.4,1.3,"3.0%",112,"6.7%","5.4%",96,"9.1%",0,1.73,0.46,0.58
"Crisp","Weibo Gaming","Support",19,"58%","63%",15,48,168,3.8,"73.8%","6.0%","20.4%","26%",32,-90,-1.9,1.2,"3.7%",197,"8.5%","7.4%",119,"10.5%",0,1.76,0.5,0.41
"Crownie","Team BDS","ADC",4,"0%","50%",5,8,9,1.8,"58.3%","20.8%","13.8%","0%",-322,-86,-3.8,9.9,"32.6%",314,"23.6%","26.2%",265,"26.3%",0,0.67,0.08,0.52
"Cuzz","KT Rolster","Jungle",12,"50%","58%",19,28,79,3.5,"67.1%","13.0%","19.9%","42%",169,-36,-1.3,5.3,"13.4%",260,"12.9%","12.9%",193,"16.6%",2,0.41,0.42,0.47
"Deft","Dplus KIA","ADC",8,"50%","63%",33,15,35,4.5,"73.1%","35.5%","19.2%","38%",-102,3,-2.1,9.5,"29.9%",699,"32.0%","33.0%",309,"26.5%",0,0.53,0.21,0.3
"Delight","Gen.G","Support",9,"67%","44%",4,18,89,5.2,"74.4%","3.2%","21.2%","0%",-249,-97,-3.6,1.1,"2.3%",120,"5.6%","4.4%",112,"9.0%",0,1.66,0.36,0.4
"Dhokla","NRG","Top",8,"50%","38%",24,19,42,3.5,"57.9%","21.1%","19.8%","13%",-132,-73,-2.5,8.1,"25.5%",516,"23.8%","21.9%",256,"22.6%",0,0.42,0.15,0.19
"Doran","Gen.G","Top",9,"67%","44%",23,21,54,3.7,"61.6%","18.4%","24.7%","22%",-126,-34,-3.6,8.3,"23.3%",555,"25.0%","21.4%",274,"21.8%",0,0.39,0.18,0.16
"Elk","Bilibili Gaming","ADC",18,"50%","56%",63,40,100,4.1,"70.6%","27.3%","19.2%","39%",-2,-96,0.3,9.3,"31.7%",661,"29.7%","32.0%",310,"26.6%",0,0.51,0.15,0.41
"Elyoya","MAD Lions KOI","Jungle",5,"20%","80%",10,13,33,3.3,"68.3%","15.9%","16.3%","40%",239,46,-1,5.7,"17.8%",249,"12.4%","12.5%",204,"18.7%",1,0.35,0.34,0.38
"EMENES","Cloud9","Middle",6,"33%","50%",15,14,24,2.8,"55.7%","21.4%","16.7%","0%",22,23,0.3,8.1,"20.9%",480,"24.4%","23.6%",253,"21.5%",0,0.42,0.29,0.26
"Faker","T1","Middle",15,"87%","53%",46,21,90,6.5,"64.8%","21.9%","20.8%","27%",-35,-52,-2.5,8.9,"25.3%",521,"24.4%","24.1%",280,"22.3%",0,0.43,0.13,0.2
"FBI","NRG","ADC",8,"50%","88%",33,18,51,4.7,"73.7%","28.9%","18.8%","13%",-275,-344,-29.9,6,"21.5%",601,"27.1%","28.1%",256,"22.8%",0,0.82,0.22,0.37
"Fudge","Cloud9","Top",6,"33%","83%",18,20,23,2.1,"58.6%","25.7%","23.8%","33%",89,-126,-0.5,8.2,"26.6%",480,"24.8%","22.6%",271,"23.1%",0,0.43,0.15,0.11
"GALA","LNG Esports","ADC",11,"45%","45%",33,17,39,4.2,"69.9%","32.0%","15.9%","9%",29,-5,-2.3,10.1,"33.0%",475,"26.0%","29.1%",302,"27.0%",0,0.36,0.12,0.36
"Gumayusi","T1","ADC",15,"87%","40%",56,12,71,10.6,"60.5%","26.7%","11.9%","13%",221,248,5.2,9.3,"28.3%",486,"22.4%","24.0%",308,"24.4%",0,0.55,0.15,0.46
"Hang","LNG Esports","Support",11,"45%","55%",2,23,70,3.1,"69.9%","1.9%","21.5%","18%",-126,-157,3.4,1.1,"2.3%",112,"6.2%","5.3%",97,"8.5%",0,1.81,0.5,0.39
"Hans Sama","G2 Esports","ADC",9,"33%","44%",38,31,29,2.2,"72.8%","41.3%","18.3%","22%",312,305,13.3,9.2,"31.4%",594,"25.9%","26.6%",300,"27.3%",0,0.34,0.06,0.28
"Humanoid","Fnatic","Middle",9,"44%","44%",21,30,53,2.5,"64.9%","18.4%","21.7%","11%",-87,135,3.7,9,"27.6%",646,"30.2%","29.4%",282,"24.0%",0,0.32,0.05,0.23
"Hylissang","MAD Lions KOI","Support",5,"20%","60%",2,26,37,1.5,"61.9%","3.2%","32.5%","20%",-31,351,0.8,1,"2.0%",154,"7.7%","6.2%",96,"8.5%",0,1.67,0.42,0.34
"IgNar","NRG","Support",8,"50%","25%",3,19,74,4.1,"67.5%","2.6%","19.8%","25%",250,264,23.3,2.8,"7.5%",154,"7.1%","5.7%",131,"11.3%",0,1.47,0.47,0.33
"Kanavi","JD Gaming","Jungle",13,"62%","69%",34,43,85,2.8,"75.3%","21.5%","29.9%","38%",102,-57,-1.3,6.2,"17.9%",338,"15.6%","17.7%",232,"19.4%",2,0.32,0.26,0.38
"Kati","GAM Esports","Middle",7,"29%","29%",16,21,24,1.9,"69.0%","27.6%","21.9%","29%",12,-288,-1.1,8.7,"26.2%",490,"28.0%","29.2%",267,"24.8%",0,0.44,0.24,0.29
"Kellin","Dplus KIA","Support",8,"50%","38%",5,20,65,3.5,"75.3%","5.4%","25.6%","38%",124,-44,-0.8,1,"2.6%",141,"6.6%","5.5%",105,"9.0%",0,1.77,0.48,0.4
"Keria","T1","Support",15,"87%","47%",13,19,146,8.4,"75.7%","6.2%","18.8%","20%",131,126,-3.8,1.2,"3.6%",235,"10.9%","9.1%",134,"10.6%",0,2.09,0.52,0.46
"Kiaya","GAM Esports","Top",7,"29%","71%",15,26,23,1.5,"65.5%","25.9%","27.1%","14%",174,-2,4,7.5,"18.6%",503,"29.3%","24.6%",220,"20.7%",0,0.46,0.19,0.14
"Kiin","KT Rolster","Top",12,"50%","75%",23,36,63,2.4,"58.9%","15.8%","25.5%","8%",38,-67,-0.2,8.2,"23.6%",512,"25.2%","22.3%",252,"21.6%",0,0.42,0.19,0.18
"knight","JD Gaming","Middle",13,"62%","31%",33,26,83,4.5,"73.4%","20.9%","18.1%","15%",-6,72,1.2,8.7,"23.4%",529,"25.0%","24.5%",268,"22.8%",0,0.32,0.14,0.31
"Labrov","Team BDS","Support",4,"0%","75%",1,13,14,1.2,"62.5%","4.2%","22.4%","0%",-212,-290,0.8,1.2,"3.0%",124,"9.5%","9.1%",88,"8.6%",0,1.89,0.44,0.38
"Lehends","KT Rolster","Support",12,"50%","42%",3,32,93,3,"65.8%","2.1%","22.7%","33%",22,56,-0.5,1.1,"2.6%",116,"5.8%","5.1%",98,"8.5%",0,1.63,0.47,0.39
"Levi","GAM Esports","Jungle",7,"29%","14%",11,18,34,2.5,"77.6%","19.0%","18.8%","43%",-241,-250,-8.4,5.5,"15.6%",284,"16.5%","19.6%",204,"18.8%",2,0.39,0.3,0.37
"Light","Weibo Gaming","ADC",19,"58%","47%",84,29,83,5.8,"67.3%","33.9%","12.3%","26%",55,47,2.9,9.1,"31.9%",622,"27.0%","29.6%",308,"26.4%",1,0.45,0.1,0.32
"Mikyx","G2 Esports","Support",9,"33%","67%",6,42,65,1.7,"77.2%","6.5%","24.9%","22%",-16,-308,-10.2,1.1,"3.4%",201,"9.4%","8.1%",98,"8.9%",0,2.22,0.53,0.62
"MISSING","JD Gaming","Support",13,"62%","31%",10,24,112,5.1,"77.2%","6.3%","16.7%","31%",-40,7,1.5,1.1,"2.9%",191,"9.2%","8.3%",117,"9.5%",0,1.95,0.47,0.44
"Nisqy","MAD Lions KOI","Middle",5,"20%","40%",15,11,30,4.1,"71.4%","23.8%","13.8%","0%",-215,-141,-8.2,8.2,"25.0%",545,"27.1%","28.1%",259,"23.7%",0,0.44,0.22,0.2
"Noah","Fnatic","ADC",9,"44%","44%",38,16,38,4.8,"66.7%","33.3%","11.6%","33%",41,-96,-7.6,9.5,"31.9%",529,"23.4%","27.0%",307,"25.8%",0,0.43,0.16,0.32
"nuc","Team BDS","Middle",4,"0%","75%",7,11,5,1.1,"50.0%","29.2%","19.0%","25%",126,69,-2.8,8.5,"24.0%",437,"32.2%","29.6%",243,"23.2%",0,0.41,0.17,0.16
"ON","Bilibili Gaming","Support",18,"50%","39%",14,41,156,4.1,"73.6%","6.1%","19.7%","39%",126,174,1.3,1.5,"4.5%",193,"9.0%","7.5%",128,"10.9%",0,2.17,0.62,0.57
"Oner","T1","Jungle",15,"87%","40%",37,26,136,6.7,"82.4%","17.6%","25.7%","67%",65,79,3.8,5.5,"13.9%",298,"13.5%","14.2%",219,"17.5%",3,0.44,0.29,0.36
"Oscarinin","Fnatic","Top",9,"44%","22%",25,34,30,1.6,"48.2%","21.9%","24.6%","11%",-275,-72,-0.3,7.9,"22.0%",490,"21.7%","19.2%",252,"21.5%",0,0.42,0.14,0.15
"Palafox","NRG","Middle",8,"50%","13%",29,21,55,4,"73.7%","25.4%","21.9%","38%",93,17,-4.6,8.3,"27.9%",532,"24.8%","25.7%",274,"24.4%",1,0.49,0.21,0.18
"Palette","GAM Esports","Support",7,"29%","57%",2,19,31,1.7,"56.9%","3.4%","19.8%","29%",-87,32,1.3,1.4,"3.4%",118,"7.2%","5.8%",98,"8.9%",0,2.04,0.68,0.49
"Peanut","Gen.G","Jungle",9,"67%","78%",23,19,66,4.7,"71.2%","18.4%","22.4%","22%",-50,245,4.3,5.9,"16.0%",296,"13.7%","14.5%",223,"18.2%",0,0.5,0.31,0.4
"Peyz","Gen.G","ADC",9,"67%","33%",42,12,40,6.8,"65.6%","33.6%","14.1%","0%",-197,-13,5.4,10.2,"32.6%",617,"29.5%","33.5%",335,"26.9%",0,0.57,0.14,0.41
"Pyosik","Team Liquid","Jungle",5,"20%","80%",14,8,17,3.9,"70.5%","31.8%","10.4%","0%",96,45,3,6.4,"20.2%",336,"19.7%","20.6%",216,"20.6%",0,0.38,0.34,0.37
"Razork","Fnatic","Jungle",9,"44%","78%",22,25,69,3.6,"79.8%","19.3%","18.1%","44%",107,209,9.6,5.9,"16.3%",397,"18.2%","18.7%",226,"19.3%",1,0.39,0.25,0.35
"Ruler","JD Gaming","ADC",13,"62%","77%",52,17,59,6.5,"70.3%","32.9%","11.8%","23%",38,-120,2.4,10.2,"32.7%",556,"26.3%","29.1%",333,"27.9%",0,0.62,0.23,0.42
"Scout","LNG Esports","Middle",11,"45%","45%",36,19,43,4.2,"76.7%","35.0%","17.8%","36%",103,12,0.6,8.6,"23.6%",510,"28.2%","29.3%",265,"23.7%",0,0.38,0.15,0.24
"Sheo","Team BDS","Jungle",4,"0%","25%",4,13,16,1.5,"83.3%","16.7%","22.4%","50%",-510,-472,-15.8,5.4,"16.3%",170,"13.4%","13.5%",186,"18.5%",1,0.32,0.21,0.24
"ShowMaker","Dplus KIA","Middle",8,"50%","75%",20,10,46,6.6,"71.0%","21.5%","12.8%","13%",70,105,3.1,8.8,"25.5%",583,"25.9%","26.3%",274,"23.8%",0,0.49,0.22,0.42
