"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","D%P15","EGPM","GOLD%","STL","WPM","CWPM","WCPM"
"Slay","GAM Esports","Support",5,"20%","40%",4,25,22,1,"50.0%","7.7%","28.4%","20%",-164,184,6.2,1.9,"6.6%",102,"7.1%",,95,"8.8%",,1.24,0.41,0.4
"Sneaky","Cloud9","ADC",5,"20%","20%",9,19,26,1.8,"63.6%","16.4%","17.1%","0%",-2,-76,-13.8,7.6,"27.4%",615,"27.5%",,267,"25.5%",,0.42,0.13,0.29
"Svenskeren","Cloud9","Jungle",3,"33%","67%",9,13,14,1.8,"67.6%","26.5%","19.7%","0%",-577,-609,-9.3,4.4,"12.1%",345,"19.6%",,184,"17.3%",,0.78,0.28,0.46
"Sw0rd","Griffin","Top",11,"64%","36%",34,34,70,3.1,"60.8%","19.9%","32.4%","9%",-289,-143,-3.9,7.6,"23.0%",445,"21.7%",,255,"20.6%",,0.52,0.19,0.27
"Tarzan","Griffin","Jungle",11,"64%","45%",43,25,78,4.8,"70.8%","25.1%","23.8%","55%",205,111,1.5,5.4,"15.3%",348,"18.2%",,218,"18.2%",,1,0.46,0.38
"Teddy","SK Telecom T1","ADC",14,"64%","71%",59,22,88,6.7,"67.7%","27.2%","12.8%","29%",-101,-132,-2.3,9.9,"32.1%",432,"24.5%",,337,"26.8%",,0.46,0.18,0.35
"TheShy","Invictus Gaming","Top",14,"57%","43%",54,47,88,3,"67.9%","25.8%","20.7%","14%",322,199,8.4,8.2,"25.9%",591,"29.7%",,292,"25.0%",,0.39,0.07,0.12
"Tian","FunPlus Phoenix","Jungle",18,"78%","50%",71,44,158,5.2,"68.4%","21.2%","22.1%","50%",222,160,3.4,5.2,"15.1%",367,"19.0%",,234,"18.5%",,1.08,0.42,0.51
"Tore","Splyce","Support",11,"45%","73%",3,30,83,2.9,"64.2%","2.2%","21.3%","9%",102,-73,-4.1,1.1,"3.5%",104,"6.6%",,105,"9.3%",,1.5,0.51,0.47
"Unified","Hong Kong Attitude","ADC",6,"0%","50%",13,16,20,2.1,"60.0%","23.6%","19.3%","33%",234,-131,6.7,8.8,"30.6%",351,"26.0%",,257,"25.8%",,0.5,0.09,0.26
"Uzi","Royal Never Give Up","ADC",6,"50%","33%",30,9,34,7.1,"82.1%","38.5%","14.3%","17%",375,128,12.7,11.1,"36.6%",556,"37.2%",,369,"30.4%",,0.5,0.2,0.68
"Viper","Griffin","ADC",11,"64%","73%",54,14,63,8.4,"68.4%","31.6%","13.3%","36%",56,33,1.1,9.3,"31.4%",439,"23.3%",,319,"26.7%",,0.65,0.17,0.35
"Vizicsacsi","Splyce","Top",11,"45%","55%",22,31,57,2.5,"59.0%","16.4%","22.0%","27%",-60,-5,0.3,7.8,"24.2%",403,"24.3%",,258,"22.6%",,0.59,0.29,0.18
"VULCAN","Clutch Gaming","Support",6,"0%","67%",8,23,34,1.8,"72.4%","13.8%","21.1%","0%",-358,-31,-0.5,1.1,"4.1%",196,"11.3%",,128,"10.9%",,1.77,0.67,0.48
"Wako","ahq eSports Club","ADC",6,"0%","50%",8,12,22,2.5,"66.7%","17.8%","16.4%","33%",147,-42,-1.8,9.6,"34.3%",355,"24.1%",,264,"28.1%",,0.42,0.15,0.35
"Wunder","G2 Esports","Top",18,"61%","39%",40,56,85,2.2,"51.7%","16.5%","21.6%","22%",218,-17,6.7,8.2,"24.8%",410,"24.0%",,259,"22.1%",,0.46,0.13,0.14
"Xerxe","Splyce","Jungle",11,"45%","55%",34,22,62,4.4,"71.6%","25.4%","15.6%","27%",-123,-62,-4.6,4.6,"12.3%",280,"17.4%",,189,"16.3%",,0.9,0.32,0.49
"Xiaohu","Royal Never Give Up","Middle",6,"50%","50%",15,10,33,4.8,"61.5%","19.2%","15.9%","33%",-252,27,-2,8.5,"24.0%",311,"18.4%",,259,"21.6%",,0.38,0.19,0.38
"Xmithie","Team Liquid","Jungle",6,"50%","50%",12,19,38,2.6,"76.9%","18.5%","22.4%","33%",28,81,-2.7,4.7,"12.8%",241,"15.9%",,177,"16.7%",,0.69,0.31,0.37
"Ysera","ahq eSports Club","Support",6,"0%","17%",1,16,29,1.9,"66.7%","2.2%","21.9%","50%",-21,-65,0.8,1.2,"4.7%",134,"9.4%",,84,"8.7%",,1.49,0.5,0.3
"Zeros","GAM Esports","Top",6,"17%","33%",10,20,19,1.5,"52.7%","18.2%","20.6%","0%",3,68,11.2,9.6,"28.7%",383,"28.6%",,271,"25.3%",,0.45,0.16,0.18
"Zeyzal","Cloud9","Support",6,"33%","67%",6,24,38,1.8,"66.7%","9.1%","20.0%","0%",0,32,13.7,2.2,"6.9%",166,"9.7%",,126,"11.1%",,1.31,0.47,0.22
"Zin","GAM Esports","ADC",6,"17%","50%",12,13,15,2.1,"49.1%","21.8%","13.4%","17%",-107,-193,-6.5,8.7,"25.0%",269,"19.5%",,238,"21.9%",,0.39,0.12,0.22
"Ziv","ahq eSports Club","Top",6,"0%","67%",12,15,16,1.9,"62.2%","26.7%","20.5%","17%",-508,-208,-4.3,7.1,"22.2%",431,"28.5%",,204,"22.0%",,0.5,0.17,0.17
