"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","D%P15","EGPM","GOLD%","STL","WPM","CWPM","WCPM"
"Ambition","Gen.G","Jungle",1,"0%","0%",2,1,3,5,"83.3%","33.3%","8.3%","0%",-272,-407,8,4.4,"9.3%",259,"20.7%",,147,"15.3%",,0.32,0.34,0.34
"AnDa","100 Thieves","Jungle",6,"33%","83%",29,17,31,3.5,"81.1%","39.2%","20.0%","50%",157,-68,0.7,5,"13.9%",341,"19.6%",,218,"20.7%",,0.38,0.3,0.34
"aphromoo","100 Thieves","Support",6,"33%","33%",4,14,51,3.9,"74.3%","5.4%","16.5%","17%",-41,5,2.5,1.2,"4.4%",143,"9.0%",,104,"9.9%",,1.3,0.47,0.41
"Attila","Team Vitality","ADC",6,"50%","50%",24,10,30,5.4,"76.1%","33.8%","11.8%","0%",91,82,7.2,10.3,"32.0%",509,"31.2%",,329,"29.0%",,0.36,0.11,0.63
"Baolan","Invictus Gaming","Support",18,"78%","44%",19,31,181,6.5,"69.7%","6.6%","18.2%","22%",37,171,0.9,1.5,"4.2%",153,"7.2%",,127,"10.0%",,1.46,0.59,0.28
"baybay","G-Rex","Jungle",3,"0%","33%",3,11,6,0.8,"47.4%","15.8%","20.4%","0%",-194,-229,-2.7,4.9,"14.9%",309,"18.7%",,159,"19.0%",,0.56,0.41,0.19
"Benny","MAD Team","Jungle",2,"0%","0%",3,6,3,1,"60.0%","30.0%","20.7%","50%",161,58,8.5,4.7,"9.7%",135,"10.2%",,153,"16.9%",,0.39,0.29,0.26
"Betty","Flash Wolves","ADC",7,"43%","29%",27,10,36,6.3,"74.1%","31.8%","15.2%","29%",-76,-14,-6.3,9.9,"32.0%",528,"32.7%",,299,"27.8%",,0.45,0.16,0.42
"Bigkoro","Phong Vũ Buffalo","ADC",6,"33%","50%",20,16,18,2.4,"67.9%","35.7%","17.0%","0%",3,6,2.8,9.8,"30.5%",494,"27.3%",,299,"26.8%",,0.51,0.2,0.43
"Blaber","Cloud9","Jungle",1,"0%","100%",2,3,0,0.7,"100.0%","100.0%","27.3%","100%",12,-642,-13,5.2,"13.9%",150,"13.5%",,175,"21.0%",,0.41,0.32,0.41
"Breeze","MAD Team","ADC",6,"0%","50%",7,18,8,0.8,"46.9%","21.9%","18.9%","33%",-198,-36,-9,10,"33.8%",535,"31.5%",,254,"28.4%",,0.33,0.05,0.28
"Broxah","Fnatic","Jungle",17,"71%","59%",61,27,107,6.2,"70.6%","25.6%","14.0%","24%",207,233,3.6,5.3,"14.2%",277,"14.1%",,230,"18.9%",,0.5,0.25,0.26
"Bwipo","Fnatic","Top",13,"77%","31%",36,39,73,2.8,"58.3%","19.3%","27.3%","8%",297,271,4.2,8,"24.0%",543,"27.4%",,262,"21.6%",,0.52,0.18,0.09
"Cabochard","Team Vitality","Top",6,"50%","33%",12,8,29,5.1,"57.7%","16.9%","9.4%","17%",191,162,4.7,8.3,"23.7%",283,"18.2%",,241,"21.5%",,0.51,0.19,0.1
"Candy","G-Rex","Middle",6,"0%","67%",8,18,15,1.3,"60.5%","21.1%","16.4%","0%",-177,65,2,8.8,"27.0%",350,"24.5%",,212,"24.6%",,0.46,0.15,0.1
"Caps","Fnatic","Middle",17,"71%","18%",67,47,88,3.3,"65.1%","28.2%","24.4%","29%",-171,-134,-7.8,8.5,"25.3%",415,"21.1%",,279,"22.8%",,0.45,0.17,0.24
"Clearlove","EDward Gaming","Jungle",2,"50%","50%",3,3,7,3.3,"55.6%","16.7%","21.4%","0%",-324,-73,-2.5,4.4,"11.1%",135,"8.2%",,159,"14.9%",,0.38,0.31,0.32
"CoreJJ","Gen.G","Support",6,"17%","83%",8,12,26,2.8,"66.7%","15.7%","17.4%","0%",96,-224,-2,1.4,"4.0%",123,"8.1%",,98,"9.4%",,1.41,0.49,0.34
"Crown","Gen.G","Middle",6,"17%","50%",10,20,28,1.9,"74.5%","19.6%","29.0%","33%",-224,-413,-10,8.8,"26.3%",388,"26.1%",,227,"22.8%",,0.59,0.3,0.22
"CuVee","Gen.G","Top",6,"17%","67%",12,15,14,1.7,"51.0%","23.5%","21.7%","0%",-190,-197,-8,8.5,"27.3%",294,"19.9%",,226,"22.9%",,0.51,0.2,0.22
"Deft","KT Rolster","ADC",11,"64%","45%",40,16,46,5.4,"72.3%","33.6%","16.3%","36%",219,173,6.3,10.5,"32.6%",509,"33.0%",,319,"28.4%",,0.47,0.19,0.29
"Doublelift","Team Liquid","ADC",6,"50%","50%",17,5,18,7,"68.6%","33.3%","8.8%","17%",-76,-73,-3.7,11.1,"35.2%",467,"31.9%",,317,"28.1%",,0.42,0.13,0.52
"Duke","Invictus Gaming","Top",5,"60%","60%",12,8,18,3.8,"48.4%","19.4%","16.3%","0%",22,-34,6.6,8.6,"22.2%",306,"17.4%",,242,"21.4%",,0.36,0.06,0.14
"Empt2y","G-Rex","Jungle",3,"0%","67%",3,13,4,0.5,"36.8%","15.8%","23.2%","0%",-1131,-550,-8.7,4.3,"11.9%",114,"9.1%",,138,"16.3%",,0.49,0.41,0.19
"Hanabi","Flash Wolves","Top",7,"43%","43%",11,16,32,2.7,"50.6%","12.9%","24.2%","29%",-246,-183,-7.4,7.9,"22.3%",286,"19.4%",,212,"20.4%",,0.66,0.34,0.3
"Haro","EDward Gaming","Jungle",8,"50%","63%",25,15,52,5.1,"66.4%","21.6%","17.0%","63%",-10,-304,-4.6,4.9,"13.7%",251,"14.5%",,199,"17.9%",,0.6,0.47,0.37
"Haru","Gen.G","Jungle",5,"20%","40%",10,11,20,2.7,"66.7%","22.2%","19.3%","40%",76,600,10.4,5.3,"12.7%",285,"18.2%",,188,"19.3%",,0.39,0.3,0.2
"Hjarnan","G2 Esports","ADC",15,"47%","67%",38,24,67,4.4,"64.0%","23.2%","14.3%","20%",-197,-88,-8.4,10.3,"30.5%",473,"28.2%",,296,"26.3%",,0.3,0.08,0.37
"Hylissang","Fnatic","Support",17,"71%","65%",7,52,156,3.1,"68.5%","2.9%","26.9%","29%",81,25,-1.8,1.1,"3.5%",169,"8.7%",,122,"9.9%",,1.36,0.46,0.18
"iBoy","EDward Gaming","ADC",10,"50%","40%",42,16,64,6.6,"79.1%","31.3%","15.7%","50%",-54,-119,-0.6,10.2,"32.4%",591,"32.4%",,310,"28.1%",,0.38,0.17,0.54
"Impact","Team Liquid","Top",6,"50%","50%",7,9,26,3.7,"64.7%","13.7%","15.8%","0%",36,162,2.3,8.1,"20.7%",298,"21.8%",,225,"19.8%",,0.43,0.13,0.13
"JackeyLove","Invictus Gaming","ADC",18,"78%","33%",92,36,100,5.3,"66.9%","32.1%","21.2%","17%",68,-114,4.3,10.2,"30.8%",581,"27.5%",,335,"26.4%",,0.37,0.18,0.39
"Jactroll","Team Vitality","Support",6,"50%","17%",1,27,49,1.9,"70.4%","1.4%","31.8%","0%",-146,83,3.2,1.5,"4.3%",135,"8.8%",,97,"8.4%",,1.36,0.47,0.21
"Jankos","G2 Esports","Jungle",15,"47%","80%",27,37,80,2.9,"65.2%","16.5%","22.0%","40%",-57,50,0.5,4.8,"10.9%",221,"13.6%",,181,"16.1%",,0.61,0.45,0.4
"Jensen","Cloud9","Middle",13,"54%","46%",45,33,70,3.5,"73.2%","28.7%","19.9%","31%",177,263,8.5,9.1,"26.6%",492,"27.5%",,270,"24.2%",,0.32,0.16,0.22
"Jiizuke","Team Vitality","Middle",6,"50%","50%",20,15,28,3.2,"67.6%","28.2%","17.6%","0%",-102,65,0.2,9.2,"27.6%",448,"27.7%",,276,"24.5%",,0.43,0.1,0.15
"K","MAD Team","Support",6,"0%","17%",1,17,17,1.1,"56.3%","3.1%","17.9%","33%",1,-352,-5.5,1.1,"3.7%",89,"6.5%",,67,"7.7%",,1.83,0.73,0.47
"Karsa","Royal Never Give Up","Jungle",9,"56%","22%",19,18,36,3.1,"71.4%","24.7%","22.5%","11%",-122,-134,-3.1,5,"12.8%",239,"17.1%",,192,"18.0%",,0.5,0.39,0.36
"Kiin","Kwangdong Freecs","Top",9,"44%","89%",16,19,37,2.8,"65.4%","19.8%","23.2%","22%",152,205,-1.9,9.5,"27.5%",457,"29.8%",,268,"25.2%",,0.53,0.17,0.17
"Kikis","Team Vitality","Jungle",6,"50%","83%",14,25,41,2.2,"77.5%","19.7%","29.4%","17%",-166,-186,1.3,4.9,"12.4%",214,"14.0%",,188,"16.6%",,0.47,0.21,0.22
"Koala","G-Rex","Support",6,"0%","50%",5,28,18,0.8,"60.5%","13.2%","25.5%","0%",-213,-120,-5,1.1,"4.0%",163,"11.2%",,72,"8.5%",,1.23,0.42,0.3
"Kongyue","MAD Team","Jungle",4,"0%","25%",5,13,14,1.5,"86.4%","22.7%","19.7%","75%",144,167,9,4.5,"11.3%",207,"13.3%",,142,"16.3%",,0.6,0.5,0.31
"Kramer","Kwangdong Freecs","ADC",9,"44%","56%",29,14,29,4.1,"71.6%","35.8%","17.1%","22%",72,-80,1.8,10.5,"31.6%",413,"27.0%",,304,"28.1%",,0.49,0.22,0.48
"Kuro","Kwangdong Freecs","Middle",9,"44%","89%",26,13,25,3.9,"63.0%","32.1%","15.9%","22%",-209,-208,-14.1,9.1,"25.9%",339,"23.2%",,248,"22.9%",,0.57,0.23,0.22
"Letme","Royal Never Give Up","Top",12,"58%","42%",16,23,51,2.9,"55.4%","13.2%","18.7%","0%",-140,63,-0.6,7.9,"22.2%",327,"20.3%",,215,"20.0%",,0.43,0.16,0.15
"Liang","MAD Team","Top",6,"0%","67%",10,23,7,0.7,"53.1%","31.3%","24.2%","33%",49,-72,-1,7.8,"25.2%",354,"23.8%",,200,"22.9%",,0.46,0.15,0.2
"Licorice","Cloud9","Top",13,"54%","54%",29,34,61,2.6,"57.3%","18.5%","20.5%","15%",-154,-130,-3.2,8.2,"24.6%",334,"19.2%",,233,"21.3%",,0.46,0.16,0.15
"Maple","Flash Wolves","Middle",7,"43%","29%",22,11,29,4.6,"60.0%","25.9%","16.7%","29%",-38,-95,-1.9,8.6,"25.6%",340,"20.6%",,239,"22.8%",,0.54,0.2,0.18
"Mata","KT Rolster","Support",11,"64%","73%",5,23,84,3.9,"74.8%","4.2%","23.5%","36%",-45,-77,5.5,1.6,"5.0%",119,"7.9%",,110,"9.7%",,1.77,0.71,0.37
