"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","D%P15","EGPM","GOLD%","STL","WPM","CWPM","WCPM"
"Meiko","EDward Gaming","Support",10,"50%","60%",9,26,91,3.8,"74.6%","6.7%","25.5%","50%",-175,-118,-2.3,1.2,"4.2%",163,"9.4%",,114,"10.2%",,1.43,0.56,0.19
"Meliodas","Phong Vũ Buffalo","Jungle",5,"20%","60%",4,9,20,2.7,"72.7%","12.1%","13.2%","0%",-66,138,5.6,5.3,"13.7%",201,"13.4%",,177,"17.2%",,0.45,0.39,0.42
"Ming","Royal Never Give Up","Support",12,"58%","42%",7,29,78,2.9,"70.2%","5.8%","23.6%","33%",-3,52,-4.6,0.9,"3.1%",161,"10.2%",,100,"9.1%",,1.43,0.56,0.35
"Mlxg","Royal Never Give Up","Jungle",3,"67%","33%",13,13,15,2.2,"63.6%","29.5%","30.2%","33%",70,-405,-5.3,4.6,"11.7%",321,"14.0%",,208,"18.6%",,0.36,0.28,0.2
"MooJin","Flash Wolves","Jungle",7,"43%","57%",23,10,39,6.2,"72.9%","27.1%","15.2%","57%",-50,-126,-8.1,5.1,"14.2%",353,"19.9%",,201,"19.2%",,0.5,0.47,0.25
"Mowgli","Kwangdong Freecs","Jungle",2,"50%","0%",3,3,10,4.3,"56.5%","13.0%","18.8%","50%",10,-45,-9,4.6,"9.3%",189,"12.2%",,180,"14.6%",,0.46,0.39,0.48
"Naul","Phong Vũ Buffalo","Middle",6,"33%","67%",14,14,21,2.5,"62.5%","25.0%","14.9%","33%",1,-38,0.8,8.4,"22.9%",371,"21.3%",,237,"21.7%",,0.64,0.36,0.27
"Ning","Invictus Gaming","Jungle",18,"78%","33%",51,38,147,5.2,"69.0%","17.8%","22.4%","56%",-27,-69,-2.1,5.4,"14.9%",327,"15.0%",,233,"18.2%",,0.45,0.35,0.36
"Olleh","Team Liquid","Support",6,"50%","33%",4,15,36,2.7,"78.4%","7.8%","26.3%","17%",260,412,-2.2,1.3,"4.3%",116,"8.0%",,115,"10.2%",,1.62,0.56,0.34
"Palette","Phong Vũ Buffalo","Support",6,"33%","83%",2,23,38,1.7,"71.4%","3.6%","24.5%","0%",-36,25,-1.8,1.4,"4.4%",162,"9.6%",,106,"9.4%",,1.74,0.73,0.38
"Perkz","G2 Esports","Middle",15,"47%","40%",53,39,55,2.8,"65.9%","32.3%","23.2%","40%",114,41,5.2,9.6,"26.5%",467,"27.6%",,278,"24.4%",,0.43,0.14,0.25
"PK","G-Rex","Top",6,"0%","33%",8,19,15,1.2,"60.5%","21.1%","17.3%","0%",-271,63,-5.5,7.5,"23.3%",296,"20.8%",,194,"22.4%",,0.47,0.15,0.09
"Pobelter","Team Liquid","Middle",6,"50%","33%",13,15,19,2.1,"62.7%","25.5%","26.3%","0%",-19,-212,-2.3,9.5,"25.6%",333,"22.3%",,266,"23.9%",,0.53,0.26,0.32
"Ray","EDward Gaming","Top",10,"50%","50%",24,23,64,3.8,"65.7%","17.9%","22.5%","10%",-118,-146,-6,7.9,"24.6%",325,"18.1%",,236,"20.9%",,0.54,0.22,0.16
"Rekkles","Fnatic","ADC",17,"71%","82%",61,19,109,8.9,"71.4%","25.6%","9.8%","29%",89,236,2.8,10.4,"33.8%",555,"29.0%",,329,"27.3%",,0.4,0.16,0.32
"Rikara","100 Thieves","ADC",6,"33%","67%",18,18,32,2.8,"67.6%","24.3%","21.2%","17%",-152,-241,-11,9.1,"29.9%",405,"21.8%",,267,"24.8%",,0.33,0.11,0.2
"Rookie","Invictus Gaming","Middle",18,"78%","56%",70,29,127,6.8,"68.6%","24.4%","17.1%","39%",390,289,13.9,8.9,"24.7%",559,"26.2%",,286,"22.7%",,0.39,0.26,0.2
"Ruler","Gen.G","ADC",6,"17%","33%",9,10,17,2.6,"51.0%","17.6%","14.5%","0%",-133,26,-4.7,10.3,"30.3%",407,"27.3%",,267,"26.3%",,0.42,0.17,0.38
"Ryu","100 Thieves","Middle",6,"33%","67%",12,20,30,2.1,"56.8%","16.2%","23.5%","17%",-224,-208,-7.2,8,"24.2%",400,"24.6%",,222,"21.3%",,0.45,0.18,0.14
"Score","KT Rolster","Jungle",11,"64%","55%",24,18,66,5,"75.6%","20.2%","18.4%","45%",82,149,-0.1,5,"13.2%",237,"15.2%",,194,"17.6%",,0.38,0.3,0.34
"Scout","EDward Gaming","Middle",10,"50%","70%",31,19,66,5.1,"72.4%","23.1%","18.6%","20%",117,215,4,8.8,"25.6%",469,"26.9%",,257,"23.5%",,0.42,0.29,0.19
"Smeb","KT Rolster","Top",11,"64%","36%",18,20,52,3.5,"58.8%","15.1%","20.4%","18%",-119,-151,-0.9,8.2,"23.7%",317,"21.0%",,237,"21.2%",,0.48,0.17,0.15
"Sneaky","Cloud9","ADC",13,"54%","38%",33,27,67,3.7,"63.7%","21.0%","16.3%","23%",-164,-127,-4.5,9.4,"29.3%",492,"27.0%",,284,"25.2%",,0.36,0.11,0.36
"sOAZ","Fnatic","Top",4,"50%","50%",6,9,26,3.6,"62.7%","11.8%","18.0%","0%",8,46,-1.3,7.5,"20.5%",461,"25.9%",,227,"19.7%",,0.47,0.17,0.09
"Spirit","Kwangdong Freecs","Jungle",7,"43%","14%",5,13,33,2.9,"65.5%","8.6%","19.7%","57%",48,2,-2.6,4.7,"10.6%",176,"12.2%",,154,"14.8%",,0.42,0.41,0.41
"Ssumday","100 Thieves","Top",6,"33%","33%",11,16,32,2.7,"58.1%","14.9%","18.8%","17%",36,-51,5.5,8.7,"27.7%",396,"25.1%",,243,"23.4%",,0.44,0.17,0.12
"Stitch","G-Rex","ADC",6,"0%","33%",11,21,16,1.3,"71.1%","28.9%","19.1%","0%",-311,-144,-6.2,9.3,"32.2%",431,"29.6%",,235,"26.8%",,0.33,0.14,0.21
"Svenskeren","Cloud9","Jungle",12,"58%","42%",38,34,67,3.1,"67.7%","24.5%","21.9%","50%",89,13,0.9,5.4,"14.2%",343,"18.7%",,214,"18.9%",,0.32,0.27,0.35
"SwordArt","Flash Wolves","Support",7,"43%","57%",2,19,53,2.9,"64.7%","2.4%","28.8%","29%",37,-174,1.4,1.8,"5.9%",118,"7.4%",,103,"9.8%",,1.52,0.46,0.33
"TheShy","Invictus Gaming","Top",13,"85%","85%",43,28,86,4.6,"57.3%","19.1%","23.1%","15%",126,177,2.4,9.2,"26.5%",616,"26.6%",,311,"23.2%",,0.41,0.08,0.09
"TusiN","Kwangdong Freecs","Support",9,"44%","22%",2,20,52,2.7,"66.7%","2.5%","24.4%","11%",70,144,1.3,1.5,"4.6%",114,"7.8%",,96,"9.0%",,1.85,0.62,0.31
"ucal","KT Rolster","Middle",11,"64%","64%",32,21,48,3.8,"67.2%","26.9%","21.4%","9%",-15,-43,-5.6,8.9,"25.5%",354,"22.9%",,261,"23.1%",,0.64,0.35,0.18
"Uniboy","MAD Team","Middle",6,"0%","33%",6,18,15,1.2,"65.6%","18.8%","18.9%","17%",-134,-171,-3,9.1,"26.6%",363,"25.9%",,217,"24.5%",,0.5,0.21,0.24
"Uzi","Royal Never Give Up","ADC",12,"58%","50%",41,17,41,4.8,"67.8%","33.9%","13.8%","33%",418,283,14.3,11.2,"37.2%",482,"30.0%",,333,"30.6%",,0.47,0.18,0.36
"Wadid","G2 Esports","Support",15,"47%","47%",6,34,99,3.1,"64.0%","3.7%","20.2%","20%",0,-84,-0.7,1.4,"4.0%",100,"6.3%",,101,"8.8%",,1.81,0.63,0.27
"Wunder","G2 Esports","Top",15,"47%","47%",40,34,45,2.5,"51.8%","24.4%","20.2%","20%",65,-182,2.5,9.8,"28.1%",407,"24.4%",,280,"24.4%",,0.48,0.13,0.16
"Xiaohu","Royal Never Give Up","Middle",12,"58%","50%",25,23,61,3.7,"71.1%","20.7%","18.7%","0%",-142,-51,-2.2,8.8,"24.9%",393,"23.2%",,242,"22.2%",,0.4,0.24,0.2
"Xmithie","Team Liquid","Jungle",6,"50%","67%",10,13,25,2.7,"68.6%","19.6%","22.8%","17%",108,241,3.5,5.8,"14.2%",229,"16.0%",,203,"18.0%",,0.46,0.39,0.29
"XuHao","Phong Vũ Buffalo","Jungle",1,"100%","0%",5,6,14,3.2,"82.6%","21.7%","23.1%","100%",180,-325,10,6.3,"17.5%",511,"16.2%",,275,"19.5%",,0.36,0.31,0.81
"Zeros","Phong Vũ Buffalo","Top",6,"33%","17%",11,26,25,1.4,"64.3%","19.6%","27.7%","33%",134,-4,8,9.4,"27.9%",479,"28.0%",,270,"24.6%",,0.54,0.18,0.17
"Zeyzal","Cloud9","Support",13,"54%","54%",10,35,101,3.2,"70.7%","6.4%","21.1%","23%",-14,8,6.5,1.7,"5.4%",141,"8.0%",,117,"10.3%",,1.43,0.54,0.31
