"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","D%P15","EGPM","GOLD%","STL","WPM","CWPM","WCPM"
"Achie","Taipei Assassins","Top",6,"17%",,7,18,26,1.8,"55.9%","11.9%","19.4%","17%",-236,-240,-7.2,6.6,"25.5%",270,"17.1%",,176,"21.4%",,0.37,0.07,0.1
"Acorn","Samsung Blue","Top",13,"62%",,22,40,108,3.3,"60.2%","10.2%","19.9%","15%",156,94,5.5,5.7,"23.1%",334,"17.7%",,200,"18.7%",,0.37,0.08,0.13
"Amazing","TSM","Jungle",10,"50%",,24,39,77,2.6,"78.3%","18.6%","26.7%","60%",-21,-183,1.1,3.5,"12.7%",218,"13.6%",,182,"17.9%",,0.76,0.11,0.24
"BalIs","Cloud9","Top",11,"45%",,24,40,61,2.1,"59.9%","16.9%","22.9%","18%",-136,-154,-1.8,6.2,"23.5%",358,"19.9%",,202,"20.1%",,0.37,0.08,0.13
"BeBe","Taipei Assassins","ADC",6,"17%",,15,20,23,1.9,"64.4%","25.4%","21.5%","33%",-75,374,-1.2,8.2,"32.5%",505,"30.5%",,226,"27.1%",,0.27,0.03,0.19
"Bjergsen","TSM","Middle",10,"50%",,30,22,57,4,"67.4%","23.3%","15.1%","10%",-33,-23,5,8.5,"31.8%",479,"28.1%",,258,"25.0%",,0.29,0.11,0.1
"CandyPanda","SK Gaming","ADC",6,"33%",,19,16,25,2.8,"62.0%","26.8%","14.0%","0%",-209,82,1.3,8.5,"33.0%",468,"27.8%",,254,"26.9%",,0.23,0.04,0.14
"Chieh","Taipei Assassins","Support",6,"17%",,4,18,30,1.9,"57.6%","6.8%","19.4%","17%",-80,50,4.2,0.7,"2.5%",107,"7.5%",,84,"9.8%",,1.24,0.19,0.23
"CL0UD","Oh My God","Support",8,"63%",,6,25,101,4.3,"70.9%","4.0%","23.6%","50%",-12,-107,-1.5,0.7,"2.8%",113,"5.1%",,140,"12.5%",,1.45,0.25,0.27
"Clearlove","EDward Gaming","Jungle",12,"50%",,37,34,87,3.6,"63.6%","19.0%","20.1%","58%",228,189,0.1,3.4,"13.5%",301,"15.4%",,184,"17.1%",,0.48,0.11,0.21
"Cola","Royal Club","Top",20,"60%",,61,60,135,3.3,"63.0%","19.6%","20.1%","30%",-141,-409,-7.6,5.8,"21.7%",332,"18.9%",,208,"19.8%",,0.28,0.03,0.06
"Cool","Oh My God","Middle",14,"57%",,53,44,93,3.3,"64.9%","23.6%","23.4%","7%",13,132,1.1,7.8,"28.9%",480,"25.0%",,259,"24.7%",,0.31,0.05,0.19
"Corn","Royal Club","Middle",20,"60%",,68,59,155,3.8,"71.7%","21.9%","19.7%","25%",-156,-137,-3,7.5,"27.7%",389,"22.6%",,243,"23.6%",,0.34,0.09,0.16
"Crystal","Dark Passage","Jungle",6,"0%",,2,28,7,0.3,"45.0%","10.0%","22.6%","17%",-180,-386,2.3,3.2,"12.5%",125,"10.4%",,95,"14.5%",,0.54,0.06,0.12
"Cyanide","Fnatic","Jungle",6,"33%",,7,18,40,2.6,"61.0%","9.1%","21.7%","50%",-246,-388,-5.7,2.4,"8.5%",168,"9.7%",,126,"13.9%",,0.73,0.1,0.16
"Da7","Oh My God","Support",6,"50%",,3,22,40,2,"58.1%","4.1%","26.8%","0%",-164,-9,-1.7,0.6,"2.7%",92,"6.4%",,103,"10.5%",,1.52,0.29,0.38
"dade","Samsung Blue","Middle",13,"62%",,66,46,68,2.9,"62.0%","30.6%","22.9%","31%",121,118,-0.3,7.8,"29.9%",427,"24.0%",,268,"24.6%",,0.33,0.08,0.21
"Danagorn","KaBuM! Esports","Jungle",6,"17%",,7,20,16,1.2,"63.9%","19.4%","25.3%","33%",-271,-286,-6.7,2.5,"8.6%",146,"11.2%",,106,"13.3%",,0.63,0.18,0.22
