"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","D%P15","EGPM","GOLD%","STL","WPM","CWPM","WCPM"
"DanDy","Samsung White","Jungle",17,"88%",,84,32,188,8.5,"70.8%","21.9%","23.9%","47%",408,291,2.7,3.7,"13.5%",375,"17.4%",,250,"19.1%",,0.59,0.16,0.18
"dans","KaBuM! Esports","Support",6,"17%",,0,12,25,2.1,"69.4%","0.0%","15.2%","33%",-15,65,4.2,0.7,"2.2%",115,"8.6%",,80,"9.7%",,0.98,0.2,0.22
"Deft","Samsung Blue","ADC",13,"62%",,83,35,66,4.3,"69.0%","38.4%","17.4%","38%",-102,-44,-8.4,7.5,"29.9%",661,"36.5%",,273,"26.8%",,0.27,0.09,0.17
"Dyrus","TSM","Top",10,"50%",,22,33,61,2.5,"64.3%","17.1%","22.6%","20%",29,70,0.4,6.2,"23.3%",384,"21.5%",,206,"20.0%",,0.33,0.09,0.09
"fabFabulous","Dark Passage","Top",6,"0%",,3,24,8,0.5,"55.0%","15.0%","19.4%","0%",-132,-350,-3.8,6.2,"25.1%",344,"26.8%",,144,"22.0%",,0.42,0.05,0.08
"fredy122","SK Gaming","Top",6,"33%",,17,29,25,1.4,"59.2%","23.9%","25.4%","0%",152,231,8.8,6.6,"25.1%",365,"22.6%",,204,"22.9%",,0.35,0.02,0.06
"Froggen","Alliance","Middle",6,"50%",,24,10,27,5.1,"66.2%","31.2%","18.5%","17%",-8,184,-5.3,8.9,"32.4%",488,"33.6%",,268,"27.3%",,0.33,0.15,0.12
"FZZF","EDward Gaming","Support",12,"50%",,9,37,114,3.3,"63.1%","4.6%","21.9%","33%",-14,-10,0.8,0.8,"3.2%",116,"6.3%",,120,"10.9%",,1.27,0.26,0.3
"GarnetDevil","ahq eSports Club","ADC",7,"43%",,18,29,43,2.1,"57.0%","16.8%","20.7%","29%",-365,-215,-13,7.2,"27.8%",464,"26.5%",,219,"23.2%",,0.24,0.06,0.17
"Ggoong","NaJin White Shield","Middle",10,"50%",,35,22,47,3.7,"70.1%","29.9%","17.5%","20%",181,-76,6.8,8.4,"30.2%",509,"27.5%",,256,"25.8%",,0.36,0.09,0.22
"Gilius","SK Gaming","Jungle",3,"0%",,4,16,16,1.3,"71.4%","14.3%","27.6%","33%",-38,-206,2.3,3.2,"12.5%",220,"14.6%",,144,"16.8%",,0.43,0.06,0.21
"GodLike","LMQ","Top",6,"33%",,13,31,33,1.5,"67.6%","19.1%","27.4%","50%",29,-115,1.8,4.8,"20.7%",355,"23.1%",,156,"18.2%",,0.27,0.08,0.14
"Gogoing","Oh My God","Top",14,"57%",,49,36,98,4.1,"65.3%","21.8%","19.1%","14%",210,336,8.9,6.4,"24.4%",415,"21.8%",,221,"20.7%",,0.42,0.04,0.12
"GorillA","NaJin White Shield","Support",10,"50%",,4,30,86,3,"76.9%","3.4%","23.8%","30%",-24,-232,3.4,0.7,"2.7%",142,"7.5%",,122,"11.8%",,1.53,0.32,0.29
"GreenTea","ahq eSports Club","Support",7,"43%",,10,31,54,2.1,"59.8%","9.3%","22.1%","29%",-216,-324,3.1,0.8,"2.7%",162,"9.2%",,96,"10.7%",,1.26,0.15,0.14
"Hai","Cloud9","Middle",11,"45%",,39,55,54,1.7,"65.5%","27.5%","31.4%","27%",-211,-207,-6.1,7.3,"27.8%",514,"28.6%",,234,"23.4%",,0.29,0.07,0.23
"Heart","Samsung Blue","Support",13,"62%",,9,49,157,3.4,"76.9%","4.2%","24.4%","38%",14,75,1.5,0.8,"3.4%",129,"7.2%",,139,"12.5%",,1.36,0.23,0.32
"HolyPhoenix","Dark Passage","ADC",6,"0%",,13,20,4,0.9,"85.0%","65.0%","16.1%","17%",-7,-197,-5.7,7.6,"30.2%",374,"28.1%",,197,"29.8%",,0.21,0.01,0.19
"imp","Samsung White","ADC",17,"88%",,105,29,124,7.9,"59.6%","27.3%","21.6%","29%",55,79,0.2,7.5,"24.8%",614,"28.9%",,299,"22.7%",,0.28,0.06,0.13
"inSec","Royal Club","Jungle",20,"60%",,59,71,134,2.7,"62.1%","19.0%","23.7%","45%",-166,4,-1.9,3.2,"12.0%",297,"17.4%",,171,"16.4%",,0.5,0.07,0.15
"Jesiz","SK Gaming","Middle",6,"33%",,13,22,26,1.8,"54.9%","18.3%","19.3%","0%",-458,-377,-14.8,7.2,"25.1%",397,"21.9%",,209,"22.5%",,0.32,0.03,0.08
"Korol","EDward Gaming","Top",12,"50%",,44,37,83,3.4,"65.1%","22.6%","21.9%","17%",174,212,6.4,6.7,"25.2%",404,"21.4%",,233,"22.0%",,0.28,0.09,0.12
"LemonNation","Cloud9","Support",11,"45%",,3,30,99,3.4,"71.8%","2.1%","17.1%","27%",137,52,-3.5,0.7,"3.6%",189,"10.4%",,136,"13.3%",,0.98,0.13,0.35
"Lep","KaBuM! Esports","Top",6,"17%",,4,21,14,0.9,"50.0%","11.1%","26.6%","17%",-208,-166,-10.2,6.2,"22.8%",277,"21.2%",,157,"20.7%",,0.32,0.04,0.09
"Looper","Samsung White","Top",17,"88%",,71,21,184,12.1,"66.4%","18.5%","15.7%","41%",144,350,1.9,7,"27.1%",415,"19.8%",,277,"21.1%",,0.36,0.07,0.12
"LoveLing","Oh My God","Jungle",14,"57%",,53,34,90,4.2,"63.6%","23.6%","18.1%","29%",63,-87,-0.6,3.1,"11.0%",319,"18.2%",,180,"16.8%",,0.65,0.1,0.22
"Lustboy","TSM","Support",10,"50%",,8,31,92,3.2,"77.5%","6.2%","21.2%","30%",-66,-193,-2.4,0.5,"2.5%",130,"7.5%",,124,"11.9%",,1.23,0.26,0.23
"Mata","Samsung White","Support",17,"88%",,18,27,253,10,"70.6%","4.7%","20.1%","41%",123,115,-2.2,0.7,"2.8%",133,"6.4%",,169,"12.9%",,1.57,0.23,0.3
"Meteos","Cloud9","Jungle",11,"45%",,27,25,50,3.1,"54.2%","19.0%","14.3%","27%",17,44,4.8,3.6,"13.3%",200,"11.1%",,174,"17.3%",,0.68,0.14,0.24
"Minerva","KaBuM! Esports","ADC",6,"17%",,11,14,13,1.7,"66.7%","30.6%","17.7%","33%",-141,-103,-4.3,8.2,"32.0%",417,"31.2%",,216,"27.8%",,0.12,0.02,0.07
"Mor","LMQ","Support",6,"33%",,3,26,55,2.2,"85.3%","4.4%","23.0%","67%",-59,-233,3.2,0.8,"3.5%",104,"7.2%",,101,"11.2%",,1.47,0.28,0.3
"Morning","Taipei Assassins","Middle",6,"17%",,15,22,23,1.7,"64.4%","25.4%","23.7%","17%",292,305,10.3,8.1,"28.5%",411,"26.9%",,210,"25.5%",,0.21,0.06,0.15
"NaMei","EDward Gaming","ADC",12,"50%",,46,34,82,3.8,"65.6%","23.6%","20.1%","25%",5,82,3.1,7.9,"30.2%",541,"29.4%",,267,"25.3%",,0.27,0.03,0.19
"Naru","Dark Passage","Middle",6,"0%",,1,24,6,0.3,"35.0%","5.0%","19.4%","0%",-207,-317,-3.7,7.7,"29.3%",347,"26.1%",,164,"24.9%",,0.33,0.12,0.16
"Naz","ahq eSports Club","Jungle",7,"43%",,19,20,35,2.7,"50.5%","17.8%","14.3%","29%",-574,-382,-2.3,2.7,"9.7%",220,"12.1%",,134,"14.1%",,0.66,0.09,0.18
"NONAME","LMQ","Jungle",6,"33%",,9,22,47,2.5,"82.4%","13.2%","19.5%","50%",-81,59,-0.7,3.2,"13.5%",180,"11.6%",,149,"17.3%",,0.65,0.09,0.24
"nRated","SK Gaming","Support",6,"33%",,3,22,37,1.8,"56.3%","4.2%","19.3%","0%",-225,-21,0.7,0.5,"2.3%",177,"10.9%",,94,"9.2%",,1.11,0.23,0.22
"Nyph","Alliance","Support",6,"50%",,4,13,43,3.6,"61.0%","5.2%","24.1%","17%",-33,188,-0.5,0.8,"3.1%",95,"6.2%",,111,"10.9%",,1.23,0.2,0.25
"PawN","Samsung White","Middle",17,"88%",,106,25,141,9.9,"64.3%","27.6%","18.7%","47%",215,353,3.6,8.4,"31.8%",581,"27.5%",,318,"24.2%",,0.4,0.07,0.17
"Prydz","ahq eSports Club","Top",7,"43%",,22,35,42,1.8,"59.8%","20.6%","25.0%","29%",-291,-286,-5.4,6.4,"22.1%",426,"23.5%",,200,"21.0%",,0.6,0.1,0.08
"Rekkles","Fnatic","ADC",6,"33%",,41,10,15,5.6,"72.7%","53.2%","12.0%","0%",194,-308,6.2,9.3,"37.8%",521,"28.7%",,293,"31.5%",,0.11,0.02,0.19
"san","Oh My God","ADC",14,"57%",,61,27,91,5.6,"67.6%","27.1%","14.4%","21%",-94,-161,-2.2,8.4,"32.9%",545,"29.3%",,272,"26.2%",,0.22,0.04,0.16
"Save","NaJin White Shield","Top",10,"50%",,28,33,40,2.1,"58.1%","23.9%","26.2%","20%",-97,56,-0.5,7,"27.1%",432,"22.6%",,224,"22.2%",,0.4,0.1,0.2
"Shook","Alliance","Jungle",6,"50%",,18,13,33,3.9,"66.2%","23.4%","24.1%","67%",316,313,0.2,3.2,"10.1%",242,"14.9%",,153,"15.3%",,0.6,0.11,0.21
"Sneaky","Cloud9","ADC",11,"45%",,49,25,50,4,"69.7%","34.5%","14.3%","27%",85,113,7.9,7.7,"31.8%",542,"30.0%",,258,"25.9%",,0.25,0.08,0.17
"sOAZ","Fnatic","Top",6,"33%",,8,20,39,2.4,"61.0%","10.4%","24.1%","0%",-225,-87,-10.7,5.1,"20.8%",403,"23.3%",,169,"18.4%",,0.39,0.08,0.08
"Spirit","Samsung Blue","Jungle",13,"62%",,36,31,99,4.4,"62.5%","16.7%","15.4%","54%",108,281,1.1,3.6,"13.7%",261,"14.5%",,191,"17.4%",,0.7,0.17,0.31
"Svenskeren","SK Gaming","Jungle",3,"67%",,15,9,15,3.3,"69.8%","34.9%","16.1%","0%",-296,-157,-4.7,4.4,"16.4%",386,"19.0%",,207,"20.3%",,0.36,0.05,0.23
"Tabzz","Alliance","ADC",6,"50%",,21,9,26,5.2,"61.0%","27.3%","16.7%","0%",44,137,0.5,7.8,"27.1%",430,"27.2%",,240,"24.2%",,0.3,0.06,0.16
"tinowns","KaBuM! Esports","Middle",6,"17%",,14,12,11,2.1,"69.4%","38.9%","15.2%","17%",-20,145,1.3,8.8,"34.4%",381,"27.7%",,218,"28.6%",,0.47,0.13,0.22
"Touch","Dark Passage","Support",6,"0%",,1,28,13,0.5,"70.0%","5.0%","22.6%","17%",30,70,1.2,0.7,"2.8%",112,"8.6%",,56,"8.8%",,1.13,0.26,0.21
"U","EDward Gaming","Middle",12,"50%",,59,27,69,4.7,"65.6%","30.3%","16.0%","17%",179,93,5.5,7.8,"27.8%",499,"27.5%",,258,"24.7%",,0.39,0.09,0.16
"Uzi","Royal Club","ADC",20,"60%",,112,49,105,4.4,"69.8%","36.0%","16.4%","30%",239,22,6.1,8.8,"35.7%",579,"31.8%",,294,"28.0%",,0.18,0.02,0.19
"Vasilii","LMQ","ADC",6,"33%",,19,15,35,3.6,"79.4%","27.9%","13.3%","33%",21,297,1.3,6.6,"25.3%",479,"30.5%",,211,"25.3%",,0.11,0.01,0.13
"Watch","NaJin White Shield","Jungle",10,"50%",,20,23,47,2.9,"57.3%","17.1%","18.3%","20%",-159,-127,-0.1,3.3,"11.4%",256,"14.1%",,160,"15.8%",,0.69,0.1,0.25
"Westdoor","ahq eSports Club","Middle",7,"43%",,38,25,36,3,"69.2%","35.5%","17.9%","14%",-133,-317,-10.1,8.6,"37.7%",508,"28.7%",,275,"30.9%",,0.19,0.04,0.1
"Wickd","Alliance","Top",6,"50%",,10,9,38,5.3,"62.3%","13.0%","16.7%","50%",211,95,5.2,7.3,"27.3%",280,"18.1%",,220,"22.3%",,0.36,0.07,0.14
"WildTurtle","TSM","ADC",10,"50%",,45,21,46,4.3,"70.5%","34.9%","14.4%","30%",10,-219,-0.4,7.8,"29.8%",507,"29.4%",,262,"25.2%",,0.17,0.02,0.14
"Winds","Taipei Assassins","Jungle",6,"17%",,18,15,25,2.9,"72.9%","30.5%","16.1%","33%",126,130,1.3,3.1,"11.0%",276,"18.0%",,133,"16.2%",,0.78,0.08,0.14
"XiaoWeiXiao","LMQ","Middle",6,"33%",,24,19,25,2.6,"72.1%","35.3%","16.8%","33%",88,-169,-3,8.5,"37.1%",408,"27.6%",,244,"28.1%",,0.26,0.06,0.18
"xPeke","Fnatic","Middle",6,"33%",,21,20,28,2.5,"63.6%","27.3%","24.1%","33%",-132,-153,5.5,8,"30.1%",573,"33.3%",,239,"25.3%",,0.27,0.09,0.18
"YellOwStaR","Fnatic","Support",6,"33%",,0,15,49,3.3,"63.6%","0.0%","18.1%","33%",33,-97,-3.3,0.7,"2.8%",87,"5.0%",,107,"11.0%",,1.78,0.36,0.5
"Zefa","NaJin White Shield","ADC",10,"50%",,30,18,39,3.8,"59.0%","25.6%","14.3%","30%",-56,81,-0.2,7.8,"28.6%",527,"28.3%",,243,"24.4%",,0.29,0.08,0.17
"Zero","Royal Club","Support",20,"60%",,11,60,224,3.9,"75.6%","3.5%","20.1%","35%",99,196,-1,0.6,"2.9%",160,"9.3%",,132,"12.2%",,1.27,0.25,0.32
