"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","D%P15","EGPM","GOLD%","STL","WPM","CWPM","WCPM"
"Albis","ahq eSports Club","Support",6,"50%",,4,10,38,4.2,"65.6%","6.3%","14.7%","33%",-5,-244,-1.5,0.7,"2.3%",138,"7.1%",,127,"11.0%",,1.47,0.36,0.46
"AmazingJ","I May","Top",6,"33%",,12,16,37,3.1,"74.2%","18.2%","21.1%","0%",-365,-368,-12.8,7.4,"24.3%",384,"20.5%",,213,"20.8%",,0.53,0.05,0.1
"Ambition","Samsung Galaxy","Jungle",17,"76%",,33,40,113,3.7,"59.1%","13.4%","20.7%","35%",211,409,2.2,4.6,"15.0%",341,"14.7%",,242,"19.5%",,0.76,0.17,0.5
"An","ahq eSports Club","ADC",6,"50%",,11,11,24,3.2,"54.7%","17.2%","16.2%","33%",-277,-283,-10.7,9.2,"31.3%",453,"22.5%",,279,"24.1%",,0.49,0.11,0.29
"aphromoo","Counter Logic Gaming","Support",6,"50%",,5,17,61,3.9,"75.0%","5.7%","24.6%","17%",-51,-36,-5.3,0.5,"1.9%",179,"8.4%",,129,"11.0%",,1.14,0.24,0.32
"Athena","I May","Middle",4,"25%",,8,12,22,2.5,"63.8%","17.0%","19.7%","0%",-520,-400,-9.8,9.1,"31.2%",654,"29.9%",,256,"24.8%",,0.49,0.14,0.15
"Athena","I May","Support",1,"100%",,1,2,5,3,"37.5%","6.3%","40.0%","100%",967,478,28,4.2,"14.0%",205,"8.5%",,218,"17.8%",,0.83,0.15,0.56
"Avoidless","I May","Jungle",6,"33%",,11,18,38,2.7,"74.2%","16.7%","23.7%","17%",-662,-500,-10.2,3.1,"10.3%",218,"11.5%",,178,"17.7%",,0.89,0.2,0.5
"BaeMe","I May","Middle",2,"50%",,8,2,8,8,"84.2%","42.1%","13.3%","100%",-6,-133,-4,8.1,"27.3%",456,"26.2%",,247,"24.4%",,0.34,0.27,0.17
"Bang","SK Telecom T1","ADC",20,"70%",,87,31,109,6.3,"67.6%","30.0%","15.4%","25%",109,161,4.3,9.6,"29.5%",692,"29.7%",,305,"24.2%",,0.44,0.05,0.25
"Bengi","SK Telecom T1","Jungle",10,"80%",,26,17,72,5.8,"64.5%","17.1%","20.0%","60%",-22,-247,1,4.3,"11.8%",349,"14.9%",,227,"17.7%",,0.81,0.17,0.67
"Biofrost","TSM","Support",6,"50%",,4,15,59,4.2,"66.3%","4.2%","18.1%","0%",-176,-60,0.8,1,"3.6%",138,"6.4%",,136,"11.2%",,1.26,0.21,0.37
"Bjergsen","TSM","Middle",6,"50%",,34,12,39,6.1,"76.8%","35.8%","14.5%","0%",406,368,11.7,9.5,"30.0%",641,"28.3%",,306,"25.3%",,0.49,0.09,0.16
"Blank","SK Telecom T1","Jungle",10,"60%",,26,19,68,4.9,"68.1%","18.8%","16.4%","30%",293,156,5.9,4.3,"12.5%",285,"13.2%",,233,"18.8%",,0.89,0.23,0.54
"Chawy","ahq eSports Club","Middle",1,"0%",,2,2,3,2.5,"83.3%","33.3%","18.2%","0%",-329,-55,6,9.5,"33.0%",272,"20.2%",,237,"25.2%",,0.51,0.12,0.2
"Clearlove","EDward Gaming","Jungle",11,"45%",,22,21,71,4.4,"69.9%","16.5%","15.3%","18%",-299,86,1.5,4.4,"14.5%",226,"12.5%",,209,"19.5%",,0.69,0.17,0.5
"CoreJJ","Samsung Galaxy","Support",15,"80%",,20,31,122,4.6,"64.0%","9.0%","19.3%","27%",86,-58,1.1,1.2,"4.5%",350,"13.7%",,169,"13.2%",,1.54,0.34,0.47
"Crown","Samsung Galaxy","Middle",17,"76%",,67,36,82,4.1,"60.3%","27.1%","18.7%","12%",83,85,2.1,8.9,"28.9%",603,"24.3%",,290,"23.5%",,0.53,0.15,0.2
"CuVee","Samsung Galaxy","Top",17,"76%",,50,46,81,2.8,"53.0%","20.2%","23.8%","29%",27,46,0.2,7.7,"24.5%",526,"21.6%",,257,"20.8%",,0.52,0.1,0.15
"Darshan","Counter Logic Gaming","Top",6,"50%",,16,12,31,3.9,"53.4%","18.2%","17.4%","17%",93,70,1.5,7.2,"22.5%",419,"19.7%",,228,"20.1%",,0.53,0.12,0.1
"Deft","EDward Gaming","ADC",11,"45%",,35,22,58,4.2,"69.9%","26.3%","16.1%","27%",179,159,6.2,8.7,"29.3%",643,"34.9%",,263,"24.3%",,0.47,0.11,0.26
"Doublelift","TSM","ADC",6,"50%",,27,18,26,2.9,"55.8%","28.4%","21.7%","0%",-136,21,5.3,8.4,"25.8%",539,"23.8%",,285,"23.3%",,0.43,0.1,0.27
"Duke","SK Telecom T1","Top",20,"70%",,51,43,100,3.5,"52.1%","17.6%","21.4%","0%",-136,-60,-4.3,8.8,"27.2%",428,"18.8%",,274,"21.8%",,0.5,0.06,0.12
"Expect","G2 Esports","Top",6,"17%",,18,16,10,1.8,"62.2%","40.0%","20.3%","33%",115,-225,-1.8,8,"25.8%",376,"19.3%",,231,"23.0%",,0.48,0.06,0.08
"Faker","SK Telecom T1","Middle",20,"70%",,82,51,104,3.6,"64.1%","28.3%","25.4%","25%",217,198,5.2,9.4,"27.8%",627,"27.1%",,305,"24.1%",,0.5,0.07,0.23
