"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","D%P15","EGPM","GOLD%","STL","WPM","CWPM","WCPM"
"FORG1VEN","H2k-Gaming","ADC",13,"62%",,36,13,67,7.9,"56.3%","19.7%","10.8%","23%",170,-26,5.8,10.1,"34.8%",535,"25.8%",,301,"25.6%",,0.4,0.01,0.27
"GorillA","ROX Tigers","Support",16,"63%",,15,49,160,3.6,"69.2%","5.9%","25.3%","38%",31,65,-0.3,0.8,"2.8%",265,"11.7%",,146,"12.2%",,1.64,0.39,0.43
"Hauntzer","TSM","Top",6,"50%",,18,18,34,2.9,"54.7%","18.9%","21.7%","17%",196,321,7.8,8.6,"28.9%",613,"28.6%",,267,"22.0%",,0.55,0.09,0.2
"huhi","Counter Logic Gaming","Middle",6,"50%",,27,15,30,3.8,"64.8%","30.7%","21.7%","17%",175,145,0.8,8.5,"27.5%",559,"25.8%",,264,"23.0%",,0.53,0.12,0.15
"Impact","Cloud9","Top",9,"33%",,27,33,32,1.8,"64.1%","29.3%","23.6%","22%",305,312,12.8,8.2,"25.8%",583,"26.7%",,245,"22.8%",,0.54,0.1,0.14
"Jankos","H2k-Gaming","Jungle",13,"62%",,40,25,86,5,"68.9%","21.9%","20.8%","62%",2,-113,-2.6,3.9,"11.6%",296,"14.2%",,219,"18.8%",,1.05,0.32,0.58
"Jensen","Cloud9","Middle",9,"33%",,30,19,33,3.3,"68.5%","32.6%","13.6%","0%",-12,-24,2.2,9.6,"31.7%",546,"24.0%",,276,"25.4%",,0.36,0.13,0.21
"Jinjiao","I May","ADC",6,"33%",,22,9,26,5.3,"72.7%","33.3%","11.8%","0%",-671,-595,-18.3,8.4,"28.7%",611,"29.2%",,251,"24.2%",,0.32,0.05,0.28
"Jockster","INTZ","Support",6,"17%",,2,29,17,0.7,"48.7%","5.1%","30.9%","0%",-52,114,0.5,0.8,"2.7%",121,"8.6%",,102,"10.2%",,1.42,0.38,0.25
"Karsa","Flash Wolves","Jungle",6,"33%",,14,14,29,3.1,"70.5%","23.0%","20.9%","33%",233,123,1.3,4,"12.8%",271,"12.9%",,204,"18.9%",,0.9,0.28,0.72
"Kira","Albus NoX Luna","Middle",10,"40%",,25,42,37,1.5,"62.0%","25.0%","25.3%","40%",75,170,5.1,7.8,"27.8%",592,"30.7%",,231,"23.2%",,0.55,0.13,0.2
"Kobbe","Splyce","ADC",6,"17%",,14,12,25,3.3,"61.9%","22.2%","10.7%","17%",-485,-317,-8.5,8.7,"31.5%",478,"26.4%",,247,"24.0%",,0.31,0.01,0.18
"Kold","Splyce","Jungle",6,"17%",,10,22,28,1.7,"60.3%","15.9%","19.6%","17%",-189,-226,-3.3,4.1,"14.2%",261,"14.8%",,200,"19.8%",,0.76,0.17,0.45
"Korol","EDward Gaming","Top",4,"25%",,5,20,18,1.2,"62.2%","13.5%","29.9%","0%",-252,-79,-13.3,7.4,"25.1%",410,"23.4%",,203,"21.2%",,0.45,0.1,0.09
"Kuro","ROX Tigers","Middle",16,"63%",,52,38,113,4.3,"65.2%","20.6%","19.6%","13%",-263,-190,-7.9,8.1,"26.8%",596,"25.1%",,263,"21.9%",,0.54,0.13,0.17
"Likkrit","Albus NoX Luna","Support",10,"40%",,14,40,51,1.6,"65.0%","14.0%","24.1%","30%",-39,104,4.5,1.2,"4.3%",222,"11.2%",,138,"12.9%",,1.16,0.24,0.34
"Looper","Royal Never Give Up","Top",10,"40%",,20,29,50,2.4,"66.0%","18.9%","22.7%","20%",-214,-185,-10.4,7.8,"26.0%",402,"22.7%",,231,"21.8%",,0.55,0.15,0.13
"Maple","Flash Wolves","Middle",6,"33%",,25,17,19,2.6,"72.1%","41.0%","25.4%","33%",105,45,0.7,8.6,"28.3%",681,"34.0%",,259,"24.1%",,0.58,0.15,0.2
"Mata","Royal Never Give Up","Support",10,"40%",,5,28,74,2.8,"74.5%","4.7%","21.9%","40%",-98,-16,-1.7,0.8,"3.4%",199,"11.3%",,123,"11.3%",,1.51,0.37,0.44
"Meiko","EDward Gaming","Support",11,"45%",,10,28,95,3.8,"78.9%","7.5%","20.4%","27%",-126,-45,-1.5,0.8,"3.4%",128,"7.1%",,126,"11.7%",,1.5,0.32,0.51
"Meteos","Cloud9","Jungle",9,"33%",,11,22,43,2.5,"58.7%","12.0%","15.7%","33%",183,94,3.7,4.3,"13.2%",329,"14.3%",,198,"19.0%",,0.77,0.17,0.56
"micaO","INTZ","ADC",6,"17%",,8,18,13,1.2,"53.8%","20.5%","19.1%","0%",-308,-4,-5.8,7.8,"27.3%",372,"25.8%",,223,"23.2%",,0.34,0.04,0.16
"Mikyx","Splyce","Support",6,"17%",,4,30,34,1.3,"60.3%","6.3%","26.8%","17%",-148,-61,1.3,0.9,"4.1%",186,"11.2%",,113,"11.2%",,1.1,0.25,0.33
"Mithy","G2 Esports","Support",6,"17%",,1,13,33,2.6,"75.6%","2.2%","16.5%","17%",86,153,1.8,1,"3.4%",139,"7.4%",,104,"10.3%",,1.47,0.33,0.39
"Mlxg","Royal Never Give Up","Jungle",10,"40%",,18,29,52,2.4,"66.0%","17.0%","22.7%","20%",-333,-139,-3.5,4,"12.0%",258,"14.7%",,197,"18.5%",,0.89,0.21,0.53
"MMD","Flash Wolves","Top",6,"33%",,8,14,25,2.4,"54.1%","13.1%","20.9%","33%",-74,-54,-6.2,7.6,"25.7%",459,"21.0%",,228,"21.3%",,0.58,0.11,0.17
"Mountain","ahq eSports Club","Jungle",6,"50%",,19,17,28,2.8,"73.4%","29.7%","25.0%","33%",151,55,3.8,4.4,"13.5%",358,"18.1%",,234,"20.3%",,0.77,0.14,0.41
"Mouse","EDward Gaming","Top",7,"57%",,11,19,40,2.7,"53.1%","11.5%","27.1%","0%",-457,-282,-21.9,7.3,"25.0%",288,"15.4%",,226,"20.3%",,0.53,0.1,0.1
"NL","Flash Wolves","ADC",6,"33%",,13,10,22,3.5,"57.4%","21.3%","14.9%","0%",-22,8,-0.3,9,"30.6%",547,"26.3%",,267,"24.8%",,0.38,0.05,0.26
"Odoamne","H2k-Gaming","Top",13,"62%",,40,35,63,2.9,"56.3%","21.9%","29.2%","31%",430,209,12.2,8.2,"26.1%",569,"27.5%",,264,"22.5%",,0.48,0.08,0.1
"Onesh0tiq","Albus NoX Luna","ADC",10,"40%",,26,21,31,2.7,"57.0%","26.0%","12.7%","20%",-272,-118,-10.9,8.5,"30.4%",418,"20.9%",,247,"23.7%",,0.24,0,0.17
"PawN","EDward Gaming","Middle",4,"50%",,23,9,19,4.7,"77.8%","42.6%","18.4%","25%",91,-253,-4.5,7.8,"25.9%",475,"27.0%",,253,"23.0%",,0.44,0.09,0.17
"Peanut","ROX Tigers","Jungle",16,"63%",,71,29,98,5.8,"66.8%","28.1%","14.9%","50%",67,-113,-3.8,3.9,"13.1%",333,"14.0%",,233,"19.5%",,0.78,0.12,0.41
"Perkz","G2 Esports","Middle",6,"17%",,14,20,15,1.5,"64.4%","31.1%","25.3%","0%",-97,-213,3,8.5,"26.0%",479,"24.8%",,227,"22.8%",,0.42,0.11,0.1
"PraY","ROX Tigers","ADC",16,"63%",,66,35,108,5,"68.8%","26.1%","18.0%","38%",192,-9,1.4,8.9,"30.1%",632,"26.1%",,296,"24.5%",,0.43,0.06,0.24
"PvPStejos","Albus NoX Luna","Jungle",10,"40%",,19,34,48,2,"67.0%","19.0%","20.5%","60%",34,48,0.5,3.7,"12.0%",363,"18.1%",,195,"19.1%",,0.7,0.09,0.32
"Revolta","INTZ","Jungle",6,"17%",,8,18,18,1.4,"66.7%","20.5%","19.1%","0%",-96,-365,-4.8,3.8,"12.2%",183,"12.7%",,182,"18.9%",,0.87,0.29,0.5
"Road","I May","Support",5,"20%",,4,17,31,2.1,"70.0%","8.0%","23.9%","0%",-109,30,8,1.5,"5.3%",193,"10.5%",,118,"11.6%",,1.57,0.39,0.66
"Ruler","Samsung Galaxy","ADC",17,"76%",,74,33,89,4.9,"66.0%","30.0%","17.1%","24%",14,88,-3.8,8.7,"27.4%",674,"26.8%",,291,"23.3%",,0.34,0.09,0.19
"Ryu","H2k-Gaming","Middle",13,"62%",,53,27,56,4,"59.6%","29.0%","22.5%","38%",-78,-68,-1.8,7.9,"25.1%",462,"21.8%",,259,"21.9%",,0.4,0.14,0.2
"Scout","EDward Gaming","Middle",7,"43%",,27,18,31,3.2,"73.4%","34.2%","20.5%","14%",100,-238,-4.1,8.5,"29.0%",517,"27.4%",,253,"24.3%",,0.5,0.18,0.14
"Sencux","Splyce","Middle",6,"17%",,26,16,14,2.5,"63.5%","41.3%","14.3%","0%",-202,-36,-7.5,7.4,"24.0%",438,"24.2%",,228,"22.7%",,0.46,0.07,0.07
"Smeb","ROX Tigers","Top",16,"63%",,49,43,106,3.6,"61.3%","19.4%","22.2%","25%",171,145,10.7,8.1,"27.2%",550,"23.2%",,264,"22.0%",,0.53,0.09,0.11
"Smoothie","Cloud9","Support",9,"33%",,2,33,59,1.8,"66.3%","2.2%","23.6%","33%",11,-109,-2,0.8,"2.3%",159,"7.1%",,112,"10.0%",,1.36,0.3,0.33
"Smurf","Albus NoX Luna","Top",10,"40%",,16,29,40,1.9,"56.0%","16.0%","17.5%","10%",-437,-219,-10.7,7.2,"25.5%",365,"19.1%",,213,"21.2%",,0.49,0.06,0.15
"Sneaky","Cloud9","ADC",9,"33%",,22,33,40,1.9,"67.4%","23.9%","23.6%","22%",168,140,2.6,8.6,"27.0%",612,"27.8%",,251,"22.8%",,0.34,0.09,0.27
"Stixxay","Counter Logic Gaming","ADC",6,"50%",,28,13,35,4.8,"71.6%","31.8%","18.8%","17%",181,48,2.8,9.1,"30.8%",635,"28.6%",,295,"25.8%",,0.38,0.07,0.26
"Svenskeren","TSM","Jungle",6,"50%",,12,20,49,3.1,"64.2%","12.6%","24.1%","17%",57,-15,5.2,3.9,"11.7%",280,"12.9%",,220,"18.2%",,0.76,0.2,0.43
"SwordArt","Flash Wolves","Support",6,"33%",,1,12,28,2.4,"47.5%","1.6%","17.9%","0%",-217,-93,-4.8,0.7,"2.6%",121,"5.9%",,120,"11.0%",,1.55,0.35,0.29
"tockers","INTZ","Middle",6,"17%",,12,13,4,1.2,"41.0%","30.8%","13.8%","0%",-95,34,3.2,8.9,"29.7%",419,"28.7%",,237,"24.3%",,0.49,0.09,0.14
"Trick","G2 Esports","Jungle",6,"17%",,8,18,29,2.1,"82.2%","17.8%","22.8%","50%",-182,56,-3.2,4.2,"14.6%",351,"18.8%",,198,"19.5%",,0.83,0.12,0.36
"Uzi","Royal Never Give Up","ADC",10,"40%",,42,18,35,4.3,"72.6%","39.6%","14.1%","30%",145,20,5.4,9.3,"33.1%",571,"31.4%",,285,"26.5%",,0.44,0.12,0.23
"Vander","H2k-Gaming","Support",13,"62%",,14,20,93,5.4,"58.5%","7.7%","16.7%","38%",179,29,2,0.7,"2.4%",230,"10.7%",,132,"11.2%",,1.52,0.36,0.36
"Westdoor","ahq eSports Club","Middle",5,"60%",,13,16,23,2.3,"62.1%","22.4%","28.1%","40%",-71,40,-7.8,8,"24.6%",487,"23.3%",,255,"21.4%",,0.54,0.07,0.15
"Wolf","SK Telecom T1","Support",20,"70%",,18,40,189,5.2,"71.4%","6.2%","19.9%","30%",72,45,-2.4,0.9,"3.3%",230,"10.3%",,147,"11.6%",,1.3,0.31,0.66
"Wraith","Samsung Galaxy","Support",2,"50%",,3,7,17,2.9,"80.0%","12.0%","21.9%","0%",31,-50,-4.5,0.6,"1.8%",122,"4.8%",,124,"10.4%",,1.38,0.25,0.37
"Wunder","Splyce","Top",6,"17%",,9,32,23,1,"50.8%","14.3%","28.6%","0%",77,-107,8,7.9,"26.2%",428,"23.5%",,221,"22.4%",,0.46,0.05,0.07
"Xiaohu","Royal Never Give Up","Middle",10,"40%",,21,24,41,2.6,"58.5%","19.8%","18.8%","20%",-121,-61,-0.6,8.2,"25.5%",358,"19.9%",,232,"21.9%",,0.57,0.18,0.18
"Xmithie","Counter Logic Gaming","Jungle",6,"50%",,12,12,42,4.5,"61.4%","13.6%","17.4%","17%",228,261,5.8,4.8,"17.3%",379,"17.5%",,230,"20.1%",,0.69,0.21,0.56
"Yang","INTZ","Top",6,"17%",,9,16,16,1.6,"64.1%","23.1%","17.0%","0%",-130,-131,-0.5,8.1,"28.0%",368,"24.2%",,224,"23.5%",,0.43,0.08,0.13
"Ziv","ahq eSports Club","Top",6,"50%",,15,12,21,3,"56.3%","23.4%","17.6%","33%",405,310,13,8.3,"26.8%",557,"29.5%",,258,"22.5%",,0.62,0.13,0.14
"Zven","G2 Esports","ADC",6,"17%",,4,12,21,2.1,"55.6%","8.9%","15.2%","17%",70,81,9.8,9.3,"30.2%",581,"29.7%",,246,"24.4%",,0.38,0.08,0.29
