"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","D%P15","EGPM","GOLD%","STL","WPM","CWPM","WCPM"
"brTT","paiN Gaming","ADC",6,"33%",,23,17,28,3,"78.5%","35.4%","17.2%","50%",-310,-256,-4.3,7.2,"26.0%",440,"27.1%",,241,"24.8%",,0.06,0,0.06
"Clearlove","EDward Gaming","Jungle",9,"44%",,17,21,72,4.2,"81.7%","15.6%","19.8%","44%",187,309,3.9,3.2,"10.0%",196,"11.9%",,186,"17.8%",,0.86,0.09,0.36
"Darshan","Counter Logic Gaming","Top",6,"33%",,14,25,25,1.6,"59.1%","21.2%","22.7%","0%",-368,-174,-3.2,6.3,"23.4%",308,"18.3%",,183,"19.1%",,0.55,0.05,0.05
"Deft","EDward Gaming","ADC",9,"44%",,31,16,47,4.9,"71.6%","28.4%","15.1%","33%",342,35,6.4,8.9,"32.0%",563,"35.0%",,271,"26.5%",,0.28,0.12,0.19
"Dioud","paiN Gaming","Support",6,"33%",,4,18,51,3.1,"84.6%","6.2%","18.2%","67%",-40,-105,-1,1.1,"4.1%",113,"7.1%",,96,"9.8%",,1.28,0.22,0.41
"Doublelift","Counter Logic Gaming","ADC",6,"33%",,23,19,28,2.7,"77.3%","34.8%","17.3%","0%",159,-31,0.5,8.8,"32.6%",564,"31.3%",,271,"28.2%",,0.16,0.08,0.24
"Dyrus","TSM","Top",6,"17%",,12,18,21,1.8,"51.6%","18.8%","17.8%","50%",-103,-368,-8.3,5.9,"23.1%",254,"15.2%",,167,"19.4%",,0.67,0.03,0.12
"Easyhoon","SK Telecom T1","Middle",4,"100%",,15,4,30,11.3,"65.2%","21.7%","14.8%","25%",197,217,6.5,9.5,"29.5%",577,"30.7%",,311,"25.1%",,0.19,0.05,0.31
"Faker","SK Telecom T1","Middle",12,"92%",,55,18,77,7.3,"64.4%","26.8%","18.2%","33%",336,259,11.5,8.3,"26.5%",579,"27.9%",,273,"23.0%",,0.29,0.09,0.16
"FEBIVEN","Fnatic","Middle",12,"58%",,51,23,71,5.3,"64.9%","27.1%","13.1%","33%",263,333,10.7,9.4,"29.7%",563,"30.0%",,289,"24.8%",,0.2,0.08,0.17
"Flame","LGD Gaming","Top",3,"67%",,11,6,13,4,"45.3%","20.8%","16.7%","0%",221,756,5.7,6,"21.7%",254,"13.9%",,203,"19.1%",,0.53,0.08,0.06
"G4","Bangkok Titans","Middle",6,"0%",,13,31,21,1.1,"75.6%","28.9%","25.8%","0%",-590,-674,-14.5,6.7,"28.0%",391,"28.9%",,187,"24.9%",,0.32,0.03,0.07
"GodV","LGD Gaming","Middle",6,"33%",,21,19,37,3.1,"71.6%","25.9%","18.8%","17%",-138,-77,-0.7,8.6,"29.6%",550,"31.1%",,259,"26.0%",,0.48,0.05,0.12
"GorillA","ROX Tigers","Support",17,"65%",,9,56,193,3.6,"73.2%","3.3%","28.7%","29%",93,199,0.8,1.1,"4.2%",135,"7.0%",,115,"10.5%",,1.49,0.27,0.23
"Hai","Cloud9","Jungle",7,"43%",,15,27,40,2,"66.3%","18.1%","21.6%","14%",-341,-65,-5.3,3,"10.6%",276,"16.9%",,177,"18.1%",,0.87,0.1,0.33
"Hjarnan","H2k-Gaming","ADC",6,"33%",,25,13,24,3.8,"75.4%","38.5%","16.0%","33%",-242,157,0.3,7.9,"28.5%",510,"27.6%",,255,"25.9%",,0.14,0.03,0.21
"Hojin","ROX Tigers","Jungle",17,"65%",,38,28,147,6.6,"67.0%","13.8%","14.4%","29%",-49,-285,-5.2,2.7,"9.3%",229,"11.7%",,167,"15.5%",,1.09,0.08,0.27
"Huni","Fnatic","Top",12,"58%",,47,47,83,2.8,"69.1%","25.0%","26.7%","58%",255,91,4.8,7.9,"25.7%",438,"22.9%",,270,"22.7%",,0.66,0.05,0.08
"imp","LGD Gaming","ADC",6,"33%",,35,21,24,2.8,"72.8%","43.2%","20.8%","17%",34,-301,8.3,8.9,"34.3%",594,"32.4%",,284,"28.7%",,0.12,0.02,0.16
"Jensen","Cloud9","Middle",7,"43%",,26,21,33,2.8,"71.1%","31.3%","16.8%","0%",-265,-98,10,8.9,"32.2%",554,"32.3%",,263,"26.2%",,0.25,0.08,0.21
"KaKAO","Invictus Gaming","Jungle",6,"33%",,10,15,44,3.6,"77.1%","14.3%","19.0%","50%",121,-22,1,3.2,"9.8%",208,"13.7%",,166,"16.9%",,0.37,0.05,0.39
"Kami","paiN Gaming","Middle",6,"33%",,17,16,38,3.4,"84.6%","26.2%","16.2%","67%",-20,92,-2.2,8.3,"31.2%",495,"32.2%",,253,"26.4%",,0.54,0.07,0.08
"Karsa","Flash Wolves","Jungle",10,"50%",,24,24,79,4.3,"73.6%","17.1%","21.8%","50%",50,199,1.4,3.4,"12.6%",273,"13.4%",,184,"17.9%",,1.18,0.11,0.48
"Kasing","H2k-Gaming","Support",6,"33%",,8,18,46,3,"83.1%","12.3%","22.2%","50%",-60,109,-0.5,0.9,"3.7%",159,"9.7%",,120,"11.5%",,1.23,0.24,0.28
"Kid","Invictus Gaming","ADC",5,"20%",,9,13,19,2.2,"68.3%","22.0%","20.0%","20%",-123,-15,-6,7.9,"28.3%",302,"23.4%",,211,"24.3%",,0.18,0.04,0.17
"Kitties","Invictus Gaming","Support",6,"33%",,7,20,40,2.4,"67.1%","10.0%","25.3%","17%",-41,46,-4.5,0.7,"2.9%",158,"10.9%",,92,"9.0%",,1.24,0.18,0.33
"Korol","EDward Gaming","Top",3,"0%",,14,14,7,1.5,"70.0%","46.7%","28.6%","0%",-272,-101,-11,6.6,"24.4%",304,"18.2%",,213,"21.6%",,0.56,0.05,0.12
"Kramer","Flash Wolves","ADC",1,"0%",,1,3,6,2.3,"70.0%","10.0%","30.0%","0%",-243,-171,-14,9.4,"34.2%",596,"31.2%",,262,"26.0%",,0.17,0,0.24
"Kuro","ROX Tigers","Middle",17,"65%",,83,32,123,6.4,"74.6%","30.1%","16.4%","29%",-139,-24,-7.3,8.1,"28.5%",558,"27.3%",,264,"24.4%",,0.59,0.07,0.18
"LemonNation","Cloud9","Support",7,"43%",,2,29,54,1.9,"67.5%","2.4%","23.2%","14%",-227,-618,0.6,0.9,"3.1%",157,"10.4%",,107,"10.5%",,1.14,0.15,0.37
"Lloyd","Bangkok Titans","ADC",6,"0%",,10,26,20,1.2,"66.7%","22.2%","21.7%","0%",-706,-246,-11.5,7.1,"28.4%",372,"25.3%",,192,"25.1%",,0.14,0.02,0.13
"Loulex","H2k-Gaming","Jungle",6,"33%",,5,18,35,2.2,"61.5%","7.7%","22.2%","33%",-187,-225,-2.7,2.8,"9.2%",249,"15.0%",,145,"14.7%",,0.88,0.17,0.35
"Lustboy","TSM","Support",6,"17%",,4,24,52,2.3,"87.5%","6.3%","23.8%","50%",114,53,1.8,1,"4.3%",124,"7.3%",,96,"10.6%",,1.3,0.23,0.3
"Maple","Flash Wolves","Middle",10,"50%",,47,16,60,6.7,"76.4%","33.6%","14.5%","30%",28,-135,0.6,8.4,"30.4%",626,"29.9%",,263,"25.9%",,0.44,0.07,0.21
"MaRin","SK Telecom T1","Top",16,"94%",,78,35,76,4.4,"56.2%","28.5%","27.8%","31%",310,353,4.7,8.8,"30.6%",500,"24.4%",,293,"24.2%",,0.69,0.07,0.07
"Meiko","EDward Gaming","Support",9,"44%",,7,20,78,4.3,"78.0%","6.4%","18.9%","44%",84,-21,-2.4,0.8,"3.1%",154,"9.3%",,107,"10.1%",,1.47,0.23,0.32
"Mithy","Origen","Support",13,"54%",,7,41,100,2.6,"75.4%","4.9%","23.4%","23%",-49,-104,-0.2,0.6,"2.4%",142,"8.0%",,94,"9.2%",,1.29,0.2,0.26
"Moss","Bangkok Titans","Support",6,"0%",,2,18,32,1.9,"75.6%","4.4%","15.0%","0%",-413,-392,1.5,1.3,"5.8%",134,"9.7%",,78,"9.9%",,0.94,0.23,0.31
"Mountain","ahq eSports Club","Jungle",10,"40%",,16,31,62,2.5,"62.4%","12.8%","23.0%","20%",35,-6,0.6,3.4,"10.7%",228,"14.4%",,180,"18.1%",,0.91,0.1,0.35
"Mylon","paiN Gaming","Top",6,"33%",,14,25,31,1.8,"69.2%","21.5%","25.3%","50%",93,-226,4.5,7,"28.0%",333,"20.8%",,217,"22.8%",,0.58,0.06,0.08
"Nagne","KT Rolster","Middle",10,"60%",,33,20,56,4.5,"61.8%","22.9%","20.0%","30%",-12,69,2.3,8.8,"28.4%",372,"22.0%",,255,"24.0%",,0.61,0.09,0.1
"NL","Flash Wolves","ADC",9,"56%",,45,22,56,4.6,"77.7%","34.6%","22.0%","33%",-305,-172,-6.8,8.3,"31.8%",748,"35.4%",,274,"26.7%",,0.1,0.03,0.13
"Odoamne","H2k-Gaming","Top",6,"33%",,17,11,18,3.2,"53.8%","26.2%","13.6%","17%",289,411,9.7,7.9,"30.1%",358,"21.0%",,229,"23.6%",,0.54,0.02,0.09
"PawN","EDward Gaming","Middle",9,"44%",,26,21,60,4.1,"78.9%","23.9%","19.8%","22%",-65,-164,-9.2,8.2,"29.4%",437,"26.2%",,256,"25.1%",,0.54,0.05,0.13
"Piccaboo","KT Rolster","Support",10,"60%",,4,22,106,5,"76.4%","2.8%","22.0%","40%",61,-38,1,1.4,"5.3%",114,"6.8%",,113,"10.5%",,1.48,0.18,0.3
"Pobelter","Counter Logic Gaming","Middle",6,"33%",,14,20,38,2.6,"78.8%","21.2%","18.2%","0%",107,-47,3.8,7.9,"29.0%",463,"27.3%",,225,"24.5%",,0.41,0.1,0.21
"PraY","ROX Tigers","ADC",17,"65%",,65,36,119,5.1,"66.7%","23.6%","18.5%","6%",88,57,3,8.5,"29.6%",559,"28.5%",,275,"25.5%",,0.11,0.02,0.23
"Pyl","LGD Gaming","Support",6,"33%",,1,21,56,2.7,"70.4%","1.2%","20.8%","17%",-79,-20,-3,1,"3.9%",171,"9.0%",,104,"10.0%",,1.29,0.13,0.41
"Reignover","Fnatic","Jungle",12,"58%",,31,37,92,3.3,"65.4%","16.5%","21.0%","75%",222,62,2.9,3.3,"9.6%",279,"14.6%",,197,"16.8%",,1.1,0.1,0.34
"Rekkles","Fnatic","ADC",12,"58%",,51,32,80,4.1,"69.7%","27.1%","18.2%","17%",130,-86,1.8,9.3,"30.2%",509,"26.7%",,300,"25.6%",,0.17,0.11,0.22
"Rookie","Invictus Gaming","Middle",6,"33%",,22,13,29,3.9,"72.9%","31.4%","16.5%","17%",125,-40,4,9,"32.4%",463,"33.3%",,252,"27.5%",,0.68,0.07,0.09
"Ryu","H2k-Gaming","Middle",6,"33%",,10,21,28,1.8,"58.5%","15.4%","25.9%","17%",98,257,4.8,8.2,"28.4%",449,"26.6%",,233,"24.3%",,0.35,0.1,0.11
"Santorin","TSM","Jungle",6,"17%",,6,19,36,2.2,"65.6%","9.4%","18.8%","50%",62,-137,-0.7,2.6,"9.2%",188,"11.4%",,129,"14.8%",,0.81,0.11,0.35
"Score","KT Rolster","Jungle",10,"60%",,13,20,81,4.7,"65.3%","9.0%","20.0%","60%",90,143,0.6,3.4,"10.5%",228,"13.8%",,177,"16.7%",,1.03,0.12,0.32
"Sirt","paiN Gaming","Jungle",6,"33%",,7,23,41,2.1,"73.8%","10.8%","23.2%","50%",-273,-168,-5.7,2.8,"10.7%",207,"12.8%",,147,"16.1%",,0.89,0.14,0.29
"Smeb","ROX Tigers","Top",17,"65%",,81,43,97,4.1,"64.5%","29.3%","22.1%","41%",190,259,6.1,7.8,"28.5%",524,"25.5%",,261,"24.1%",,0.51,0.06,0.07
"Sneaky","Cloud9","ADC",7,"43%",,20,19,34,2.8,"65.1%","24.1%","15.2%","0%",-314,175,-3,7.9,"29.5%",393,"24.0%",,246,"24.6%",,0.18,0.07,0.16
"sOAZ","Origen","Top",13,"54%",,28,42,55,2,"58.5%","19.7%","24.0%","15%",3,35,5.5,7,"23.1%",348,"20.2%",,207,"20.4%",,0.64,0.05,0.07
"Ssumday","KT Rolster","Top",10,"60%",,44,26,53,3.7,"67.4%","30.6%","26.0%","50%",175,-17,-0.4,7.9,"27.1%",395,"23.6%",,244,"22.9%",,0.78,0.09,0.1
"Steak","Flash Wolves","Top",10,"50%",,18,22,78,4.4,"68.6%","12.9%","20.0%","30%",-279,-69,-9.5,6.2,"22.4%",291,"14.2%",,197,"19.5%",,0.55,0.04,0.08
"SwordArt","Flash Wolves","Support",10,"50%",,5,23,100,4.6,"75.0%","3.6%","20.9%","40%",-65,-81,-2.2,0.6,"2.5%",157,"7.5%",,103,"10.0%",,1.28,0.21,0.27
"tbq","LGD Gaming","Jungle",6,"33%",,9,24,39,2,"59.3%","11.1%","23.8%","33%",-24,-133,-2,3.1,"10.6%",217,"12.7%",,162,"16.1%",,0.9,0.09,0.34
"Time","Invictus Gaming","ADC",1,"100%",,10,1,12,22,"75.9%","34.5%","7.1%","0%",321,105,9,8.7,"32.6%",451,"23.7%",,326,"25.8%",,0.11,0.04,0.13
"WarL0cK","Bangkok Titans","Top",6,"0%",,12,20,18,1.5,"66.7%","26.7%","16.7%","0%",-613,-709,-13.3,5.9,"23.4%",224,"16.2%",,164,"20.5%",,0.46,0.03,0.05
"Westdoor","ahq eSports Club","Middle",10,"40%",,28,24,44,3,"57.6%","22.4%","17.8%","10%",-181,-174,-16.8,7.8,"28.9%",392,"24.8%",,240,"24.2%",,0.36,0.04,0.11
"WildTurtle","TSM","ADC",6,"17%",,20,24,31,2.1,"79.7%","31.3%","23.8%","33%",51,-58,-9.7,7.8,"30.3%",464,"28.5%",,236,"27.2%",,0.13,0.03,0.22
"Wolf","SK Telecom T1","Support",16,"94%",,7,26,183,7.3,"69.3%","2.6%","20.6%","19%",158,24,0.7,1.2,"4.0%",130,"6.4%",,128,"10.7%",,1.21,0.23,0.35
"Xmithie","Counter Logic Gaming","Jungle",6,"33%",,8,19,41,2.6,"74.2%","12.1%","17.3%","0%",174,122,5.3,3.2,"12.1%",232,"14.1%",,168,"18.1%",,1.01,0.18,0.41
"xPeke","Origen","Middle",13,"54%",,25,34,52,2.3,"54.2%","17.6%","19.4%","15%",-97,-89,-2.1,9.5,"32.4%",467,"26.1%",,265,"26.0%",,0.49,0.09,0.16
"YellOwStaR","Fnatic","Support",12,"58%",,8,37,115,3.3,"65.4%","4.3%","21.0%","17%",209,305,2.9,1.4,"4.8%",108,"5.6%",,119,"10.1%",,1.38,0.19,0.31
"Ziv","ahq eSports Club","Top",10,"40%",,29,33,50,2.4,"63.2%","23.2%","24.4%","10%",-116,-203,0.3,6.8,"25.0%",406,"24.8%",,214,"21.6%",,0.73,0.04,0.06
"Zven","Origen","ADC",13,"54%",,62,25,54,4.6,"81.7%","43.7%","14.3%","23%",122,141,7.2,9.1,"32.7%",584,"32.1%",,286,"28.7%",,0.14,0.01,0.26
"Zz1tai","Invictus Gaming","Top",6,"33%",,12,17,40,3.1,"74.3%","17.1%","21.5%","17%",134,469,7,6.9,"25.8%",274,"18.6%",,200,"22.0%",,0.71,0.03,0.07
