"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","D%P15","EGPM","GOLD%","STL","WPM","CWPM","WCPM"
"007x","Bangkok Titans","Jungle",6,"0%",,8,25,24,1.3,"71.1%","17.8%","20.8%","0%",-312,-287,-1.7,3.2,"14.5%",261,"19.9%",,142,"19.6%",,0.83,0.12,0.28
"Acorn","LGD Gaming","Top",3,"0%",,4,10,13,1.7,"60.7%","14.3%","15.4%","0%",-226,-49,-5,6.1,"21.4%",253,"15.5%",,173,"19.3%",,0.57,0.05,0.14
"Albis","ahq eSports Club","Support",10,"40%",,8,31,67,2.4,"60.0%","6.4%","23.0%","20%",-110,176,0.1,0.9,"3.1%",131,"8.5%",,89,"8.6%",,1.29,0.19,0.3
"Amazing","Origen","Jungle",13,"54%",,20,33,71,2.8,"64.1%","14.1%","18.9%","8%",3,112,5.2,3,"9.5%",238,"13.6%",,157,"15.7%",,0.95,0.1,0.36
"AmazingJ","EDward Gaming","Top",6,"67%",,14,14,26,2.9,"50.6%","17.7%","24.6%","17%",-394,-491,-12.5,7,"26.1%",294,"17.3%",,217,"20.1%",,0.6,0.03,0.02
"An","ahq eSports Club","ADC",10,"40%",,44,16,39,5.2,"66.4%","35.2%","11.9%","20%",34,43,5.5,9.2,"32.4%",456,"27.5%",,281,"27.4%",,0.17,0.05,0.28
"aphromoo","Counter Logic Gaming","Support",6,"33%",,7,27,43,1.9,"75.8%","10.6%","24.5%","0%",-148,-51,1,0.8,"2.9%",139,"9.0%",,95,"10.1%",,1.06,0.18,0.26
"Arrow","KT Rolster","ADC",10,"60%",,50,12,57,8.9,"74.3%","34.7%","12.0%","20%",46,217,-2,8.7,"28.7%",576,"33.9%",,274,"25.9%",,0.18,0.09,0.26
"BalIs","Cloud9","Top",7,"43%",,20,29,27,1.6,"56.6%","24.1%","23.2%","0%",-360,-571,-11.9,6,"24.6%",266,"16.5%",,201,"20.6%",,0.51,0.03,0.05
"Bang","SK Telecom T1","ADC",16,"94%",,83,12,107,15.8,"69.3%","30.3%","9.5%","19%",190,12,-2.8,8.9,"30.0%",580,"28.6%",,310,"25.9%",,0.21,0.05,0.2
"Bengi","SK Telecom T1","Jungle",16,"94%",,36,31,144,5.8,"65.7%","13.1%","24.6%","44%",-18,129,0.1,2.9,"8.1%",241,"11.9%",,188,"15.7%",,0.97,0.09,0.36
"Bjergsen","TSM","Middle",6,"17%",,22,16,34,3.5,"87.5%","34.4%","15.8%","50%",375,180,6.5,8.7,"33.2%",617,"37.6%",,247,"28.0%",,0.37,0.04,0.1
