ime_ekipe,ime_igralca,tip,leto
Kwangdong Freecs,Kiin,WLDs,2018
Kwangdong Freecs,Spirit,WLDs,2018
Kwangdong Freecs,Kuro,WLDs,2018
Kwangdong Freecs,Kramer,WLDs,2018
Kwangdong Freecs,TusiN,WLDs,2018
Royal Never Give Up,Letme,WLDs,2018
Royal Never Give Up,Karsa,WLDs,2018
Royal Never Give Up,Xiaohu,WLDs,2018
Royal Never Give Up,Uzi,WLDs,2018
Royal Never Give Up,Ming,WLDs,2018
Gen.G,CuVee,WLDs,2018
Gen.G,Haru,WLDs,2018
Gen.G,Crown,WLDs,2018
Gen.G,Ruler,WLDs,2018
Gen.G,CoreJJ,WLDs,2018
Team Vitality,Cabochard,WLDs,2018
Team Vitality,Kikis,WLDs,2018
Team Vitality,Jiizuke,WLDs,2018
Team Vitality,Attila,WLDs,2018
Team Vitality,Jactroll,WLDs,2018
100 Thieves,Ssumday,WLDs,2018
100 Thieves,AnDa,WLDs,2018
100 Thieves,Ryu,WLDs,2018
100 Thieves,Rikara,WLDs,2018
100 Thieves,aphromoo,WLDs,2018
Fnatic,sOAZ,WLDs,2018
Fnatic,Broxah,WLDs,2018
Fnatic,Caps,WLDs,2018
Fnatic,Rekkles,WLDs,2018
Fnatic,Hylissang,WLDs,2018
Invictus Gaming,Duke,WLDs,2018
Invictus Gaming,Ning,WLDs,2018
Invictus Gaming,Rookie,WLDs,2018
Invictus Gaming,JackeyLove,WLDs,2018
Invictus Gaming,Baolan,WLDs,2018
G-Rex,baybay,WLDs,2018
Kwangdong Freecs,Mowgli,WLDs,2018
Invictus Gaming,TheShy,WLDs,2018
Fnatic,Bwipo,WLDs,2018
Gen.G,Ambition,WLDs,2018
Royal Never Give Up,Mlxg,WLDs,2018
Phong Vũ Buffalo,XuHao,WLDs,2018
MAD Team,Benny,WLDs,2018
Phong Vũ Buffalo,Zeros,MSI,2019
Phong Vũ Buffalo,Meliodas,MSI,2019
Phong Vũ Buffalo,Naul,MSI,2019
Phong Vũ Buffalo,Bigkoro,MSI,2019
Phong Vũ Buffalo,Palette,MSI,2019
Bombers,Mimic,MSI,2019
Bombers,BalKhan,MSI,2019
Bombers,ry0ma,MSI,2019
Bombers,FBI,MSI,2019
Bombers,Rogue,MSI,2019
Fenerbahçe Esports,Ruin,MSI,2019
Fenerbahçe Esports,Kirei,MSI,2019
Fenerbahçe Esports,Bolulu,MSI,2019
Fenerbahçe Esports,Ellam,MSI,2019
Fenerbahçe Esports,Japone,MSI,2019
Isurus,Buggax,MSI,2019
Isurus,Oddie,MSI,2019
Isurus,Seiya,MSI,2019
Isurus,Warangelus,MSI,2019
Isurus,Slow,MSI,2019
Fenerbahçe Esports,Only35,MSI,2019
MEGA,Rockky,MSI,2019
MEGA,Jjun,MSI,2019
MEGA,G4,MSI,2019
MEGA,Lloyd,MSI,2019
MEGA,Pop,MSI,2019
DetonatioN FocusMe,Evi,MSI,2019
DetonatioN FocusMe,Steal,MSI,2019
DetonatioN FocusMe,Ceros,MSI,2019
DetonatioN FocusMe,Yutapon,MSI,2019
DetonatioN FocusMe,Gaeng,MSI,2019
Vega Squadron,BOSS,MSI,2019
Vega Squadron,AHaHaCiK,MSI,2019
Vega Squadron,Nomanz,MSI,2019
Vega Squadron,Gadget,MSI,2019
Vega Squadron,SaNTaS,MSI,2019
INTZ,Tay,MSI,2019
INTZ,Shini,MSI,2019
INTZ,Envy,MSI,2019
INTZ,Mills,MSI,2019
INTZ,RedBert,MSI,2019
Team Liquid,Impact,MSI,2019
Team Liquid,Xmithie,MSI,2019
Team Liquid,Jensen,MSI,2019
Team Liquid,Doublelift,MSI,2019
Team Liquid,CoreJJ,MSI,2019
Flash Wolves,Hanabi,MSI,2019
Flash Wolves,Bugi,MSI,2019
Flash Wolves,Rather,MSI,2019
Flash Wolves,Betty,MSI,2019
Flash Wolves,ShiauC,MSI,2019
G2 Esports,Wunder,MSI,2019
G2 Esports,Jankos,MSI,2019
G2 Esports,Caps,MSI,2019
G2 Esports,Perkz,MSI,2019
G2 Esports,Mikyx,MSI,2019
SK Telecom T1,Khan,MSI,2019
SK Telecom T1,Clid,MSI,2019
SK Telecom T1,Faker,MSI,2019
SK Telecom T1,Teddy,MSI,2019
SK Telecom T1,Mata,MSI,2019
Phong Vũ Buffalo,XuHao,MSI,2019
Invictus Gaming,TheShy,MSI,2019
Invictus Gaming,Ning,MSI,2019
Invictus Gaming,Rookie,MSI,2019
Invictus Gaming,JackeyLove,MSI,2019
Invictus Gaming,Baolan,MSI,2019
Clutch Gaming,Huni,WLDs,2019
Clutch Gaming,Lira,WLDs,2019
Clutch Gaming,Damonte,WLDs,2019
Clutch Gaming,Cody Sun,WLDs,2019
Clutch Gaming,Vulcan,WLDs,2019
Unicorns of Love.CIS,BOSS,WLDs,2019
Unicorns of Love.CIS,AHaHaCiK,WLDs,2019
Unicorns of Love.CIS,Nomanz,WLDs,2019
Unicorns of Love.CIS,Innaxe,WLDs,2019
Unicorns of Love.CIS,Edward,WLDs,2019
DetonatioN FocusMe,Evi,WLDs,2019
DetonatioN FocusMe,Steal,WLDs,2019
DetonatioN FocusMe,Ceros,WLDs,2019
DetonatioN FocusMe,Yutapon,WLDs,2019
DetonatioN FocusMe,Gaeng,WLDs,2019
Splyce,Vizicsacsi,WLDs,2019
Splyce,Xerxe,WLDs,2019
Splyce,Humanoid,WLDs,2019
Splyce,Kobbe,WLDs,2019
Splyce,Tore,WLDs,2019
MAMMOTH,Fudge,WLDs,2019
MAMMOTH,Babip,WLDs,2019
MAMMOTH,Triple,WLDs,2019
MAMMOTH,k1ng,WLDs,2019
MAMMOTH,Destiny,WLDs,2019
Isurus,Buggax,WLDs,2019
Isurus,Oddie,WLDs,2019
Isurus,Seiya,WLDs,2019
Isurus,Warangelus,WLDs,2019
Isurus,Slow,WLDs,2019
Royal Youth,Armut,WLDs,2019
Royal Youth,Closer,WLDs,2019
Royal Youth,cyeol,WLDs,2019
Royal Youth,Pilot,WLDs,2019
Royal Youth,Tolerant,WLDs,2019
DWG KIA,Nuguri,WLDs,2019
DWG KIA,Canyon,WLDs,2019
DWG KIA,ShowMaker,WLDs,2019
DWG KIA,Nuclear,WLDs,2019
DWG KIA,BeryL,WLDs,2019
MEGA,Rockky,WLDs,2019
MEGA,Lloyd,WLDs,2019
MEGA,G4,WLDs,2019
MEGA,DeuL,WLDs,2019
MEGA,Pop,WLDs,2019
Hong Kong Attitude,3z,WLDs,2019
Hong Kong Attitude,Crash,WLDs,2019
Hong Kong Attitude,Mission,WLDs,2019
Hong Kong Attitude,MnM,WLDs,2019
Hong Kong Attitude,Kaiwing,WLDs,2019
Flamengo Esports,Robo,WLDs,2019
Flamengo Esports,Shrimp,WLDs,2019
Flamengo Esports,Goku,WLDs,2019
Flamengo Esports,brTT,WLDs,2019
Flamengo Esports,Luci,WLDs,2019
Lowkey Esports.Vietnam,Hani,WLDs,2019
Lowkey Esports.Vietnam,DNK,WLDs,2019
Lowkey Esports.Vietnam,Artifact,WLDs,2019
Lowkey Esports.Vietnam,Celebrity,WLDs,2019
Lowkey Esports.Vietnam,Venus,WLDs,2019
Hong Kong Attitude,Unified,WLDs,2019
Fnatic,Bwipo,WLDs,2019
Fnatic,Broxah,WLDs,2019
Fnatic,Nemesis,WLDs,2019
Fnatic,Rekkles,WLDs,2019
Fnatic,Hylissang,WLDs,2019
SK Telecom T1,Khan,WLDs,2019
SK Telecom T1,Clid,WLDs,2019
SK Telecom T1,Faker,WLDs,2019
SK Telecom T1,Teddy,WLDs,2019
SK Telecom T1,Effort,WLDs,2019
Royal Never Give Up,Langx,WLDs,2019
Royal Never Give Up,Karsa,WLDs,2019
Royal Never Give Up,Xiaohu,WLDs,2019
Royal Never Give Up,Uzi,WLDs,2019
Royal Never Give Up,Ming,WLDs,2019
Invictus Gaming,TheShy,WLDs,2019
Invictus Gaming,Leyan,WLDs,2019
Invictus Gaming,Rookie,WLDs,2019
Invictus Gaming,JackeyLove,WLDs,2019
Invictus Gaming,Baolan,WLDs,2019
ahq eSports Club,Ziv,WLDs,2019
ahq eSports Club,Alex,WLDs,2019
ahq eSports Club,Rainbow,WLDs,2019
ahq eSports Club,Wako,WLDs,2019
ahq eSports Club,Ysera,WLDs,2019
Team Liquid,Impact,WLDs,2019
Team Liquid,Xmithie,WLDs,2019
Team Liquid,Jensen,WLDs,2019
Team Liquid,Doublelift,WLDs,2019
Team Liquid,CoreJJ,WLDs,2019
J Team,Rest,WLDs,2019
J Team,Hana,WLDs,2019
J Team,FoFo,WLDs,2019
J Team,Lilv,WLDs,2019
J Team,Koala,WLDs,2019
FunPlus Phoenix,GimGoon,WLDs,2019
FunPlus Phoenix,Tian,WLDs,2019
FunPlus Phoenix,Doinb,WLDs,2019
FunPlus Phoenix,Lwx,WLDs,2019
FunPlus Phoenix,Crisp,WLDs,2019
GAM Esports,Zeros,WLDs,2019
GAM Esports,Levi,WLDs,2019
GAM Esports,Kiaya,WLDs,2019
GAM Esports,Zin,WLDs,2019
GAM Esports,Hieu3,WLDs,2019
Griffin,Sw0rd,WLDs,2019
Griffin,Tarzan,WLDs,2019
Griffin,Chovy,WLDs,2019
Griffin,Viper,WLDs,2019
Griffin,Lehends,WLDs,2019
G2 Esports,Wunder,WLDs,2019
G2 Esports,Jankos,WLDs,2019
G2 Esports,Caps,WLDs,2019
G2 Esports,Perkz,WLDs,2019
G2 Esports,Mikyx,WLDs,2019
Cloud9,Licorice,WLDs,2019
Cloud9,Svenskeren,WLDs,2019
Cloud9,Nisqy,WLDs,2019
Cloud9,Sneaky,WLDs,2019
Cloud9,Zeyzal,WLDs,2019
GAM Esports,Slay,WLDs,2019
Cloud9,Blaber,WLDs,2019
Cloud9,Deftly,WLDs,2019
Invictus Gaming,Ning,WLDs,2019
ahq eSports Club,Apex,WLDs,2019
SK Telecom T1,Mata,WLDs,2019
MAD Lions,Orome,WLDs,2020
MAD Lions,shad0w,WLDs,2020
MAD Lions,Humanoid,WLDs,2020
MAD Lions,Carzzy,WLDs,2020
MAD Lions,Kaiser,WLDs,2020
INTZ,Tay,WLDs,2020
INTZ,Shini,WLDs,2020
INTZ,Envy,WLDs,2020
INTZ,micaO,WLDs,2020
INTZ,RedBert,WLDs,2020
PSG Talon,Hanabi,WLDs,2020
PSG Talon,Kongyue,WLDs,2020
PSG Talon,Uniboy,WLDs,2020
PSG Talon,Dee,WLDs,2020
PSG Talon,Kaiwing,WLDs,2020
Rainbow7,Acce,WLDs,2020
Rainbow7,Josedeodo,WLDs,2020
Rainbow7,Aloned,WLDs,2020
Rainbow7,Leza,WLDs,2020
Rainbow7,Shadow,WLDs,2020
Legacy Esports,Topoon,WLDs,2020
Legacy Esports,Babip,WLDs,2020
Legacy Esports,Tally,WLDs,2020
Legacy Esports,Raes,WLDs,2020
Legacy Esports,Isles,WLDs,2020
LGD Gaming,Langx,WLDs,2020
LGD Gaming,Peanut,WLDs,2020
LGD Gaming,xiye,WLDs,2020
LGD Gaming,Kramer,WLDs,2020
LGD Gaming,Mark,WLDs,2020
Team Liquid,Impact,WLDs,2020
Team Liquid,Broxah,WLDs,2020
Team Liquid,Jensen,WLDs,2020
Team Liquid,Tactical,WLDs,2020
Team Liquid,CoreJJ,WLDs,2020
V3 Esports,Paz,WLDs,2020
V3 Esports,Bugi,WLDs,2020
V3 Esports,Acee,WLDs,2020
V3 Esports,Archer,WLDs,2020
V3 Esports,Raina,WLDs,2020
SuperMassive Esports,Armut,WLDs,2020
SuperMassive Esports,KaKAO,WLDs,2020
SuperMassive Esports,Bolulu,WLDs,2020
SuperMassive Esports,Zeitnot,WLDs,2020
SuperMassive Esports,SnowFlower,WLDs,2020
Unicorns of Love.CIS,BOSS,WLDs,2020
Unicorns of Love.CIS,AHaHaCiK,WLDs,2020
Unicorns of Love.CIS,Nomanz,WLDs,2020
Unicorns of Love.CIS,Gadget,WLDs,2020
Unicorns of Love.CIS,SaNTaS,WLDs,2020
PSG Talon,Unified,WLDs,2020
FlyQuest,Solo,WLDs,2020
FlyQuest,Santorin,WLDs,2020
FlyQuest,PowerOfEvil,WLDs,2020
FlyQuest,WildTurtle,WLDs,2020
FlyQuest,IgNar,WLDs,2020
Top Esports,369,WLDs,2020
Top Esports,Karsa,WLDs,2020
Top Esports,knight,WLDs,2020
Top Esports,JackeyLove,WLDs,2020
Top Esports,yuyanjia,WLDs,2020
DRX,Doran,WLDs,2020
DRX,Pyosik,WLDs,2020
DRX,Chovy,WLDs,2020
DRX,Deft,WLDs,2020
DRX,Keria,WLDs,2020
Rogue,Finn,WLDs,2020
Rogue,Inspired,WLDs,2020
Rogue,Larssen,WLDs,2020
Rogue,Hans Sama,WLDs,2020
Rogue,Vander,WLDs,2020
PSG Talon,River,WLDs,2020
PSG Talon,Tank,WLDs,2020
DWG KIA,Nuguri,WLDs,2020
DWG KIA,Canyon,WLDs,2020
DWG KIA,ShowMaker,WLDs,2020
DWG KIA,Ghost,WLDs,2020
DWG KIA,BeryL,WLDs,2020
JD Gaming,Zoom,WLDs,2020
JD Gaming,Kanavi,WLDs,2020
JD Gaming,Yagao,WLDs,2020
JD Gaming,LokeN,WLDs,2020
JD Gaming,LvMao,WLDs,2020
Gen.G,Rascal,WLDs,2020
Gen.G,Clid,WLDs,2020
Gen.G,Bdd,WLDs,2020
Gen.G,Ruler,WLDs,2020
Gen.G,Life,WLDs,2020
TSM,BrokenBlade,WLDs,2020
TSM,Spica,WLDs,2020
TSM,Bjergsen,WLDs,2020
TSM,Doublelift,WLDs,2020
TSM,Biofrost,WLDs,2020
Fnatic,Bwipo,WLDs,2020
Fnatic,Selfmade,WLDs,2020
Fnatic,Nemesis,WLDs,2020
Fnatic,Rekkles,WLDs,2020
Fnatic,Hylissang,WLDs,2020
Machi Esports,PK,WLDs,2020
Machi Esports,Gemini,WLDs,2020
Machi Esports,Mission,WLDs,2020
Machi Esports,Bruce,WLDs,2020
Machi Esports,Koala,WLDs,2020
G2 Esports,Wunder,WLDs,2020
G2 Esports,Jankos,WLDs,2020
G2 Esports,Caps,WLDs,2020
G2 Esports,Perkz,WLDs,2020
G2 Esports,Mikyx,WLDs,2020
Suning,Bin,WLDs,2020
Suning,SofM,WLDs,2020
Suning,Angel,WLDs,2020
Suning,huanfeng,WLDs,2020
Suning,SwordArt,WLDs,2020
DWG KIA,Khan,MSI,2021
DWG KIA,Canyon,MSI,2021
DWG KIA,ShowMaker,MSI,2021
DWG KIA,Ghost,MSI,2021
DWG KIA,BeryL,MSI,2021
Cloud9,Fudge,MSI,2021
Cloud9,Blaber,MSI,2021
Cloud9,Perkz,MSI,2021
Cloud9,Zven,MSI,2021
Cloud9,Vulcan,MSI,2021
Infinity Esports,Buggax,MSI,2021
Infinity Esports,SolidSnake,MSI,2021
Infinity Esports,cody,MSI,2021
Infinity Esports,WhiteLotus,MSI,2021
Infinity Esports,Ackerman,MSI,2021
DetonatioN FocusMe,Evi,MSI,2021
DetonatioN FocusMe,Steal,MSI,2021
DetonatioN FocusMe,Aria,MSI,2021
DetonatioN FocusMe,Yutapon,MSI,2021
DetonatioN FocusMe,Kazu,MSI,2021
Royal Never Give Up,Xiaohu,MSI,2021
Royal Never Give Up,Wei,MSI,2021
Royal Never Give Up,Cryin,MSI,2021
Royal Never Give Up,GALA,MSI,2021
Royal Never Give Up,Ming,MSI,2021
Pentanet.GG,BioPanther,MSI,2021
Pentanet.GG,Pabu,MSI,2021
Pentanet.GG,Chazz,MSI,2021
Pentanet.GG,Praedyth,MSI,2021
Pentanet.GG,Decoy,MSI,2021
Unicorns of Love.CIS,BOSS,MSI,2021
Unicorns of Love.CIS,AHaHaCiK,MSI,2021
Unicorns of Love.CIS,Nomanz,MSI,2021
Unicorns of Love.CIS,Lodik,MSI,2021
Unicorns of Love.CIS,SaNTaS,MSI,2021
İstanbul Wildcats,StarScreen,MSI,2021
İstanbul Wildcats,Ferret,MSI,2021
İstanbul Wildcats,Serin,MSI,2021
İstanbul Wildcats,HolyPhoenix,MSI,2021
İstanbul Wildcats,Farfetch,MSI,2021
paiN Gaming,Robo,MSI,2021
paiN Gaming,CarioK,MSI,2021
paiN Gaming,tinowns,MSI,2021
paiN Gaming,brTT,MSI,2021
paiN Gaming,Luci,MSI,2021
MAD Lions,Armut,MSI,2021
MAD Lions,Elyoya,MSI,2021
MAD Lions,Humanoid,MSI,2021
MAD Lions,Carzzy,MSI,2021
MAD Lions,Kaiser,MSI,2021
PSG Talon,Hanabi,MSI,2021
PSG Talon,River,MSI,2021
PSG Talon,Maple,MSI,2021
PSG Talon,Doggo,MSI,2021
PSG Talon,Kaiwing,MSI,2021
Royal Never Give Up,Xiaobai,MSI,2021
Hanwha Life Esports,Morgan,WLDs,2021
Hanwha Life Esports,Willer,WLDs,2021
Hanwha Life Esports,Chovy,WLDs,2021
Hanwha Life Esports,Deft,WLDs,2021
Hanwha Life Esports,Vsta,WLDs,2021
LNG Esports,Ale,WLDs,2021
LNG Esports,Tarzan,WLDs,2021
LNG Esports,icon,WLDs,2021
LNG Esports,Light,WLDs,2021
LNG Esports,Iwandy,WLDs,2021
Infinity Esports,Buggax,WLDs,2021
Infinity Esports,SolidSnake,WLDs,2021
Infinity Esports,cody,WLDs,2021
Infinity Esports,WhiteLotus,WLDs,2021
Infinity Esports,Ackerman,WLDs,2021
RED Canids,GUIGO,WLDs,2021
RED Canids,Aegis,WLDs,2021
RED Canids,Grevthar,WLDs,2021
RED Canids,TitaN,WLDs,2021
RED Canids,Jojo,WLDs,2021
PEACE,Vizicsacsi,WLDs,2021
PEACE,Babip,WLDs,2021
PEACE,Tally,WLDs,2021
PEACE,Violet,WLDs,2021
PEACE,Aladoric,WLDs,2021
Unicorns of Love.CIS,BOSS,WLDs,2021
Unicorns of Love.CIS,AHaHaCiK,WLDs,2021
Unicorns of Love.CIS,Nomanz,WLDs,2021
Unicorns of Love.CIS,MDB,WLDs,2021
Unicorns of Love.CIS,SaNTaS,WLDs,2021
DetonatioN FocusMe,Evi,WLDs,2021
DetonatioN FocusMe,Steal,WLDs,2021
DetonatioN FocusMe,Aria,WLDs,2021
DetonatioN FocusMe,Yutapon,WLDs,2021
DetonatioN FocusMe,Gaeng,WLDs,2021
Galatasaray Esports,Crazy,WLDs,2021
Galatasaray Esports,Mojito,WLDs,2021
Galatasaray Esports,Bolulu,WLDs,2021
Galatasaray Esports,Alive,WLDs,2021
Galatasaray Esports,Zergsting,WLDs,2021
Beyond Gaming,PK,WLDs,2021
Beyond Gaming,Husha,WLDs,2021
Beyond Gaming,1116,WLDs,2021
Beyond Gaming,Doggo,WLDs,2021
Beyond Gaming,Kino,WLDs,2021
Cloud9,Fudge,WLDs,2021
Cloud9,Blaber,WLDs,2021
Cloud9,Perkz,WLDs,2021
Cloud9,Zven,WLDs,2021
Cloud9,Vulcan,WLDs,2021
Beyond Gaming,Liang,WLDs,2021
RED Canids,Avenger,WLDs,2021
DWG KIA,Khan,WLDs,2021
DWG KIA,Canyon,WLDs,2021
DWG KIA,ShowMaker,WLDs,2021
DWG KIA,Ghost,WLDs,2021
DWG KIA,BeryL,WLDs,2021
FunPlus Phoenix,Nuguri,WLDs,2021
FunPlus Phoenix,Tian,WLDs,2021
FunPlus Phoenix,Doinb,WLDs,2021
FunPlus Phoenix,Lwx,WLDs,2021
FunPlus Phoenix,Crisp,WLDs,2021
Royal Never Give Up,Xiaohu,WLDs,2021
Royal Never Give Up,Wei,WLDs,2021
Royal Never Give Up,Cryin,WLDs,2021
Royal Never Give Up,GALA,WLDs,2021
Royal Never Give Up,Ming,WLDs,2021
PSG Talon,Hanabi,WLDs,2021
PSG Talon,River,WLDs,2021
PSG Talon,Maple,WLDs,2021
PSG Talon,Unified,WLDs,2021
PSG Talon,Kaiwing,WLDs,2021
Fnatic,Adam,WLDs,2021
Fnatic,Bwipo,WLDs,2021
Fnatic,Nisqy,WLDs,2021
Fnatic,BEAN,WLDs,2021
Fnatic,Hylissang,WLDs,2021
Gen.G,Rascal,WLDs,2021
Gen.G,Clid,WLDs,2021
Gen.G,Bdd,WLDs,2021
Gen.G,Ruler,WLDs,2021
Gen.G,Life,WLDs,2021
T1,Canna,WLDs,2021
T1,Oner,WLDs,2021
T1,Faker,WLDs,2021
T1,Gumayusi,WLDs,2021
T1,Keria,WLDs,2021
EDward Gaming,Flandre,WLDs,2021
EDward Gaming,Jiejie,WLDs,2021
EDward Gaming,Scout,WLDs,2021
EDward Gaming,Viper,WLDs,2021
EDward Gaming,Meiko,WLDs,2021
100 Thieves,Ssumday,WLDs,2021
100 Thieves,Closer,WLDs,2021
100 Thieves,Abbedagge,WLDs,2021
100 Thieves,FBI,WLDs,2021
100 Thieves,huhi,WLDs,2021
Team Liquid,Alphari,WLDs,2021
Team Liquid,Santorin,WLDs,2021
Team Liquid,Jensen,WLDs,2021
Team Liquid,Tactical,WLDs,2021
Team Liquid,CoreJJ,WLDs,2021
MAD Lions,Armut,WLDs,2021
MAD Lions,Elyoya,WLDs,2021
MAD Lions,Humanoid,WLDs,2021
MAD Lions,Carzzy,WLDs,2021
MAD Lions,Kaiser,WLDs,2021
Rogue,Odoamne,WLDs,2021
Rogue,Inspired,WLDs,2021
Rogue,Larssen,WLDs,2021
Rogue,Hans Sama,WLDs,2021
Rogue,Trymbi,WLDs,2021
Gen.G,Burdol,WLDs,2021
T1,Zeus,MSI,2022
T1,Oner,MSI,2022
T1,Faker,MSI,2022
T1,Gumayusi,MSI,2022
T1,Keria,MSI,2022
Saigon Buffalo,Hasmed,MSI,2022
Saigon Buffalo,BeanJ,MSI,2022
Saigon Buffalo,Froggy,MSI,2022
Saigon Buffalo,Shogun,MSI,2022
Saigon Buffalo,Taki,MSI,2022
Team Aze,Lonely,MSI,2022
Team Aze,Dimitry,MSI,2022
Team Aze,Aloned,MSI,2022
Team Aze,5kid,MSI,2022
Team Aze,Straight,MSI,2022
DetonatioN FocusMe,Evi,MSI,2022
DetonatioN FocusMe,Steal,MSI,2022
DetonatioN FocusMe,Yaharong,MSI,2022
DetonatioN FocusMe,Yutapon,MSI,2022
DetonatioN FocusMe,Harp,MSI,2022
ORDER,BioPanther,MSI,2022
ORDER,Kevy,MSI,2022
ORDER,Kisee,MSI,2022
ORDER,Puma,MSI,2022
ORDER,Corporal,MSI,2022
G2 Esports,BrokenBlade,MSI,2022
G2 Esports,Jankos,MSI,2022
G2 Esports,Caps,MSI,2022
G2 Esports,Flakked,MSI,2022
G2 Esports,Targamas,MSI,2022
Evil Geniuses,Impact,MSI,2022
Evil Geniuses,Inspired,MSI,2022
Evil Geniuses,jojopyun,MSI,2022
Evil Geniuses,Danny,MSI,2022
Evil Geniuses,Vulcan,MSI,2022
İstanbul Wildcats,StarScreen,MSI,2022
İstanbul Wildcats,Ferret,MSI,2022
İstanbul Wildcats,Serin,MSI,2022
İstanbul Wildcats,HolyPhoenix,MSI,2022
İstanbul Wildcats,Farfetch,MSI,2022
Royal Never Give Up,Bin,MSI,2022
Royal Never Give Up,Wei,MSI,2022
Royal Never Give Up,Xiaohu,MSI,2022
Royal Never Give Up,GALA,MSI,2022
Royal Never Give Up,Ming,MSI,2022
RED Canids,GUIGO,MSI,2022
RED Canids,Aegis,MSI,2022
RED Canids,Grevthar,MSI,2022
RED Canids,TitaN,MSI,2022
RED Canids,Jojo,MSI,2022
PSG Talon,Hanabi,MSI,2022
PSG Talon,Juhan,MSI,2022
PSG Talon,Bay,MSI,2022
PSG Talon,Unified,MSI,2022
PSG Talon,Kaiwing,MSI,2022
PSG Talon,Azhi,MSI,2022
DWG KIA,Nuguri,WLDs,2022
DWG KIA,Canyon,WLDs,2022
DWG KIA,ShowMaker,WLDs,2022
DWG KIA,deokdam,WLDs,2022
DWG KIA,Kellin,WLDs,2022
Liiv SANDBOX,Dove,WLDs,2022
Liiv SANDBOX,Croco,WLDs,2022
Liiv SANDBOX,Clozer,WLDs,2022
Liiv SANDBOX,Prince,WLDs,2022
Liiv SANDBOX,Kael,WLDs,2022
DWG KIA,Burdol,WLDs,2022
KT Rolster,Rascal,WLDs,2022
KT Rolster,Cuzz,WLDs,2022
KT Rolster,VicLa,WLDs,2022
KT Rolster,Aiming,WLDs,2022
KT Rolster,Life,WLDs,2022
DRX,Kingen,WLDs,2022
DRX,Pyosik,WLDs,2022
DRX,Zeka,WLDs,2022
DRX,Deft,WLDs,2022
DRX,BeryL,WLDs,2022
Royal Never Give Up,Breathe,WLDs,2022
Royal Never Give Up,Wei,WLDs,2022
Royal Never Give Up,Xiaohu,WLDs,2022
Royal Never Give Up,GALA,WLDs,2022
Royal Never Give Up,Ming,WLDs,2022
EDward Gaming,Flandre,WLDs,2022
EDward Gaming,JunJia,WLDs,2022
EDward Gaming,Scout,WLDs,2022
EDward Gaming,Viper,WLDs,2022
EDward Gaming,Meiko,WLDs,2022
EDward Gaming,Jiejie,WLDs,2022
DRX,Juhan,WLDs,2022
Victory Five,Rich,WLDs,2022
Victory Five,Karsa,WLDs,2022
Victory Five,Rookie,WLDs,2022
Victory Five,Photic,WLDs,2022
Victory Five,ppgod,WLDs,2022
LNG Esports,Ale,WLDs,2022
LNG Esports,Tarzan,WLDs,2022
LNG Esports,Doinb,WLDs,2022
LNG Esports,Light,WLDs,2022
LNG Esports,LvMao,WLDs,2022
Isurus,ADD,WLDs,2022
Isurus,Grell,WLDs,2022
Isurus,Seiya,WLDs,2022
Isurus,Gavotto,WLDs,2022
Isurus,Jelly,WLDs,2022
MAD Lions,Armut,WLDs,2022
MAD Lions,Elyoya,WLDs,2022
MAD Lions,Nisqy,WLDs,2022
MAD Lions,UNF0RGIVEN,WLDs,2022
MAD Lions,Kaiser,WLDs,2022
Fnatic,Wunder,WLDs,2022
Fnatic,Razork,WLDs,2022
Fnatic,Humanoid,WLDs,2022
Fnatic,Upset,WLDs,2022
Fnatic,Rhuckz,WLDs,2022
Evil Geniuses,Impact,WLDs,2022
Evil Geniuses,Inspired,WLDs,2022
Evil Geniuses,jojopyun,WLDs,2022
Evil Geniuses,Kaori,WLDs,2022
Evil Geniuses,Vulcan,WLDs,2022
LOUD,Robo,WLDs,2022
LOUD,Croc,WLDs,2022
LOUD,tinowns,WLDs,2022
LOUD,Brance,WLDs,2022
LOUD,Ceos,WLDs,2022
Beyond Gaming,LIKAI,WLDs,2022
Beyond Gaming,Husha,WLDs,2022
Beyond Gaming,Minji,WLDs,2022
Beyond Gaming,Wako,WLDs,2022
Beyond Gaming,Kino,WLDs,2022
İstanbul Wildcats,StarScreen,WLDs,2022
İstanbul Wildcats,Ferret,WLDs,2022
İstanbul Wildcats,Serin,WLDs,2022
İstanbul Wildcats,HolyPhoenix,WLDs,2022
İstanbul Wildcats,Farfetch,WLDs,2022
Chiefs Esports Club,Topoon,WLDs,2022
Chiefs Esports Club,Mir,WLDs,2022
Chiefs Esports Club,Tally,WLDs,2022
Chiefs Esports Club,Raes,WLDs,2022
Chiefs Esports Club,Aladoric,WLDs,2022
DetonatioN FocusMe,Evi,WLDs,2022
DetonatioN FocusMe,Steal,WLDs,2022
DetonatioN FocusMe,Yaharong,WLDs,2022
DetonatioN FocusMe,Yutapon,WLDs,2022
DetonatioN FocusMe,Harp,WLDs,2022
Saigon Buffalo,Hasmed,WLDs,2022
Saigon Buffalo,BeanJ,WLDs,2022
Saigon Buffalo,Froggy,WLDs,2022
Saigon Buffalo,Shogun,WLDs,2022
Saigon Buffalo,Taki,WLDs,2022
Fnatic,Hylissang,WLDs,2022
Beyond Gaming,Liang,WLDs,2022
Cloud9,Fudge,WLDs,2022
Cloud9,Blaber,WLDs,2022
Cloud9,Jensen,WLDs,2022
Cloud9,Berserker,WLDs,2022
Cloud9,Zven,WLDs,2022
G2 Esports,BrokenBlade,WLDs,2022
