id_igralec,Player,Pos
296,Mlxg,Jungle
297,MooJin,Jungle
298,Mor,Support
299,Morgan,Top
300,Morning,Middle
301,Moss,Support
302,Mountain,Jungle
303,Mouse,Top
304,Mowgli,Jungle
305,Mylon,Top
306,Mystic,ADC
307,NL,ADC
308,NONAME,Jungle
309,NaMei,ADC
310,Nagne,Middle
311,Nardeus,ADC
312,Naru,Middle
313,Naul,Middle
314,Naz,Jungle
315,Nemesis,Middle
316,Nevan,Support
317,Ning,Jungle
318,Nisqy,Middle
319,Noah,ADC
320,Nomanz,Middle
321,Noway,ADC
322,Nuclear,ADC
323,Nuguri,Top
324,Nyph,Support
325,ON,Support
326,Oddie,Jungle
327,Odoamne,Top
328,Olleh,Support
329,Oner,Jungle
330,Onesh0tiq,ADC
331,Optimus,Middle
332,Oscarinin,Top
333,PK,Top
334,Pabu,Jungle
335,Padden,ADC
336,Palafox,Middle
337,Palette,Support
338,PawN,Middle
339,Peanut,Jungle
340,Perkz,Middle
341,Perkz,ADC
342,Peyz,ADC
343,Piccaboo,Support
344,Pobelter,Middle
345,PowerOfEvil,Middle
346,PraY,ADC
347,Praedyth,ADC
348,Prydz,Top
349,Puma,ADC
350,PvPStejos,Jungle
351,Pyl,Support
352,Pyosik,Jungle
353,Rainbow,Middle
354,Rascal,Top
355,Rather,Middle
356,Ray,Top
357,Razork,Jungle
358,Reignover,Jungle
359,Rekkles,ADC
360,Rest,Top
361,Revolta,Jungle
362,Rikara,ADC
363,River,Jungle
364,Road,Support
365,Robo,Top
366,RonOP,Support
367,Rookie,Middle
368,Route,ADC
369,Ruler,ADC
370,Ryu,Middle
371,SaNTaS,Support
372,Santorin,Jungle
373,Save,Top
374,Score,Jungle
375,Scout,Middle
376,Selfmade,Jungle
377,Sencux,Middle
378,Serin,Middle
379,Sheo,Jungle
380,ShiauC,Support
381,Shogun,ADC
382,Shook,Jungle
383,ShowMaker,Middle
384,Shunn,ADC
385,Sirt,Jungle
386,Slay,ADC
387,Slay,Support
388,Slayder,ADC
389,Smeb,Top
390,Smoothie,Support
391,Smurf,Top
392,Sneaky,ADC
393,SofM,Jungle
394,Solid,Jungle
395,Solo,Top
396,Spica,Jungle
397,Spirit,Jungle
398,Ssumday,Top
399,StarScreen,Top
400,Stark,Top
401,Steak,Top
402,Steal,Jungle
403,Steeelback,ADC
404,Stitch,ADC
405,Stixxay,ADC
406,Stomaged,Jungle
407,Straight,Support
408,Sty1e,ADC
409,Summit,Top
410,Svenskeren,Jungle
411,Sw0rd,Top
412,SwordArt,Support
413,Sya,Support
414,Tabzz,ADC
415,Tactical,ADC
416,Taki,Support
417,Tank,Middle
418,Targamas,Support
419,Tarzan,Jungle
420,Teddy,ADC
421,Thaldrin,Top
422,TheShy,Top
423,Theokoles,Jungle
424,Tian,Jungle
425,Time,ADC
426,TitaN,ADC
427,Tore,Support
428,Touch,Support
429,Trick,Jungle
430,Trymbi,Support
431,TusiN,Support
432,U,Middle
433,Uniboy,Middle
434,Unified,ADC
435,Upset,ADC
436,Uzi,ADC
437,VULCAN,Support
438,Vander,Support
439,Vasilii,ADC
440,Viper,ADC
441,Vizicsacsi,Top
442,Vsta,Support
443,Wadid,Support
444,Wako,ADC
445,WarL0cK,Top
446,Warzone,Middle
447,Watch,Jungle
448,Wayward,Top
449,Wei,Jungle
450,Weiwei,Jungle
451,Westdoor,Middle
452,WhiteLotus,ADC
453,Wickd,Top
454,WildTurtle,ADC
455,Willer,Jungle
456,Winds,Jungle
457,Wolf,Support
458,Woody,Support
459,Wraith,Support
460,Wunder,Top
461,Wuxx,ADC
462,XUN,Jungle
463,Xerxe,Jungle
464,XiaoWeiXiao,Middle
465,Xiaobai,Top
466,Xiaohu,Top
467,Xiaohu,Middle
468,Xmithie,Jungle
469,XuHao,Jungle
470,Yagao,Top
471,Yagao,Middle
472,Yaharong,Middle
473,Yang,Top
474,YellOwStaR,Support
475,Yeon,ADC
476,Yijin,Jungle
477,Yike,Jungle
478,Ysera,Support
479,Yutapon,ADC
480,Zefa,ADC
481,Zeka,Middle
482,Zero,Support
483,Zeros,Top
484,Zeus,Top
485,Zeyzal,Support
486,Zika,Top
487,Zin,ADC
488,Zin,Support
489,Ziv,Top
490,Zoom,Top
491,Zven,Support
492,Zven,ADC
493,Zz1tai,Top
494,aphromoo,Support
495,baybay,Jungle
496,brTT,ADC
497,cody,Middle
498,dade,Middle
499,dans,Support
500,fabFabulous,Top
501,fredy122,Top
502,huanfeng,ADC
503,huhi,Middle
504,huhi,Support
505,iBoy,ADC
506,icon,Middle
507,imp,ADC
508,inSec,Jungle
509,jojopyun,Middle
510,knight,Middle
511,micaO,ADC
512,nRated,Support
513,nuc,Middle
514,sOAZ,Top
515,san,ADC
516,tbq,Jungle
517,tinowns,Middle
518,tockers,Middle
519,tol2,Top
520,ucal,Middle
521,xPeke,Middle
522,xiye,Middle
523,yuyanjia,Support
