tip,leto,datum,cas,st_igre,ime_ekipe,zmaga
WLDs,2014,2014-09-27,09:58:53,1.0,NaJin White Shield,1
WLDs,2014,2014-09-27,11:05:58,1.0,Oh My God,0
WLDs,2014,2014-09-27,11:05:58,1.0,Samsung Blue,1
WLDs,2014,2014-09-27,12:11:08,1.0,Alliance,1
WLDs,2014,2014-09-27,12:11:08,1.0,NaJin White Shield,0
WLDs,2014,2014-09-28,05:56:38,1.0,KaBuM! e-Sports,0
WLDs,2014,2014-09-28,05:56:38,1.0,Cloud9,1
WLDs,2014,2014-09-28,07:00:01,1.0,LMQ,0
WLDs,2014,2014-09-28,07:00:01,1.0,Samsung Blue,1
WLDs,2014,2014-09-28,08:12:36,1.0,KaBuM! e-Sports,1
WLDs,2014,2014-09-28,08:12:36,1.0,Alliance,0
WLDs,2014,2014-09-28,09:14:58,1.0,Fnatic,0
WLDs,2014,2014-09-28,09:14:58,1.0,Samsung Blue,1
WLDs,2014,2014-09-28,10:30:10,1.0,Cloud9,1
WLDs,2014,2014-09-28,10:30:10,1.0,NaJin White Shield,0
WLDs,2014,2014-09-28,11:56:48,1.0,Oh My God,1
WLDs,2014,2014-09-28,11:56:48,1.0,LMQ,0
WLDs,2014,2014-09-28,13:01:35,1.0,NaJin White Shield,1
WLDs,2014,2014-09-28,13:01:35,1.0,Cloud9,0
WLDs,2014,2014-10-03,08:00:15,1.0,Samsung White,1
WLDs,2014,2014-10-03,08:00:15,1.0,TSM,0
WLDs,2014,2014-10-03,08:52:20,2.0,TSM,0
WLDs,2014,2014-10-03,08:52:20,2.0,Samsung White,1
WLDs,2014,2014-10-03,09:46:18,3.0,Samsung White,0
WLDs,2014,2014-10-03,09:46:18,3.0,TSM,1
WLDs,2014,2014-10-03,10:34:01,4.0,TSM,0
WLDs,2014,2014-10-03,10:34:01,4.0,Samsung White,1
WLDs,2014,2014-10-04,04:57:23,1.0,Samsung Blue,0
WLDs,2014,2014-10-04,04:57:23,1.0,Cloud9,1
WLDs,2014,2014-10-04,06:03:58,2.0,Cloud9,0
WLDs,2014,2014-10-04,06:03:58,2.0,Samsung Blue,1
WLDs,2014,2014-10-04,07:08:31,3.0,Samsung Blue,1
WLDs,2014,2014-10-04,07:08:31,3.0,Cloud9,0
WLDs,2014,2014-10-04,08:06:32,4.0,Cloud9,0
WLDs,2014,2014-10-04,08:06:32,4.0,Samsung Blue,1
WLDs,2014,2014-10-05,04:59:34,1.0,Royal Club,1
WLDs,2014,2014-10-05,04:59:34,1.0,EDward Gaming,0
WLDs,2014,2014-10-05,06:00:26,2.0,EDward Gaming,0
WLDs,2014,2014-10-05,06:00:26,2.0,Royal Club,1
WLDs,2014,2014-10-05,06:57:52,3.0,Royal Club,0
WLDs,2014,2014-10-05,06:57:52,3.0,EDward Gaming,1
WLDs,2014,2014-10-05,08:01:11,4.0,EDward Gaming,1
WLDs,2014,2014-10-05,08:01:11,4.0,Royal Club,0
WLDs,2014,2014-10-05,08:50:39,5.0,Royal Club,1
WLDs,2014,2014-10-05,08:50:39,5.0,EDward Gaming,0
WLDs,2014,2014-10-06,08:01:31,1.0,NaJin White Shield,0
WLDs,2014,2014-10-06,08:01:31,1.0,Oh My God,1
WLDs,2014,2014-10-06,09:14:17,2.0,Oh My God,1
WLDs,2014,2014-10-06,09:14:17,2.0,NaJin White Shield,0
WLDs,2014,2014-10-06,10:25:38,3.0,NaJin White Shield,0
WLDs,2014,2014-10-06,10:25:38,3.0,Oh My God,1
WLDs,2014,2014-10-11,08:09:39,1.0,Samsung Blue,0
WLDs,2014,2014-10-11,08:09:39,1.0,Samsung White,1
WLDs,2014,2014-10-11,09:07:57,2.0,Samsung White,1
WLDs,2014,2014-10-11,09:07:57,2.0,Samsung Blue,0
WLDs,2014,2014-10-11,09:55:32,3.0,Samsung Blue,0
WLDs,2014,2014-10-11,09:55:32,3.0,Samsung White,1
WLDs,2014,2014-10-12,08:08:05,1.0,Royal Club,0
WLDs,2014,2014-10-12,08:08:05,1.0,Oh My God,1
WLDs,2014,2014-10-12,09:00:59,2.0,Oh My God,0
WLDs,2014,2014-10-12,09:00:59,2.0,Royal Club,1
WLDs,2014,2014-10-12,10:10:08,3.0,Royal Club,1
WLDs,2014,2014-10-12,10:10:08,3.0,Oh My God,0
WLDs,2014,2014-10-12,11:18:42,4.0,Oh My God,1
WLDs,2014,2014-10-12,11:18:42,4.0,Royal Club,0
WLDs,2014,2014-10-12,12:15:35,5.0,Royal Club,1
WLDs,2014,2014-10-12,12:15:35,5.0,Oh My God,0
WLDs,2014,2014-10-19,07:01:27,1.0,Royal Club,0
WLDs,2014,2014-10-19,07:01:27,1.0,Samsung White,1
WLDs,2014,2014-10-19,07:46:07,2.0,Samsung White,1
WLDs,2014,2014-10-19,07:46:07,2.0,Royal Club,0
WLDs,2014,2014-10-19,08:39:22,3.0,Royal Club,1
WLDs,2014,2014-10-19,08:39:22,3.0,Samsung White,0
WLDs,2014,2014-10-19,09:44:01,4.0,Samsung White,1
WLDs,2014,2014-10-19,09:44:01,4.0,Royal Club,0
MSI,2015,2015-05-07,20:02:33,1.0,Fnatic,1
MSI,2015,2015-05-07,20:02:33,1.0,TSM,0
MSI,2015,2015-05-07,21:17:32,1.0,Beşiktaş Esports,0
MSI,2015,2015-05-07,21:17:32,1.0,SK Telecom T1,1
MSI,2015,2015-05-07,22:18:12,1.0,EDward Gaming,1
MSI,2015,2015-05-07,22:18:12,1.0,ahq eSports Club,0
MSI,2015,2015-05-07,23:26:27,1.0,Beşiktaş Esports,0
MSI,2015,2015-05-07,23:26:27,1.0,TSM,1
MSI,2015,2015-05-08,00:28:20,1.0,Fnatic,0
MSI,2015,2015-05-08,00:28:20,1.0,ahq eSports Club,1
MSI,2015,2015-05-08,01:25:24,1.0,SK Telecom T1,1
MSI,2015,2015-05-08,01:25:24,1.0,EDward Gaming,0
MSI,2015,2015-05-08,02:26:20,1.0,ahq eSports Club,1
MSI,2015,2015-05-08,02:26:20,1.0,Beşiktaş Esports,0
MSI,2015,2015-05-08,03:31:35,1.0,SK Telecom T1,1
MSI,2015,2015-05-08,03:31:35,1.0,TSM,0
MSI,2015,2015-05-08,20:10:41,1.0,EDward Gaming,1
MSI,2015,2015-05-08,20:10:41,1.0,Fnatic,0
MSI,2015,2015-05-08,20:59:53,1.0,TSM,0
MSI,2015,2015-05-08,20:59:53,1.0,ahq eSports Club,1
MSI,2015,2015-05-08,21:59:41,1.0,EDward Gaming,1
MSI,2015,2015-05-08,21:59:41,1.0,Beşiktaş Esports,0
MSI,2015,2015-05-08,22:49:20,1.0,SK Telecom T1,1
MSI,2015,2015-05-08,22:49:20,1.0,Fnatic,0
MSI,2015,2015-05-09,00:00:42,1.0,TSM,0
MSI,2015,2015-05-09,00:00:42,1.0,EDward Gaming,1
MSI,2015,2015-05-09,00:59:56,1.0,Fnatic,1
MSI,2015,2015-05-09,00:59:56,1.0,Beşiktaş Esports,0
MSI,2015,2015-05-09,02:01:19,1.0,ahq eSports Club,0
MSI,2015,2015-05-09,02:01:19,1.0,SK Telecom T1,1
MSI,2015,2015-05-09,20:00:33,1.0,SK Telecom T1,1
MSI,2015,2015-05-09,20:00:33,1.0,Fnatic,0
MSI,2015,2015-05-09,21:01:31,2.0,Fnatic,1
MSI,2015,2015-05-09,21:01:31,2.0,SK Telecom T1,0
MSI,2015,2015-05-09,22:01:00,3.0,SK Telecom T1,1
MSI,2015,2015-05-09,22:01:00,3.0,Fnatic,0
MSI,2015,2015-05-09,23:11:23,4.0,Fnatic,1
MSI,2015,2015-05-09,23:11:23,4.0,SK Telecom T1,0
MSI,2015,2015-05-10,00:10:03,5.0,SK Telecom T1,1
MSI,2015,2015-05-10,00:10:03,5.0,Fnatic,0
MSI,2015,2015-05-10,01:13:43,1.0,EDward Gaming,1
MSI,2015,2015-05-10,01:13:43,1.0,ahq eSports Club,0
MSI,2015,2015-05-10,02:35:36,2.0,ahq eSports Club,0
MSI,2015,2015-05-10,02:35:36,2.0,EDward Gaming,1
MSI,2015,2015-05-10,03:26:03,3.0,EDward Gaming,1
MSI,2015,2015-05-10,03:26:03,3.0,ahq eSports Club,0
MSI,2015,2015-05-10,21:57:45,1.0,SK Telecom T1,1
MSI,2015,2015-05-10,21:57:45,1.0,EDward Gaming,0
MSI,2015,2015-05-10,23:08:15,2.0,EDward Gaming,1
MSI,2015,2015-05-10,23:08:15,2.0,SK Telecom T1,0
MSI,2015,2015-05-11,00:06:07,3.0,SK Telecom T1,0
MSI,2015,2015-05-11,00:06:07,3.0,EDward Gaming,1
MSI,2015,2015-05-11,00:57:56,4.0,EDward Gaming,0
MSI,2015,2015-05-11,00:57:56,4.0,SK Telecom T1,1
MSI,2015,2015-05-11,01:59:26,5.0,SK Telecom T1,0
MSI,2015,2015-05-11,01:59:26,5.0,EDward Gaming,1
WLDs,2015,2015-10-01,13:27:18,1.0,Fnatic,1
WLDs,2015,2015-10-01,13:27:18,1.0,Invictus Gaming,0
WLDs,2015,2015-10-01,15:24:37,1.0,Cloud9,1
WLDs,2015,2015-10-01,15:24:37,1.0,ahq eSports Club,0
WLDs,2015,2015-10-01,16:18:38,1.0,SK Telecom T1,1
WLDs,2015,2015-10-01,16:18:38,1.0,H2k-Gaming,0
WLDs,2015,2015-10-01,17:17:44,1.0,EDward Gaming,1
WLDs,2015,2015-10-01,17:17:44,1.0,Bangkok Titans,0
WLDs,2015,2015-10-01,18:07:28,1.0,Counter Logic Gaming,1
WLDs,2015,2015-10-01,18:07:28,1.0,Flash Wolves,0
WLDs,2015,2015-10-01,19:20:57,1.0,paiN Gaming,0
WLDs,2015,2015-10-01,19:20:57,1.0,ROX Tigers,1
WLDs,2015,2015-10-02,13:54:50,1.0,KT Rolster,1
WLDs,2015,2015-10-02,13:54:50,1.0,TSM,0
WLDs,2015,2015-10-02,15:02:10,1.0,LGD Gaming,0
WLDs,2015,2015-10-02,15:02:10,1.0,Origen,1
WLDs,2015,2015-10-02,16:32:01,1.0,Bangkok Titans,0
WLDs,2015,2015-10-02,16:32:01,1.0,SK Telecom T1,1
WLDs,2015,2015-10-02,17:30:36,1.0,H2k-Gaming,0
WLDs,2015,2015-10-02,17:30:36,1.0,EDward Gaming,1
WLDs,2015,2015-10-02,18:30:28,1.0,Flash Wolves,1
WLDs,2015,2015-10-02,18:30:28,1.0,ROX Tigers,0
WLDs,2015,2015-10-02,19:31:54,1.0,Counter Logic Gaming,1
WLDs,2015,2015-10-02,19:31:54,1.0,paiN Gaming,0
WLDs,2015,2015-10-03,11:51:50,1.0,EDward Gaming,0
WLDs,2015,2015-10-03,11:51:50,1.0,SK Telecom T1,1
WLDs,2015,2015-10-03,13:00:22,1.0,H2k-Gaming,1
WLDs,2015,2015-10-03,13:00:22,1.0,Bangkok Titans,0
WLDs,2015,2015-10-03,14:12:54,1.0,LGD Gaming,0
WLDs,2015,2015-10-03,14:12:54,1.0,KT Rolster,1
WLDs,2015,2015-10-03,15:19:05,1.0,Origen,1
WLDs,2015,2015-10-03,15:19:05,1.0,TSM,0
WLDs,2015,2015-10-03,16:21:30,1.0,Invictus Gaming,0
WLDs,2015,2015-10-03,16:21:30,1.0,Cloud9,1
WLDs,2015,2015-10-03,17:33:26,1.0,ahq eSports Club,1
WLDs,2015,2015-10-03,17:33:26,1.0,Fnatic,0
WLDs,2015,2015-10-04,11:55:00,1.0,TSM,1
WLDs,2015,2015-10-04,11:55:00,1.0,LGD Gaming,0
WLDs,2015,2015-10-04,12:56:44,1.0,KT Rolster,0
WLDs,2015,2015-10-04,12:56:44,1.0,Origen,1
WLDs,2015,2015-10-04,14:09:18,1.0,Invictus Gaming,1
WLDs,2015,2015-10-04,14:09:18,1.0,ahq eSports Club,0
WLDs,2015,2015-10-04,15:27:11,1.0,Cloud9,1
WLDs,2015,2015-10-04,15:27:11,1.0,Fnatic,0
